Datetime,Open,High,Low,Close,Volume
2020-07-13 09:15:00,413.66,413.66,409.3,410.89,4739
2020-07-13 09:20:00,410.17,413.44,410.02,412.53,6695
2020-07-13 09:25:00,412.22,413.09,411.43,413.09,16955
2020-07-13 09:30:00,412.85,413.18,412.53,413.14,7274
2020-07-13 09:35:00,412.96,413.11,412.2,412.2,4323
2020-07-13 09:40:00,412.7,412.72,411.91,412.35,2931
2020-07-13 09:45:00,412.35,412.57,411.04,411.06,3664
2020-07-13 09:50:00,411.04,411.89,411.04,411.48,1184
2020-07-13 09:55:00,411.81,411.98,411.48,411.48,3314
2020-07-13 10:00:00,411.48,411.91,411.48,411.52,1240
2020-07-13 10:05:00,411.52,412.31,411.52,411.94,1065
2020-07-13 10:10:00,411.94,412.29,410.69,410.69,5109
2020-07-13 10:15:00,410.69,411.33,410.61,410.8,1898
2020-07-13 10:20:00,410.61,411.13,410.61,411.13,2058
2020-07-13 10:25:00,411.13,412.11,410.8,411.26,2825
2020-07-13 10:30:00,410.89,411.57,410.87,411.57,1602
2020-07-13 10:35:00,411.06,411.74,411.02,411.02,1086
2020-07-13 10:40:00,411.02,411.41,410.74,410.74,3452
2020-07-13 10:45:00,411.04,411.43,410.74,410.76,724
2020-07-13 10:50:00,410.74,411.24,410.71,410.71,961
2020-07-13 10:55:00,410.71,411.35,410.69,411.04,2018
2020-07-13 11:00:00,410.69,411.04,410.26,410.3,1900
2020-07-13 11:05:00,410.71,410.71,410.28,410.39,812
2020-07-13 11:10:00,410.39,410.71,407.99,408.64,7601
2020-07-13 11:15:00,409.06,409.08,408.45,409.06,1063
2020-07-13 11:20:00,409.06,409.17,408.42,409.06,791
2020-07-13 11:25:00,408.47,408.88,408.42,408.42,1992
2020-07-13 11:30:00,408.42,408.82,406.24,406.85,4421
2020-07-13 11:35:00,406.85,408.12,406.85,407.94,1149
2020-07-13 11:40:00,408.01,408.21,407.59,407.99,2198
2020-07-13 11:45:00,407.99,408.21,407.62,407.64,898
2020-07-13 11:50:00,407.79,408.16,407.55,407.99,1296
2020-07-13 11:55:00,407.57,407.97,406.92,407.11,2343
