Datetime,Open,High,Low,Close,Volume
2020-07-13 09:15:00,317.5,318.38,308.5,315.88,15223
2020-07-13 09:20:00,315.7,321.0,315.58,319.73,33769
2020-07-13 09:25:00,320.0,323.0,318.88,319.5,54188
2020-07-13 09:30:00,319.5,321.35,319.0,319.5,21339
2020-07-13 09:35:00,319.5,320.95,318.0,320.85,10739
2020-07-13 09:40:00,320.08,320.83,319.73,319.85,10382
2020-07-13 09:45:00,319.85,320.75,319.1,320.45,11420
2020-07-13 09:50:00,320.5,320.7,319.55,320.43,12328
2020-07-13 09:55:00,320.43,320.43,319.6,320.0,8119
2020-07-13 10:00:00,320.0,320.1,319.55,320.0,2971
2020-07-13 10:05:00,320.0,320.0,319.88,320.0,4744
2020-07-13 10:10:00,320.0,320.0,318.0,319.25,3981
2020-07-13 10:15:00,319.25,319.25,317.95,319.0,5795
2020-07-13 10:20:00,318.98,319.0,318.25,318.45,4949
2020-07-13 10:25:00,318.48,318.83,317.53,318.6,6559
2020-07-13 10:30:00,318.73,319.0,318.0,319.0,4829
2020-07-13 10:35:00,318.78,319.25,318.08,318.58,4090
2020-07-13 10:40:00,318.58,318.98,318.53,318.95,3868
2020-07-13 10:45:00,318.73,319.93,317.0,319.93,10577
2020-07-13 10:50:00,319.93,320.65,319.73,320.2,10684
2020-07-13 10:55:00,320.2,320.65,320.0,320.03,7204
2020-07-13 11:00:00,320.0,320.5,320.0,320.5,1409
2020-07-13 11:05:00,320.28,320.95,320.0,320.0,6468
2020-07-13 11:10:00,320.0,320.65,320.0,320.6,10969
2020-07-13 11:15:00,320.6,320.95,320.05,320.65,5617
2020-07-13 11:20:00,320.7,320.98,320.28,320.7,3709
2020-07-13 11:25:00,320.75,321.43,320.28,320.88,6943
2020-07-13 11:30:00,321.0,321.75,320.5,320.98,10031
2020-07-13 11:35:00,320.98,321.35,320.3,320.95,2945
2020-07-13 11:40:00,320.95,320.98,320.0,320.05,5511
2020-07-13 11:45:00,320.05,320.5,320.0,320.13,5487
2020-07-13 11:50:00,320.13,320.6,320.0,320.25,6024
2020-07-13 11:55:00,320.25,320.5,320.0,320.13,6247
2020-07-13 12:00:00,320.13,320.48,319.95,320.13,14955
2020-07-13 12:05:00,320.13,320.13,319.95,320.0,3157
2020-07-13 12:10:00,320.0,320.13,319.9,319.9,3404
2020-07-13 12:15:00,319.9,320.13,319.9,319.98,5732
2020-07-13 12:20:00,319.93,320.4,319.85,319.88,4618
2020-07-13 12:25:00,319.88,320.0,319.0,319.05,3827
2020-07-13 12:30:00,319.05,319.5,319.0,319.05,4498
2020-07-13 12:35:00,319.05,319.5,319.0,319.23,5990
2020-07-13 12:40:00,319.38,319.73,319.03,319.03,6411
2020-07-13 12:45:00,319.03,319.73,319.03,319.45,2841
2020-07-13 12:50:00,319.68,319.7,319.38,319.38,2302
2020-07-13 12:55:00,319.4,320.25,319.4,319.75,4864
2020-07-13 13:00:00,319.75,320.18,319.43,319.8,8501
2020-07-13 13:05:00,319.8,320.65,319.5,320.25,9761
2020-07-13 13:10:00,320.6,320.6,319.38,320.1,2779
2020-07-13 13:15:00,320.1,320.58,319.6,319.6,2021
2020-07-13 13:20:00,319.63,319.98,319.5,319.53,1100
2020-07-13 13:25:00,319.53,320.5,319.0,319.38,2390
2020-07-13 13:30:00,319.38,322.0,318.88,319.73,24700
2020-07-13 13:35:00,319.73,319.73,318.88,319.0,6819
2020-07-13 13:40:00,319.0,319.68,319.0,319.68,3767
2020-07-13 13:45:00,319.68,319.95,319.05,319.05,2221
2020-07-13 13:50:00,319.05,319.65,319.03,319.05,5318
2020-07-13 13:55:00,319.05,319.25,319.03,319.05,4667
2020-07-13 14:00:00,319.05,319.1,315.05,315.65,20385
2020-07-13 14:05:00,315.03,316.73,314.73,315.5,19809
2020-07-13 14:10:00,315.38,315.9,314.0,314.5,11329
2020-07-13 14:15:00,314.18,315.7,314.13,314.53,8081
2020-07-13 14:20:00,314.28,315.0,314.28,314.73,4567
2020-07-13 14:25:00,314.85,315.7,314.5,314.55,6291
2020-07-13 14:30:00,314.55,315.0,314.55,314.58,1643
2020-07-13 14:35:00,314.58,315.0,314.5,314.85,1644
2020-07-13 14:40:00,314.53,315.35,314.4,315.0,5508
2020-07-13 14:45:00,314.63,315.0,313.2,313.6,8200
2020-07-13 14:50:00,313.55,313.98,312.23,312.3,18606
2020-07-13 14:55:00,312.5,313.98,312.1,313.25,11242
2020-07-13 15:00:00,313.25,317.85,313.1,313.48,15238
2020-07-13 15:05:00,313.25,313.98,312.45,312.5,14249
2020-07-13 15:10:00,312.48,312.5,311.23,311.23,9440
2020-07-13 15:15:00,311.23,311.85,310.5,311.3,13409
2020-07-13 15:20:00,311.0,312.03,310.45,311.15,24651
2020-07-13 15:25:00,311.15,313.0,310.5,312.28,45887
2020-07-14 09:15:00,312.28,316.28,309.0,316.0,13124
2020-07-14 09:20:00,315.95,317.0,311.58,311.95,12250
2020-07-14 09:25:00,311.95,312.35,310.0,311.3,4995
2020-07-14 09:30:00,311.3,312.48,309.0,311.73,8787
2020-07-14 09:35:00,311.73,314.5,311.43,314.5,3969
2020-07-14 09:40:00,314.03,314.85,314.0,314.18,6444
2020-07-14 09:45:00,314.13,314.13,311.25,311.45,6657
2020-07-14 09:50:00,311.45,311.45,310.05,310.83,3736
2020-07-14 09:55:00,310.8,310.85,309.5,309.73,7345
2020-07-14 10:00:00,309.7,312.2,308.5,310.88,6545
2020-07-14 10:05:00,311.08,311.63,310.5,310.5,1235
2020-07-14 10:10:00,310.7,311.5,310.5,311.5,2206
2020-07-14 10:15:00,311.48,311.5,310.5,310.75,1503
2020-07-14 10:20:00,310.73,310.75,310.0,310.05,2115
2020-07-14 10:25:00,310.05,311.2,310.0,311.1,1085
2020-07-14 10:30:00,311.25,311.85,311.05,311.5,3189
2020-07-14 10:35:00,311.28,311.6,311.25,311.58,5401
2020-07-14 10:40:00,311.43,311.6,311.25,311.25,2170
2020-07-14 10:45:00,311.38,312.5,311.0,311.48,9648
2020-07-14 10:50:00,311.5,311.98,311.25,311.75,898
2020-07-14 10:55:00,311.75,311.98,311.5,311.73,2443
2020-07-14 11:00:00,311.6,311.95,311.5,311.55,2685
2020-07-14 11:05:00,311.53,311.8,310.25,310.83,3348
2020-07-14 11:10:00,310.83,310.93,308.5,309.35,9455
2020-07-14 11:15:00,309.53,311.68,309.35,311.48,4447
2020-07-14 11:20:00,311.48,311.65,310.4,311.23,2451
2020-07-14 11:25:00,311.05,311.25,309.6,310.0,4451
2020-07-14 11:30:00,310.0,310.0,309.78,310.0,3629
2020-07-14 11:35:00,310.0,311.48,310.0,310.53,3641
2020-07-14 11:40:00,310.53,311.43,310.53,311.25,2080
2020-07-14 11:45:00,311.25,312.0,311.25,311.5,3913
2020-07-14 11:50:00,311.5,311.88,311.5,311.5,1666
2020-07-14 11:55:00,311.55,311.78,310.03,310.5,1930
2020-07-14 12:00:00,310.45,310.75,310.0,310.73,4358
2020-07-14 12:05:00,310.73,311.88,310.28,311.25,1707
2020-07-14 12:10:00,311.48,311.48,310.33,310.63,4903
2020-07-14 12:15:00,310.63,311.25,310.63,311.0,3334
2020-07-14 12:20:00,310.7,311.05,310.63,311.05,2882
2020-07-14 12:25:00,311.05,311.48,310.8,311.25,2096
2020-07-14 12:30:00,311.25,311.5,310.15,310.45,7920
2020-07-14 12:35:00,310.45,311.45,310.28,311.33,2319
2020-07-14 12:40:00,311.33,311.43,311.25,311.33,1367
2020-07-14 12:45:00,311.25,311.43,311.25,311.25,795
2020-07-14 12:50:00,311.25,311.3,310.8,310.85,4454
2020-07-14 12:55:00,310.85,311.25,310.75,311.23,3777
2020-07-14 13:00:00,311.23,311.3,310.5,310.85,5772
2020-07-14 13:05:00,310.63,310.9,310.5,310.9,4861
2020-07-14 13:10:00,310.9,311.0,310.63,310.95,5251
2020-07-14 13:15:00,310.65,311.3,310.65,311.0,9322
2020-07-14 13:20:00,310.88,311.25,310.78,311.25,2888
2020-07-14 13:25:00,311.25,311.5,310.58,311.38,4984
2020-07-14 13:30:00,311.25,311.75,311.25,311.58,1791
2020-07-14 13:35:00,311.75,311.75,311.58,311.75,988
2020-07-14 13:40:00,311.73,311.75,311.73,311.75,2764
2020-07-14 13:45:00,311.73,311.75,310.85,310.85,4345
2020-07-14 13:50:00,310.85,311.75,310.85,311.58,2575
2020-07-14 13:55:00,311.4,311.68,311.08,311.3,2572
2020-07-14 14:00:00,311.3,312.25,311.3,312.25,17482
2020-07-14 14:05:00,312.23,312.25,311.25,312.25,2968
2020-07-14 14:10:00,312.13,312.25,311.98,312.23,880
2020-07-14 14:15:00,312.03,314.0,312.0,313.9,10777
2020-07-14 14:20:00,313.73,313.8,312.55,312.55,3441
2020-07-14 14:25:00,313.1,313.13,312.48,312.5,1975
2020-07-14 14:30:00,312.5,312.5,311.25,311.5,3423
2020-07-14 14:35:00,311.43,311.93,311.0,311.93,3702
2020-07-14 14:40:00,311.88,312.5,311.88,312.25,6638
2020-07-14 14:45:00,312.25,312.95,312.2,312.95,6240
2020-07-14 14:50:00,312.95,315.0,312.93,314.98,11316
2020-07-14 14:55:00,314.98,315.4,314.0,315.38,10434
2020-07-14 15:00:00,315.2,321.0,315.05,319.7,36216
2020-07-14 15:05:00,319.43,320.5,317.0,317.75,36824
2020-07-14 15:10:00,317.5,320.0,317.28,319.8,15443
2020-07-14 15:15:00,319.85,319.85,318.25,318.58,9947
2020-07-14 15:20:00,318.58,318.88,315.0,316.25,24754
2020-07-14 15:25:00,316.2,317.93,315.0,317.93,18819
2020-07-15 09:15:00,320.0,322.4,318.0,319.48,20924
2020-07-15 09:20:00,319.45,320.0,317.7,318.0,11634
2020-07-15 09:25:00,317.7,319.05,317.5,318.4,6716
2020-07-15 09:30:00,318.5,321.68,318.5,321.0,11979
2020-07-15 09:35:00,321.1,322.33,321.0,321.05,22576
2020-07-15 09:40:00,321.05,321.48,319.15,319.45,7171
2020-07-15 09:45:00,319.45,320.4,319.3,320.08,5466
2020-07-15 09:50:00,320.3,321.28,319.63,319.9,9704
2020-07-15 09:55:00,319.98,320.0,319.48,319.48,4166
2020-07-15 10:00:00,319.45,319.88,319.05,319.13,3451
2020-07-15 10:05:00,319.25,319.55,318.05,318.2,6511
2020-07-15 10:10:00,318.2,319.45,318.15,318.28,6504
2020-07-15 10:15:00,318.28,319.18,318.28,318.8,4202
2020-07-15 10:20:00,318.8,319.45,318.5,318.58,3908
2020-07-15 10:25:00,319.0,319.0,318.28,318.5,3114
2020-07-15 10:30:00,318.88,318.98,318.28,318.28,3058
2020-07-15 10:35:00,318.28,318.93,318.03,318.03,6380
2020-07-15 10:40:00,318.0,318.35,315.68,316.25,9679
2020-07-15 10:45:00,316.45,317.93,316.25,317.58,5730
2020-07-15 10:50:00,317.58,319.5,317.5,318.53,6601
2020-07-15 10:55:00,318.53,319.4,318.53,318.65,5124
2020-07-15 11:00:00,318.7,318.73,318.5,318.5,3641
2020-07-15 11:05:00,318.5,318.5,315.5,315.65,9254
2020-07-15 11:10:00,315.85,316.95,315.0,315.7,11740
2020-07-15 11:15:00,316.05,317.88,315.68,316.78,5890
2020-07-15 11:20:00,316.78,317.23,316.75,317.0,2578
2020-07-15 11:25:00,317.0,318.9,316.78,318.55,9255
2020-07-15 11:30:00,318.53,319.25,317.5,318.25,7286
2020-07-15 11:35:00,318.25,320.5,318.0,320.08,15057
2020-07-15 11:40:00,320.5,321.0,318.8,319.08,17589
2020-07-15 11:45:00,319.08,319.55,318.0,318.0,3175
2020-07-15 11:50:00,318.3,319.23,317.5,318.5,5657
2020-07-15 11:55:00,318.5,318.73,317.5,317.7,3302
2020-07-15 12:00:00,318.13,318.45,317.5,317.55,2665
2020-07-15 12:05:00,317.55,317.65,316.75,317.03,5335
2020-07-15 12:10:00,317.45,317.5,316.75,316.78,3175
2020-07-15 12:15:00,316.78,317.35,315.13,315.13,9881
2020-07-15 12:20:00,315.25,316.28,315.15,315.28,3268
2020-07-15 12:25:00,315.28,315.4,315.25,315.4,4144
2020-07-15 12:30:00,315.4,316.58,315.3,315.75,3302
2020-07-15 12:35:00,315.75,316.65,315.75,316.5,3665
2020-07-15 12:40:00,316.5,317.0,316.35,316.5,3290
2020-07-15 12:45:00,316.5,316.85,315.78,316.5,4706
2020-07-15 12:50:00,316.5,316.63,316.5,316.5,2602
2020-07-15 12:55:00,316.5,316.85,316.5,316.5,4016
2020-07-15 13:00:00,316.5,316.5,316.0,316.0,2571
2020-07-15 13:05:00,316.0,316.2,316.0,316.05,3712
2020-07-15 13:10:00,316.03,317.5,316.03,316.7,8192
2020-07-15 13:15:00,316.7,317.0,316.5,316.5,2893
2020-07-15 13:20:00,316.5,317.08,316.5,316.5,2976
2020-07-15 13:25:00,316.65,317.13,316.5,316.95,3333
2020-07-15 13:30:00,316.58,317.03,316.5,316.5,3384
2020-07-15 13:35:00,316.5,316.78,315.3,315.75,5068
2020-07-15 13:40:00,315.75,316.0,315.5,315.75,3245
2020-07-15 13:45:00,315.75,315.8,315.5,315.5,3451
2020-07-15 13:50:00,315.5,315.6,315.13,315.13,4461
2020-07-15 13:55:00,315.13,315.5,315.13,315.43,1515
2020-07-15 14:00:00,315.43,315.45,315.15,315.18,3086
2020-07-15 14:05:00,315.2,315.43,315.18,315.28,2125
2020-07-15 14:10:00,315.28,315.45,314.0,314.2,8066
2020-07-15 14:15:00,314.0,314.2,312.15,312.98,16123
2020-07-15 14:20:00,313.0,313.0,312.5,312.5,7806
2020-07-15 14:25:00,312.53,312.85,312.5,312.5,17389
