Datetime,Open,High,Low,Close,Volume
2020-07-13 09:15:00,499.55,503.0,499.55,502.6,16962
2020-07-13 09:20:00,502.6,503.8,500.55,500.9,34179
2020-07-13 09:25:00,501.0,501.85,499.5,501.35,12548
2020-07-13 09:30:00,501.85,504.8,501.4,503.2,61089
2020-07-13 09:35:00,503.05,504.65,503.0,504.15,12209
2020-07-13 09:40:00,504.15,504.55,503.2,504.2,12178
2020-07-13 09:45:00,503.75,504.35,502.3,503.0,12858
2020-07-13 09:50:00,503.0,503.4,501.3,502.65,28924
2020-07-13 09:55:00,502.6,504.5,502.15,503.65,14137
2020-07-13 10:00:00,503.15,504.8,503.0,503.35,27895
2020-07-13 10:05:00,503.1,504.0,503.1,503.5,6511
2020-07-13 10:10:00,503.8,504.6,503.05,504.25,10062
2020-07-13 10:15:00,504.0,506.85,503.45,506.55,41223
2020-07-13 10:20:00,506.55,506.55,505.3,505.9,29199
2020-07-13 10:25:00,506.0,506.8,505.9,506.45,15955
2020-07-13 10:30:00,506.5,506.6,505.2,505.5,10570
2020-07-13 10:35:00,505.8,506.3,505.4,506.3,7932
2020-07-13 10:40:00,506.3,507.95,506.1,506.8,18355
2020-07-13 10:45:00,507.0,507.45,506.3,506.85,9533
2020-07-13 10:50:00,506.65,506.85,505.1,505.15,8420
2020-07-13 10:55:00,505.1,506.0,504.35,505.0,10684
2020-07-13 11:00:00,505.25,505.25,504.0,504.3,8215
2020-07-13 11:05:00,504.2,504.65,502.3,502.7,32675
2020-07-13 11:10:00,502.45,502.85,500.1,502.85,50448
2020-07-13 11:15:00,502.35,502.45,501.5,501.8,8552
2020-07-13 11:20:00,501.8,501.8,500.0,500.5,22742
2020-07-13 11:25:00,500.5,501.8,500.2,501.65,5283
2020-07-13 11:30:00,501.4,502.4,501.35,502.2,7952
2020-07-13 11:35:00,502.35,503.45,502.35,502.45,10311
2020-07-13 11:40:00,502.4,502.45,500.9,500.9,6111
2020-07-13 11:45:00,501.05,502.4,500.75,501.3,4870
2020-07-13 11:50:00,501.0,501.7,500.5,500.7,5285
2020-07-13 11:55:00,500.7,501.35,500.6,501.0,1139
2020-07-13 12:00:00,500.95,501.2,500.25,500.45,3162
2020-07-13 12:05:00,500.8,501.6,500.5,501.6,2498
2020-07-13 12:10:00,501.15,501.4,500.8,501.0,1662
2020-07-13 12:15:00,501.0,501.65,500.7,501.25,5895
2020-07-13 12:20:00,501.25,501.35,500.55,500.55,949
2020-07-13 12:25:00,500.55,500.95,500.15,500.85,3462
2020-07-13 12:30:00,500.55,501.35,500.55,501.1,2225
2020-07-13 12:35:00,501.6,501.85,500.25,500.85,17595
2020-07-13 12:40:00,500.85,501.2,499.9,500.5,5921
2020-07-13 12:45:00,500.85,500.85,498.9,499.25,8488
2020-07-13 12:50:00,499.2,500.0,498.85,499.6,9496
2020-07-13 12:55:00,499.55,500.0,499.1,499.35,3646
2020-07-13 13:00:00,499.3,499.9,499.3,499.9,857
2020-07-13 13:05:00,499.9,500.8,499.75,500.8,1887
2020-07-13 13:10:00,500.75,501.75,500.55,501.3,4532
2020-07-13 13:15:00,501.3,501.3,500.3,500.5,2034
2020-07-13 13:20:00,500.75,501.0,500.55,500.75,2046
2020-07-13 13:25:00,501.2,501.25,500.6,500.7,2340
2020-07-13 13:30:00,500.25,500.7,500.25,500.4,9401
2020-07-13 13:35:00,500.5,500.9,500.4,500.85,5809
2020-07-13 13:40:00,500.8,500.8,500.5,500.5,692
2020-07-13 13:45:00,500.5,500.95,500.05,500.5,18991
2020-07-13 13:50:00,500.35,501.25,500.25,500.6,18963
2020-07-13 13:55:00,500.75,501.2,500.35,500.75,12872
2020-07-13 14:00:00,500.7,501.3,500.25,500.35,5162
2020-07-13 14:05:00,500.35,501.7,500.35,501.0,2564
2020-07-13 14:10:00,501.05,501.4,500.8,500.95,1561
2020-07-13 14:15:00,501.2,501.5,500.6,500.85,1684
2020-07-13 14:20:00,500.6,501.65,500.6,501.4,2493
2020-07-13 14:25:00,502.0,502.0,501.0,501.4,4313
2020-07-13 14:30:00,501.25,502.0,501.0,501.0,5125
2020-07-13 14:35:00,501.0,501.45,501.0,501.35,1317
2020-07-13 14:40:00,501.5,501.95,500.75,500.75,12528
2020-07-13 14:45:00,501.0,501.5,500.0,501.1,8678
2020-07-13 14:50:00,500.95,501.0,500.15,500.15,1747
2020-07-13 14:55:00,500.15,500.8,500.15,500.5,2513
2020-07-13 15:00:00,500.45,501.6,500.35,500.6,10256
2020-07-13 15:05:00,500.8,501.45,500.7,501.4,10822
2020-07-13 15:10:00,501.45,501.45,499.9,499.9,22698
2020-07-13 15:15:00,500.0,500.4,499.4,499.45,16766
2020-07-13 15:20:00,499.45,499.7,498.0,498.6,24589
2020-07-13 15:25:00,498.6,499.75,497.5,499.75,12868
2020-07-14 09:15:00,499.0,500.55,498.0,499.65,20201
2020-07-14 09:20:00,498.55,499.4,496.8,499.1,23947
2020-07-14 09:25:00,498.65,498.75,497.5,498.0,8820
2020-07-14 09:30:00,497.75,498.0,496.05,496.6,14806
2020-07-14 09:35:00,496.6,498.55,496.5,497.35,4847
2020-07-14 09:40:00,497.3,498.25,496.75,496.9,4407
2020-07-14 09:45:00,496.65,497.75,496.55,496.55,3951
2020-07-14 09:50:00,496.8,497.5,496.55,496.65,6634
2020-07-14 09:55:00,496.6,498.1,496.6,497.5,4824
2020-07-14 10:00:00,497.5,497.8,497.0,497.1,8447
2020-07-14 10:05:00,497.35,497.35,496.25,496.3,4620
2020-07-14 10:10:00,496.3,497.35,496.3,496.85,4338
2020-07-14 10:15:00,497.15,497.6,496.6,497.35,6221
2020-07-14 10:20:00,497.05,497.4,496.35,496.65,4981
2020-07-14 10:25:00,496.75,497.65,496.5,497.65,6092
2020-07-14 10:30:00,497.65,497.65,496.15,496.8,4639
2020-07-14 10:35:00,497.1,497.4,496.05,496.25,7508
2020-07-14 10:40:00,495.45,495.65,493.6,494.05,29412
2020-07-14 10:45:00,494.0,495.75,492.9,495.05,25555
2020-07-14 10:50:00,495.05,496.5,495.0,496.2,22400
2020-07-14 10:55:00,496.25,499.65,496.25,498.2,73007
2020-07-14 11:00:00,498.0,498.7,498.0,498.1,26850
2020-07-14 11:05:00,498.0,498.15,498.0,498.0,26456
2020-07-14 11:10:00,498.0,498.5,498.0,498.35,51629
2020-07-14 11:15:00,498.05,498.5,498.0,498.0,24109
