Datetime,Open,High,Low,Close,Volume
2020-07-13 09:15:00,42.45,42.75,42.15,42.35,2599413
2020-07-13 09:20:00,42.35,42.35,42.2,42.3,841747
2020-07-13 09:25:00,42.3,42.35,42.2,42.2,562460
2020-07-13 09:30:00,42.2,42.3,42.1,42.1,716473
2020-07-13 09:35:00,42.1,42.25,42.0,42.2,581486
2020-07-13 09:40:00,42.15,42.4,42.05,42.4,825215
2020-07-13 09:45:00,42.35,42.4,42.2,42.2,493179
2020-07-13 09:50:00,42.2,42.3,42.1,42.1,430408
2020-07-13 09:55:00,42.15,42.2,42.05,42.1,465298
2020-07-13 10:00:00,42.1,42.15,42.1,42.15,184867
2020-07-13 10:05:00,42.1,42.15,42.05,42.15,303947
2020-07-13 10:10:00,42.1,42.15,42.05,42.05,190111
2020-07-13 10:15:00,42.1,42.2,42.05,42.15,262135
2020-07-13 10:20:00,42.1,42.3,42.1,42.2,433758
2020-07-13 10:25:00,42.2,42.35,42.2,42.3,444547
2020-07-13 10:30:00,42.3,42.35,42.3,42.3,227482
2020-07-13 10:35:00,42.35,42.35,42.25,42.3,271182
2020-07-13 10:40:00,42.25,42.3,42.2,42.25,211289
2020-07-13 10:45:00,42.2,42.3,42.2,42.25,144145
2020-07-13 10:50:00,42.3,42.3,42.25,42.25,93405
2020-07-13 10:55:00,42.3,43.0,42.25,43.0,3332479
2020-07-13 11:00:00,42.95,43.0,42.45,42.6,1549090
2020-07-13 11:05:00,42.6,42.65,42.5,42.55,584086
2020-07-13 11:10:00,42.55,42.55,42.35,42.45,720338
2020-07-13 11:15:00,42.45,42.5,42.4,42.5,416105
2020-07-13 11:20:00,42.5,42.6,42.4,42.5,513097
2020-07-13 11:25:00,42.5,42.5,42.4,42.45,174183
2020-07-13 11:30:00,42.4,42.5,42.4,42.45,542546
2020-07-13 11:35:00,42.4,42.45,42.3,42.35,332079
2020-07-13 11:40:00,42.4,42.4,42.3,42.35,315502
2020-07-13 11:45:00,42.35,42.35,42.3,42.3,150740
2020-07-13 11:50:00,42.3,42.35,42.25,42.25,150460
2020-07-13 11:55:00,42.3,42.35,42.25,42.3,156826
2020-07-13 12:00:00,42.3,42.6,42.3,42.45,883987
2020-07-13 12:05:00,42.5,42.5,42.45,42.45,307619
2020-07-13 12:10:00,42.45,42.5,42.4,42.4,234416
