Datetime,Open,High,Low,Close,Volume
2020-07-10 09:15:00,364.9,366.75,363.25,366.2,1414067
2020-07-10 09:20:00,366.35,367.0,365.3,365.85,656067
2020-07-10 09:25:00,365.9,367.3,365.55,367.0,471796
2020-07-10 09:30:00,367.15,368.2,366.25,366.75,828704
2020-07-10 09:35:00,366.65,367.55,366.0,367.5,426503
2020-07-10 09:40:00,367.35,367.8,366.9,367.05,370666
2020-07-10 09:45:00,367.0,367.45,366.6,366.75,208426
2020-07-10 09:50:00,366.65,367.3,366.25,366.75,202077
2020-07-10 09:55:00,366.75,366.9,366.2,366.6,247735
2020-07-10 10:00:00,366.65,367.4,366.5,366.7,360946
2020-07-10 10:05:00,366.75,367.4,366.75,366.9,223527
2020-07-10 10:10:00,367.0,367.4,366.9,367.2,203226
2020-07-10 10:15:00,367.3,367.4,366.7,366.75,166907
2020-07-10 10:20:00,366.7,366.8,366.1,366.45,261021
2020-07-10 10:25:00,366.45,366.9,366.3,366.4,160805
2020-07-10 10:30:00,366.3,366.4,365.5,365.95,463187
2020-07-10 10:35:00,366.0,366.15,365.35,365.8,201428
2020-07-10 10:40:00,365.8,365.95,365.1,365.1,281996
2020-07-10 10:45:00,365.05,365.7,365.0,365.3,389340
2020-07-10 10:50:00,365.25,366.0,364.8,365.1,329996
2020-07-10 10:55:00,365.15,365.25,364.55,364.7,270878
2020-07-10 11:00:00,364.7,364.7,364.3,364.6,333801
2020-07-10 11:05:00,364.6,364.65,364.0,364.35,334662
2020-07-10 11:10:00,364.5,365.0,364.2,364.5,346741
2020-07-10 11:15:00,364.45,364.95,364.15,364.7,174297
2020-07-10 11:20:00,364.8,364.95,364.35,364.75,188486
2020-07-10 11:25:00,364.7,364.8,364.0,364.05,359141
2020-07-10 11:30:00,364.0,364.75,364.0,364.4,151310
2020-07-10 11:35:00,364.4,365.0,364.35,364.7,100626
2020-07-10 11:40:00,364.8,364.8,364.1,364.45,162364
2020-07-10 11:45:00,364.45,364.65,364.15,364.4,108141
2020-07-10 11:50:00,364.45,364.9,364.35,364.6,142048
2020-07-10 11:55:00,364.5,364.8,363.0,363.7,551459
2020-07-10 12:00:00,363.75,364.0,363.3,363.65,208163
2020-07-10 12:05:00,363.7,364.15,363.0,364.05,398841
2020-07-10 12:10:00,364.0,364.1,363.85,364.05,177322
2020-07-10 12:15:00,364.0,364.3,361.35,361.7,821512
2020-07-10 12:20:00,361.6,362.45,361.6,362.35,387182
2020-07-10 12:25:00,362.15,362.5,361.3,362.15,272499
2020-07-10 12:30:00,362.1,362.8,361.8,362.45,212575
2020-07-10 12:35:00,362.5,362.85,362.1,362.65,152981
2020-07-10 12:40:00,362.75,363.1,362.55,362.8,194313
2020-07-10 12:45:00,362.75,363.0,362.25,362.75,162210
2020-07-10 12:50:00,362.75,362.95,362.35,362.55,135375
2020-07-10 12:55:00,362.4,363.5,362.1,363.35,224181
2020-07-10 13:00:00,363.25,363.8,363.0,363.3,189324
2020-07-10 13:05:00,363.4,363.75,362.9,363.2,191645
2020-07-10 13:10:00,363.15,364.2,362.55,362.75,1183373
2020-07-10 13:15:00,362.7,363.0,361.75,361.95,315507
2020-07-10 13:20:00,361.95,362.7,361.7,362.1,644699
2020-07-10 13:25:00,362.15,362.55,361.4,362.45,553779
2020-07-10 13:30:00,362.45,363.6,362.2,363.4,370174
2020-07-10 13:35:00,363.45,363.6,362.4,363.15,267521
2020-07-10 13:40:00,363.1,363.75,362.95,362.95,440020
2020-07-10 13:45:00,363.15,363.5,362.2,362.25,265402
2020-07-10 13:50:00,362.3,362.6,361.65,362.2,440305
2020-07-10 13:55:00,362.35,362.65,361.6,361.75,362361
2020-07-10 14:00:00,361.75,361.9,360.6,360.85,553935
2020-07-10 14:05:00,360.8,360.95,360.0,360.7,725793
2020-07-10 14:10:00,360.7,361.1,359.1,359.5,606298
2020-07-10 14:15:00,359.5,360.65,359.5,359.85,379527
2020-07-10 14:20:00,359.85,360.0,359.0,359.15,342878
2020-07-10 14:25:00,359.15,360.3,359.0,360.3,276124
2020-07-10 14:30:00,360.25,360.5,359.65,360.25,277061
2020-07-10 14:35:00,360.2,361.6,360.1,361.15,440944
2020-07-10 14:40:00,361.0,361.15,359.9,360.0,342723
2020-07-10 14:45:00,360.0,360.75,360.0,360.45,151549
2020-07-10 14:50:00,360.5,360.6,359.3,360.3,314786
2020-07-10 14:55:00,360.35,360.95,360.2,360.65,174703
2020-07-10 15:00:00,360.6,361.85,360.55,361.45,586209
2020-07-10 15:05:00,361.45,361.6,360.9,360.9,327743
2020-07-10 15:10:00,361.1,361.25,359.7,360.0,887910
2020-07-10 15:15:00,360.0,360.4,359.5,359.75,751557
2020-07-10 15:20:00,359.65,360.1,359.4,359.75,490910
2020-07-10 15:25:00,359.75,360.35,359.5,360.35,554366
2020-07-13 09:15:00,364.1,367.0,364.0,364.9,1358602
2020-07-13 09:20:00,364.75,365.5,364.65,365.0,686987
2020-07-13 09:25:00,365.15,365.15,363.8,363.95,637213
2020-07-13 09:30:00,363.85,364.8,363.85,363.95,667391
2020-07-13 09:35:00,363.9,364.4,362.5,363.1,741916
2020-07-13 09:40:00,363.1,363.85,362.8,363.5,291432
2020-07-13 09:45:00,363.35,364.0,362.3,362.45,304199
2020-07-13 09:50:00,362.5,363.4,362.3,363.0,333436
2020-07-13 09:55:00,362.9,363.75,362.5,363.7,271853
2020-07-13 10:00:00,363.55,363.7,362.8,363.05,209894
2020-07-13 10:05:00,363.0,363.35,362.5,362.5,233113
2020-07-13 10:10:00,362.6,362.6,361.75,362.25,390180
2020-07-13 10:15:00,362.25,362.4,361.6,361.85,409038
2020-07-13 10:20:00,361.7,362.3,361.5,361.9,288879
2020-07-13 10:25:00,361.7,362.05,361.55,362.0,300634
2020-07-13 10:30:00,362.0,362.0,361.15,361.75,269442
2020-07-13 10:35:00,361.8,362.0,361.2,361.65,329254
2020-07-13 10:40:00,361.65,362.5,361.5,362.15,435318
2020-07-13 10:45:00,362.0,362.35,361.8,361.85,418981
2020-07-13 10:50:00,361.85,361.85,361.0,361.25,327483
2020-07-13 10:55:00,361.25,361.75,361.0,361.25,275970
2020-07-13 11:00:00,361.25,362.0,361.25,361.55,259791
2020-07-13 11:05:00,361.5,361.55,359.2,360.1,849313
2020-07-13 11:10:00,360.1,360.1,357.6,358.45,784514
2020-07-13 11:15:00,358.4,358.75,357.6,358.5,398201
2020-07-13 11:20:00,358.3,359.2,358.3,358.5,225213
2020-07-13 11:25:00,358.55,359.2,357.7,357.9,209149
2020-07-13 11:30:00,357.95,358.8,357.15,358.7,273351
2020-07-13 11:35:00,358.55,359.1,358.15,358.5,152259
2020-07-13 11:40:00,358.5,358.5,357.4,357.6,185485
2020-07-13 11:45:00,357.75,358.4,357.15,357.55,407505
2020-07-13 11:50:00,357.55,357.9,357.15,357.25,216455
2020-07-13 11:55:00,357.25,357.9,356.8,357.55,457418
2020-07-13 12:00:00,357.55,357.55,356.5,356.95,326601
2020-07-13 12:05:00,356.95,357.5,356.9,357.25,202870
2020-07-13 12:10:00,357.2,357.9,357.05,357.25,302566
2020-07-13 12:15:00,357.3,358.5,357.3,358.15,498001
2020-07-13 12:20:00,358.0,358.35,357.45,357.6,330664
2020-07-13 12:25:00,357.6,358.8,357.5,358.1,461622
2020-07-13 12:30:00,358.2,359.2,358.0,358.4,458189
2020-07-13 12:35:00,358.5,359.0,358.15,358.2,238328
2020-07-13 12:40:00,358.15,358.2,357.35,357.5,206573
2020-07-13 12:45:00,357.5,357.7,357.0,357.1,347231
2020-07-13 12:50:00,357.15,357.8,357.05,357.1,262808
2020-07-13 12:55:00,357.1,357.25,354.8,355.15,931832
2020-07-13 13:00:00,355.25,355.8,355.0,355.4,611968
2020-07-13 13:05:00,355.3,356.55,355.25,356.4,463052
2020-07-13 13:10:00,356.25,356.9,356.0,356.4,398495
2020-07-13 13:15:00,356.5,356.5,355.15,355.15,229371
2020-07-13 13:20:00,355.25,355.75,355.1,355.45,158754
2020-07-13 13:25:00,355.4,356.65,355.05,356.6,304581
2020-07-13 13:30:00,356.6,356.8,354.65,355.25,378557
2020-07-13 13:35:00,355.25,355.85,355.0,355.6,220596
2020-07-13 13:40:00,355.55,355.9,355.25,355.35,197312
2020-07-13 13:45:00,355.35,355.75,354.5,354.65,332298
2020-07-13 13:50:00,354.65,354.95,352.5,353.1,730562
2020-07-13 13:55:00,353.0,353.65,352.5,353.45,455291
2020-07-13 14:00:00,353.65,354.15,353.35,353.8,322854
2020-07-13 14:05:00,353.9,354.4,353.55,353.8,262476
2020-07-13 14:10:00,353.8,354.8,353.8,354.4,314009
2020-07-13 14:15:00,354.5,355.35,353.85,354.0,365016
2020-07-13 14:20:00,354.05,354.15,353.4,353.85,303061
2020-07-13 14:25:00,353.85,354.5,353.25,353.55,409036
2020-07-13 14:30:00,353.5,354.1,353.35,353.75,237118
2020-07-13 14:35:00,353.75,353.8,353.2,353.6,334565
2020-07-13 14:40:00,353.5,355.7,353.5,355.05,789720
2020-07-13 14:45:00,355.15,355.8,355.0,355.25,523167
2020-07-13 14:50:00,355.3,355.3,353.85,353.9,468679
2020-07-13 14:55:00,353.9,354.55,353.8,354.5,319169
2020-07-13 15:00:00,354.5,354.55,353.95,354.0,580209
2020-07-13 15:05:00,354.0,354.2,353.4,353.6,598905
2020-07-13 15:10:00,353.5,353.65,352.75,353.25,1239367
2020-07-13 15:15:00,353.35,354.15,352.95,353.9,965635
2020-07-13 15:20:00,354.0,354.0,353.2,353.75,700658
2020-07-13 15:25:00,353.75,354.4,353.45,353.6,991653
