Datetime,Open,High,Low,Close,Volume
2020-07-10 09:15:00,61.9,62.47,61.87,62.47,3028
2020-07-10 09:20:00,62.42,62.58,62.32,62.45,6257
2020-07-10 09:25:00,62.45,62.67,62.42,62.65,7080
2020-07-10 09:30:00,62.65,62.67,62.52,62.53,4831
2020-07-10 09:35:00,62.53,62.53,62.28,62.28,3908
2020-07-10 09:40:00,62.27,62.37,61.73,62.07,12103
2020-07-10 09:45:00,62.03,62.3,62.03,62.23,876
2020-07-10 09:50:00,62.27,62.58,62.2,62.48,12260
2020-07-10 09:55:00,62.47,62.67,62.45,62.62,4510
2020-07-10 10:00:00,62.57,62.7,62.55,62.57,5495
2020-07-10 10:05:00,62.57,62.65,62.48,62.63,3315
2020-07-10 10:10:00,62.63,62.63,62.38,62.58,1950
2020-07-10 10:15:00,62.53,62.58,62.37,62.45,2606
2020-07-10 10:20:00,62.42,62.57,62.4,62.42,2305
2020-07-10 10:25:00,62.42,62.47,62.12,62.42,5181
2020-07-10 10:30:00,62.35,62.42,62.22,62.37,1520
2020-07-10 10:35:00,62.33,62.4,62.17,62.32,1867
2020-07-10 10:40:00,62.33,62.4,62.0,62.12,3383
2020-07-10 10:45:00,62.13,62.23,62.03,62.23,992
2020-07-10 10:50:00,62.23,62.23,62.0,62.22,7503
2020-07-10 10:55:00,62.22,62.28,62.17,62.25,1493
2020-07-10 11:00:00,62.27,62.4,62.15,62.33,2102
2020-07-10 11:05:00,62.28,62.38,62.17,62.32,2442
2020-07-10 11:10:00,62.32,62.47,62.18,62.37,2129
2020-07-10 11:15:00,62.43,62.5,62.33,62.48,1042
2020-07-10 11:20:00,62.5,62.57,62.27,62.47,2827
2020-07-10 11:25:00,62.48,62.5,62.17,62.25,3512
2020-07-10 11:30:00,62.25,62.32,62.05,62.18,9038
2020-07-10 11:35:00,62.18,62.3,62.17,62.28,1238
2020-07-10 11:40:00,62.28,62.33,62.25,62.3,1402
2020-07-10 11:45:00,62.3,62.33,62.07,62.13,19481
2020-07-10 11:50:00,62.13,62.28,62.03,62.25,16765
2020-07-10 11:55:00,62.25,62.3,62.22,62.3,2977
2020-07-10 12:00:00,62.3,62.33,62.23,62.32,7443
2020-07-10 12:05:00,62.32,62.33,62.22,62.32,6358
2020-07-10 12:10:00,62.32,62.33,62.27,62.33,3113
2020-07-10 12:15:00,62.33,62.33,62.07,62.13,8994
2020-07-10 12:20:00,62.12,62.22,62.05,62.08,6540
2020-07-10 12:25:00,62.15,62.22,61.83,61.88,8323
2020-07-10 12:30:00,61.97,62.0,61.72,61.88,12115
2020-07-10 12:35:00,61.9,61.9,61.73,61.9,7420
2020-07-10 12:40:00,61.92,61.92,61.55,61.55,6001
2020-07-10 12:45:00,61.57,61.75,61.55,61.6,2961
2020-07-10 12:50:00,61.67,61.82,61.62,61.67,2000
2020-07-10 12:55:00,61.67,61.88,61.67,61.87,1193
2020-07-10 13:00:00,61.88,61.98,61.7,61.7,2966
2020-07-10 13:05:00,61.73,61.9,61.72,61.83,2113
2020-07-10 13:10:00,61.85,61.98,61.8,61.9,1217
2020-07-10 13:15:00,61.93,62.05,61.78,62.02,4569
2020-07-10 13:20:00,62.02,62.2,62.0,62.17,6032
2020-07-10 13:25:00,62.18,62.3,62.13,62.25,5938
2020-07-10 13:30:00,62.27,62.3,62.05,62.2,2665
2020-07-10 13:35:00,62.2,62.27,62.08,62.1,1308
2020-07-10 13:40:00,62.17,62.28,62.17,62.2,1185
2020-07-10 13:45:00,62.25,62.3,62.12,62.13,2034
2020-07-10 13:50:00,62.17,62.17,61.9,61.9,2917
2020-07-10 13:55:00,61.98,62.1,61.9,61.98,1213
2020-07-10 14:00:00,62.02,62.17,61.98,62.07,2204
2020-07-10 14:05:00,62.1,62.13,62.03,62.03,2093
2020-07-10 14:10:00,62.07,62.17,62.03,62.08,2057
2020-07-10 14:15:00,62.12,62.17,62.07,62.12,1461
2020-07-10 14:20:00,62.13,62.25,62.13,62.17,1556
2020-07-10 14:25:00,62.18,62.28,62.17,62.25,1835
2020-07-10 14:30:00,62.28,62.33,62.15,62.22,2717
2020-07-10 14:35:00,62.22,62.33,62.13,62.17,6058
2020-07-10 14:40:00,62.17,62.27,61.9,61.92,4160
2020-07-10 14:45:00,61.92,62.05,61.92,61.97,1182
2020-07-10 14:50:00,61.98,62.02,61.93,61.93,1385
2020-07-10 14:55:00,61.97,62.15,61.9,61.92,3758
2020-07-10 15:00:00,61.93,62.2,61.92,62.13,2318
2020-07-10 15:05:00,62.15,62.17,62.13,62.13,2794
2020-07-10 15:10:00,62.13,62.15,61.83,61.83,4250
2020-07-10 15:15:00,61.88,61.98,61.58,61.62,10545
2020-07-10 15:20:00,61.65,61.7,61.52,61.65,11289
2020-07-10 15:25:00,61.65,61.82,61.65,61.77,7487
2020-07-13 09:15:00,61.67,62.6,61.67,62.37,11820
2020-07-13 09:20:00,62.45,62.67,62.15,62.22,14840
2020-07-13 09:25:00,62.3,62.33,62.1,62.22,8645
2020-07-13 09:30:00,62.28,62.33,62.15,62.3,6935
2020-07-13 09:35:00,62.33,62.33,62.2,62.27,7414
2020-07-13 09:40:00,62.33,62.6,62.27,62.6,9360
2020-07-13 09:45:00,62.6,62.63,62.12,62.17,7293
2020-07-13 09:50:00,62.27,62.27,62.02,62.13,9259
2020-07-13 09:55:00,62.12,62.32,62.12,62.25,2522
2020-07-13 10:00:00,62.25,62.33,62.17,62.17,1374
2020-07-13 10:05:00,62.17,62.23,62.1,62.1,1587
2020-07-13 10:10:00,62.17,62.23,62.1,62.12,4772
2020-07-13 10:15:00,62.12,62.52,62.1,62.33,13686
2020-07-13 10:20:00,62.33,62.33,62.25,62.33,3334
2020-07-13 10:25:00,62.33,62.33,62.32,62.33,2526
2020-07-13 10:30:00,62.33,62.33,62.25,62.3,1896
2020-07-13 10:35:00,62.3,62.37,62.23,62.33,7072
2020-07-13 10:40:00,62.32,62.33,62.28,62.33,1672
2020-07-13 10:45:00,62.33,62.33,62.25,62.28,3465
2020-07-13 10:50:00,62.33,62.33,62.27,62.33,1645
2020-07-13 10:55:00,62.42,62.6,62.42,62.47,4671
2020-07-13 11:00:00,62.45,62.53,62.33,62.43,15400
2020-07-13 11:05:00,62.43,62.55,62.33,62.37,16455
2020-07-13 11:10:00,62.37,62.43,62.25,62.28,12109
2020-07-13 11:15:00,62.3,62.33,62.15,62.15,6011
2020-07-13 11:20:00,62.15,62.25,62.02,62.02,4808
2020-07-13 11:25:00,62.03,62.13,61.9,62.0,18103
2020-07-13 11:30:00,62.0,62.0,61.92,61.97,1421
2020-07-13 11:35:00,62.0,62.0,61.83,62.0,3486
2020-07-13 11:40:00,62.0,62.0,61.93,61.98,3916
2020-07-13 11:45:00,61.97,62.0,61.88,61.93,1930
2020-07-13 11:50:00,61.92,62.0,61.82,61.98,5053
2020-07-13 11:55:00,61.98,62.0,61.9,62.0,2322
2020-07-13 12:00:00,62.0,62.0,61.92,61.93,434
2020-07-13 12:05:00,61.98,61.98,61.5,61.9,23915
2020-07-13 12:10:00,61.9,61.9,61.82,61.87,647
2020-07-13 12:15:00,61.87,61.88,61.77,61.85,290
