Datetime,Open,High,Low,Close,Volume
2020-07-13 09:15:00,121.55,122.35,120.6,120.9,46327
2020-07-13 09:20:00,120.95,121.7,120.75,121.45,40402
2020-07-13 09:25:00,121.3,121.45,121.05,121.25,36413
2020-07-13 09:30:00,121.2,121.75,121.1,121.5,36398
2020-07-13 09:35:00,121.5,121.8,121.4,121.75,15564
2020-07-13 09:40:00,121.75,122.0,121.65,122.0,24359
2020-07-13 09:45:00,122.0,122.05,121.55,122.0,21204
2020-07-13 09:50:00,121.9,121.95,121.75,121.8,6294
2020-07-13 09:55:00,121.8,121.9,121.6,121.85,4566
2020-07-13 10:00:00,121.9,121.9,121.5,121.55,5891
2020-07-13 10:05:00,121.5,121.7,121.45,121.5,5138
2020-07-13 10:10:00,121.5,121.7,121.45,121.6,8061
2020-07-13 10:15:00,121.5,121.7,121.45,121.55,4846
2020-07-13 10:20:00,121.5,121.8,121.5,121.8,7177
2020-07-13 10:25:00,121.8,121.8,121.5,121.6,4898
2020-07-13 10:30:00,121.6,121.6,121.4,121.5,5328
2020-07-13 10:35:00,121.5,121.6,121.45,121.6,5289
2020-07-13 10:40:00,121.6,121.7,121.5,121.7,7651
2020-07-13 10:45:00,121.7,121.7,121.5,121.5,5640
2020-07-13 10:50:00,121.45,121.7,121.45,121.55,5356
2020-07-13 10:55:00,121.45,121.6,121.45,121.6,4560
2020-07-13 11:00:00,121.6,121.6,121.4,121.45,3579
2020-07-13 11:05:00,121.5,121.5,121.25,121.25,12665
2020-07-13 11:10:00,121.2,121.25,121.05,121.05,6939
2020-07-13 11:15:00,121.05,121.2,121.0,121.1,8086
2020-07-13 11:20:00,121.2,121.2,121.05,121.05,13620
2020-07-13 11:25:00,121.1,121.15,120.6,120.75,32140
2020-07-13 11:30:00,120.75,121.1,120.75,121.0,15056
2020-07-13 11:35:00,120.9,121.0,120.6,120.75,12800
2020-07-13 11:40:00,120.75,120.75,120.0,120.2,79223
2020-07-13 11:45:00,120.2,120.25,119.25,119.25,65131
2020-07-13 11:50:00,119.4,119.85,119.25,119.4,16696
2020-07-13 11:55:00,119.5,119.7,119.35,119.4,18662
2020-07-13 12:00:00,119.5,119.65,119.4,119.45,9063
2020-07-13 12:05:00,119.4,119.6,119.35,119.35,10554
2020-07-13 12:10:00,119.35,119.55,119.25,119.25,21745
2020-07-13 12:15:00,119.1,119.7,118.6,119.55,65477
2020-07-13 12:20:00,119.45,119.45,118.75,118.9,18470
2020-07-13 12:25:00,118.75,118.95,118.6,118.7,25368
2020-07-13 12:30:00,118.85,119.0,118.65,118.65,25209
2020-07-13 12:35:00,118.7,118.9,118.65,118.9,8990
2020-07-13 12:40:00,118.85,118.9,118.65,118.7,15845
2020-07-13 12:45:00,118.7,118.75,118.15,118.5,34665
2020-07-13 12:50:00,118.5,118.5,118.1,118.1,16247
2020-07-13 12:55:00,118.15,118.2,117.65,117.7,59646
2020-07-13 13:00:00,117.7,118.0,117.55,117.9,28200
2020-07-13 13:05:00,117.85,117.95,117.7,117.8,10519
2020-07-13 13:10:00,117.95,117.95,117.8,117.9,10325
2020-07-13 13:15:00,117.95,118.2,117.8,118.05,24425
2020-07-13 13:20:00,118.0,118.35,117.9,117.9,19248
2020-07-13 13:25:00,118.0,118.6,117.85,118.45,30222
2020-07-13 13:30:00,118.45,118.55,118.1,118.2,5537
2020-07-13 13:35:00,118.2,118.3,118.05,118.05,9860
2020-07-13 13:40:00,118.15,118.6,118.15,118.45,12591
2020-07-13 13:45:00,118.25,118.45,117.85,117.85,17501
2020-07-13 13:50:00,117.85,118.15,117.85,117.95,10812
2020-07-13 13:55:00,118.0,118.25,117.95,117.95,11119
2020-07-13 14:00:00,117.95,118.25,117.9,117.95,13258
2020-07-13 14:05:00,117.95,118.65,117.9,118.5,21328
2020-07-13 14:10:00,118.5,119.3,118.4,118.85,79594
2020-07-13 14:15:00,118.9,119.65,118.65,119.0,65665
2020-07-13 14:20:00,118.95,119.45,118.75,119.4,32986
2020-07-13 14:25:00,119.4,121.7,119.4,120.8,262007
2020-07-13 14:30:00,120.8,121.0,120.3,120.55,45519
2020-07-13 14:35:00,120.55,120.65,120.0,120.15,35747
2020-07-13 14:40:00,120.15,121.4,120.1,121.3,54482
2020-07-13 14:45:00,121.35,121.45,120.65,120.65,47005
2020-07-13 14:50:00,120.75,121.0,120.4,120.4,24532
2020-07-13 14:55:00,120.3,120.95,120.15,120.75,30934
2020-07-13 15:00:00,120.85,121.3,120.5,120.6,26808
2020-07-13 15:05:00,120.5,120.65,120.1,120.15,16175
2020-07-13 15:10:00,120.1,120.25,119.25,119.4,46981
2020-07-13 15:15:00,119.5,119.9,119.5,119.75,30083
2020-07-13 15:20:00,119.9,119.9,119.55,119.7,35816
2020-07-13 15:25:00,119.7,120.25,119.3,119.95,97150
2020-07-14 09:15:00,118.4,119.9,118.4,119.4,53117
2020-07-14 09:20:00,119.6,119.6,118.55,118.6,40994
2020-07-14 09:25:00,118.65,118.9,118.45,118.6,24289
2020-07-14 09:30:00,118.7,118.95,118.4,118.95,19514
2020-07-14 09:35:00,119.15,119.7,119.05,119.45,48850
2020-07-14 09:40:00,119.45,119.45,118.7,118.9,23256
2020-07-14 09:45:00,118.9,118.9,118.6,118.7,13443
2020-07-14 09:50:00,118.55,118.7,118.2,118.5,44350
2020-07-14 09:55:00,118.5,118.5,118.05,118.4,27278
2020-07-14 10:00:00,118.5,118.5,118.25,118.45,11128
2020-07-14 10:05:00,118.45,118.7,118.3,118.7,20269
2020-07-14 10:10:00,118.7,118.9,118.6,118.8,19382
2020-07-14 10:15:00,118.8,118.8,118.3,118.65,11578
2020-07-14 10:20:00,118.6,118.7,118.25,118.7,21290
2020-07-14 10:25:00,118.55,118.8,118.5,118.5,4462
2020-07-14 10:30:00,118.5,118.6,118.25,118.3,12281
2020-07-14 10:35:00,118.3,118.35,118.0,118.2,20796
2020-07-14 10:40:00,118.15,118.2,117.2,117.3,30976
2020-07-14 10:45:00,117.3,117.5,116.8,117.2,38485
2020-07-14 10:50:00,117.15,117.75,116.85,117.2,44619
2020-07-14 10:55:00,117.2,117.35,116.9,117.15,30916
2020-07-14 11:00:00,117.2,117.4,116.9,117.0,20617
2020-07-14 11:05:00,117.0,117.2,116.8,117.2,19675
2020-07-14 11:10:00,116.95,117.15,116.5,116.95,38950
2020-07-14 11:15:00,116.95,117.0,116.6,117.0,16194
2020-07-14 11:20:00,116.95,117.6,116.95,117.3,23304
2020-07-14 11:25:00,117.3,117.35,117.1,117.3,7287
2020-07-14 11:30:00,117.3,117.6,117.3,117.45,9209
2020-07-14 11:35:00,117.45,117.6,117.25,117.45,8306
2020-07-14 11:40:00,117.45,117.5,117.25,117.45,5367
2020-07-14 11:45:00,117.45,117.45,116.8,117.0,14393
2020-07-14 11:50:00,117.0,117.15,116.8,117.0,4591
2020-07-14 11:55:00,116.9,117.0,116.8,117.0,8222
2020-07-14 12:00:00,117.0,117.1,116.85,117.0,3338
2020-07-14 12:05:00,117.1,117.25,116.9,116.95,3900
2020-07-14 12:10:00,116.9,117.0,116.8,116.8,3375
2020-07-14 12:15:00,116.85,117.05,116.85,117.05,5966
2020-07-14 12:20:00,117.05,117.2,117.05,117.05,6586
2020-07-14 12:25:00,117.15,117.15,116.5,116.5,23008
2020-07-14 12:30:00,116.25,116.75,116.1,116.75,15470
2020-07-14 12:35:00,116.85,116.85,116.5,116.8,3732
2020-07-14 12:40:00,116.75,116.95,116.6,116.95,5595
2020-07-14 12:45:00,116.95,116.95,116.6,116.7,6113
2020-07-14 12:50:00,116.7,116.75,116.6,116.75,4988
2020-07-14 12:55:00,116.7,116.9,116.6,116.85,4117
2020-07-14 13:00:00,116.65,116.8,116.6,116.65,3469
2020-07-14 13:05:00,116.65,117.0,116.45,116.6,12579
2020-07-14 13:10:00,116.6,116.6,115.8,115.8,40801
2020-07-14 13:15:00,115.9,116.45,115.85,116.4,13559
2020-07-14 13:20:00,116.4,116.75,116.25,116.5,11360
2020-07-14 13:25:00,116.5,116.65,116.5,116.5,2656
2020-07-14 13:30:00,116.5,117.0,116.5,116.95,14561
2020-07-14 13:35:00,117.0,117.9,116.85,117.5,45324
2020-07-14 13:40:00,117.5,117.65,117.3,117.35,11786
2020-07-14 13:45:00,117.35,117.4,117.05,117.2,4587
