Datetime,Open,High,Low,Close,Volume
2020-07-10 09:15:00,124.77,125.43,123.92,125.25,1261745
2020-07-10 09:20:00,125.28,125.83,124.86,125.01,934758
2020-07-10 09:25:00,124.86,125.34,124.25,125.16,488800
2020-07-10 09:30:00,125.22,125.71,124.95,125.1,458394
2020-07-10 09:35:00,125.01,125.58,124.92,125.49,282167
2020-07-10 09:40:00,125.4,126.01,125.37,125.68,658061
2020-07-10 09:45:00,125.68,127.19,125.68,126.43,1568676
2020-07-10 09:50:00,126.31,126.85,126.04,126.79,550708
2020-07-10 09:55:00,126.82,127.25,126.52,127.13,898903
2020-07-10 10:00:00,127.16,127.76,127.13,127.25,1274367
2020-07-10 10:05:00,127.25,127.31,126.46,126.7,725208
2020-07-10 10:10:00,126.76,127.16,126.67,126.91,264419
2020-07-10 10:15:00,126.91,126.91,126.25,126.34,440117
2020-07-10 10:20:00,126.04,126.34,125.95,126.04,488073
2020-07-10 10:25:00,125.98,126.16,125.31,125.68,581144
2020-07-10 10:30:00,125.62,125.74,124.95,125.1,791325
2020-07-10 10:35:00,125.1,125.58,124.92,125.22,412807
2020-07-10 10:40:00,125.22,125.49,124.83,125.4,599839
2020-07-10 10:45:00,125.22,125.31,124.89,125.07,278880
2020-07-10 10:50:00,124.98,125.49,124.83,125.49,233590
2020-07-10 10:55:00,125.52,125.74,125.37,125.55,167287
2020-07-10 11:00:00,125.58,125.58,124.86,124.98,318644
2020-07-10 11:05:00,125.01,125.07,124.53,124.71,410340
2020-07-10 11:10:00,124.77,125.25,124.59,124.77,293237
2020-07-10 11:15:00,124.74,124.98,124.22,124.83,631991
2020-07-10 11:20:00,124.71,124.83,124.07,124.22,621876
2020-07-10 11:25:00,124.29,124.32,123.65,123.74,784424
2020-07-10 11:30:00,123.74,124.71,123.68,124.29,276898
2020-07-10 11:35:00,124.38,124.68,124.22,124.59,229968
2020-07-10 11:40:00,124.59,124.71,124.1,124.1,164534
2020-07-10 11:45:00,124.1,124.62,124.01,124.44,131705
2020-07-10 11:50:00,124.44,124.5,124.13,124.22,117987
2020-07-10 11:55:00,124.22,124.32,123.68,123.74,221299
2020-07-10 12:00:00,123.74,123.95,123.38,123.56,416677
2020-07-10 12:05:00,123.53,123.8,123.32,123.59,364516
2020-07-10 12:10:00,123.68,124.07,123.38,123.98,232523
2020-07-10 12:15:00,123.98,124.01,123.2,123.47,363469
2020-07-10 12:20:00,123.47,123.68,123.2,123.53,208602
2020-07-10 12:25:00,123.53,123.62,123.26,123.44,181983
2020-07-10 12:30:00,123.38,123.77,123.23,123.53,288195
2020-07-10 12:35:00,123.53,123.86,123.38,123.68,154242
2020-07-10 12:40:00,123.77,124.38,123.71,124.38,392703
2020-07-10 12:45:00,124.38,125.07,124.22,124.83,537346
2020-07-10 12:50:00,124.83,124.92,124.56,124.62,244862
2020-07-10 12:55:00,124.65,124.95,124.41,124.92,327004
2020-07-10 13:00:00,124.92,124.98,124.47,124.47,165686
2020-07-10 13:05:00,124.47,125.04,124.47,124.59,283692
2020-07-10 13:10:00,124.59,124.83,124.25,124.29,184573
2020-07-10 13:15:00,124.35,124.5,124.07,124.13,180229
2020-07-10 13:20:00,124.16,124.47,124.04,124.44,95106
2020-07-10 13:25:00,124.41,124.47,124.01,124.47,218476
2020-07-10 13:30:00,124.38,124.89,124.38,124.68,229689
2020-07-10 13:35:00,124.74,124.77,124.41,124.77,117699
2020-07-10 13:40:00,124.89,125.65,124.77,125.07,785028
2020-07-10 13:45:00,125.13,125.34,124.8,124.92,441117
2020-07-10 13:50:00,124.89,125.4,124.83,125.28,353624
2020-07-10 13:55:00,125.28,125.43,124.95,125.13,252131
2020-07-10 14:00:00,125.13,125.19,124.86,125.04,190222
2020-07-10 14:05:00,125.04,125.07,123.95,124.47,595194
2020-07-10 14:10:00,124.41,124.5,123.95,124.29,271837
2020-07-10 14:15:00,124.25,124.62,124.04,124.07,191838
2020-07-10 14:20:00,124.19,124.35,123.5,123.71,594081
2020-07-10 14:25:00,123.68,123.86,123.41,123.59,491328
2020-07-10 14:30:00,123.62,124.1,123.5,123.65,432921
2020-07-10 14:35:00,123.65,124.29,123.62,124.22,322728
2020-07-10 14:40:00,124.29,124.29,123.77,123.98,220494
2020-07-10 14:45:00,124.04,124.29,123.8,123.95,284146
2020-07-10 14:50:00,123.92,123.92,123.56,123.83,271452
2020-07-10 14:55:00,123.86,124.07,123.77,123.92,210320
2020-07-10 15:00:00,123.89,124.53,123.89,124.22,511252
2020-07-10 15:05:00,124.19,124.22,123.65,123.71,346457
2020-07-10 15:10:00,123.71,123.89,123.08,123.32,885421
2020-07-10 15:15:00,123.29,123.44,122.71,123.11,669828
2020-07-10 15:20:00,123.2,123.23,122.26,122.96,632080
