Datetime,Open,High,Low,Close,Volume
2020-07-13 09:15:00,91.05,91.15,90.55,90.85,223252
2020-07-13 09:20:00,90.9,91.2,90.8,91.05,194941
2020-07-13 09:25:00,91.0,91.1,90.85,90.85,210725
2020-07-13 09:30:00,90.85,91.3,90.75,91.25,229255
2020-07-13 09:35:00,91.25,91.35,91.05,91.1,97884
2020-07-13 09:40:00,91.15,91.15,91.0,91.1,71587
2020-07-13 09:45:00,91.1,91.35,91.05,91.3,122562
2020-07-13 09:50:00,91.3,91.3,91.15,91.2,55609
2020-07-13 09:55:00,91.15,91.25,91.15,91.25,89798
2020-07-13 10:00:00,91.3,92.65,91.3,92.6,1062147
2020-07-13 10:05:00,92.7,92.85,92.35,92.55,1092190
2020-07-13 10:10:00,92.6,92.65,92.3,92.55,1078206
2020-07-13 10:15:00,92.5,92.6,92.2,92.35,428991
2020-07-13 10:20:00,92.35,92.5,92.25,92.3,210007
2020-07-13 10:25:00,92.3,92.3,92.1,92.1,241248
2020-07-13 10:30:00,92.1,92.25,92.05,92.1,211589
2020-07-13 10:35:00,92.05,92.2,92.05,92.1,100229
2020-07-13 10:40:00,92.1,92.3,92.1,92.25,136564
2020-07-13 10:45:00,92.3,92.3,92.15,92.25,79656
2020-07-13 10:50:00,92.25,92.25,91.9,91.9,252821
2020-07-13 10:55:00,91.95,92.15,91.95,92.1,101890
2020-07-13 11:00:00,92.15,92.2,92.0,92.1,75134
2020-07-13 11:05:00,92.05,92.1,91.6,91.7,297396
2020-07-13 11:10:00,91.7,91.75,91.6,91.7,254538
2020-07-13 11:15:00,91.7,91.75,91.6,91.75,74017
2020-07-13 11:20:00,91.7,91.95,91.7,91.8,88093
2020-07-13 11:25:00,91.8,91.8,91.6,91.75,62088
2020-07-13 11:30:00,91.7,91.75,91.55,91.6,89763
2020-07-13 11:35:00,91.65,91.65,91.35,91.45,134783
2020-07-13 11:40:00,91.5,91.55,91.1,91.2,278475
2020-07-13 11:45:00,91.2,91.2,90.75,90.95,771201
2020-07-13 11:50:00,90.95,91.1,90.8,90.95,146620
2020-07-13 11:55:00,90.9,91.15,90.85,90.9,271191
2020-07-13 12:00:00,90.9,90.9,90.65,90.75,212927
2020-07-13 12:05:00,90.8,90.9,90.75,90.9,75327
2020-07-13 12:10:00,90.9,90.9,90.5,90.65,352833
2020-07-13 12:15:00,90.7,90.85,90.6,90.8,82934
2020-07-13 12:20:00,90.85,90.9,90.75,90.85,72302
2020-07-13 12:25:00,90.85,90.85,90.45,90.6,382579
2020-07-13 12:30:00,90.6,90.8,90.6,90.75,54339
2020-07-13 12:35:00,90.8,90.95,90.75,90.85,205010
2020-07-13 12:40:00,90.85,90.85,90.6,90.75,89164
2020-07-13 12:45:00,90.8,90.9,90.7,90.85,63818
2020-07-13 12:50:00,90.9,90.9,90.7,90.8,95575
2020-07-13 12:55:00,90.75,90.8,90.65,90.65,89324
2020-07-13 13:00:00,90.6,90.7,90.4,90.5,186935
2020-07-13 13:05:00,90.5,90.55,90.4,90.5,96965
2020-07-13 13:10:00,90.5,90.6,90.5,90.6,76394
2020-07-13 13:15:00,90.55,90.6,90.45,90.5,69940
2020-07-13 13:20:00,90.45,90.65,90.4,90.55,149746
2020-07-13 13:25:00,90.55,90.7,90.45,90.6,174950
2020-07-13 13:30:00,90.6,90.65,90.1,90.2,292047
2020-07-13 13:35:00,90.2,90.4,90.1,90.35,260010
2020-07-13 13:40:00,90.3,90.45,90.3,90.3,146996
2020-07-13 13:45:00,90.3,90.35,90.2,90.2,132093
2020-07-13 13:50:00,90.2,90.25,90.1,90.2,150511
2020-07-13 13:55:00,90.2,90.2,89.8,90.0,525185
2020-07-13 14:00:00,89.95,90.15,89.9,90.05,186554
2020-07-13 14:05:00,90.05,90.4,89.9,90.35,307285
2020-07-13 14:10:00,90.3,90.35,90.1,90.35,205791
2020-07-13 14:15:00,90.35,90.35,90.25,90.3,53083
2020-07-13 14:20:00,90.25,90.4,90.25,90.4,83586
2020-07-13 14:25:00,90.35,90.4,90.2,90.25,75910
2020-07-13 14:30:00,90.2,90.35,90.2,90.25,84316
2020-07-13 14:35:00,90.3,90.35,90.15,90.35,207121
