Datetime,Open,High,Low,Close,Volume
2020-07-13 09:15:00,495.0,498.15,494.7,495.3,276071
2020-07-13 09:20:00,495.1,497.35,494.25,494.5,211139
2020-07-13 09:25:00,494.25,495.4,493.9,494.65,123009
2020-07-13 09:30:00,494.85,494.85,492.3,493.45,153813
2020-07-13 09:35:00,493.35,493.7,492.55,493.7,107761
2020-07-13 09:40:00,493.75,496.85,493.5,496.3,237860
2020-07-13 09:45:00,496.4,497.4,496.0,496.4,177264
2020-07-13 09:50:00,496.4,496.9,495.0,495.3,79225
2020-07-13 09:55:00,495.1,496.3,494.65,496.05,99891
2020-07-13 10:00:00,496.05,496.8,495.95,496.8,43519
2020-07-13 10:05:00,496.8,498.5,496.7,497.8,193379
2020-07-13 10:10:00,497.95,497.95,496.15,496.75,62963
2020-07-13 10:15:00,496.8,497.05,496.0,496.15,61028
2020-07-13 10:20:00,496.1,496.2,495.2,495.6,63874
2020-07-13 10:25:00,495.4,495.9,495.15,495.15,44306
2020-07-13 10:30:00,495.15,496.0,495.1,495.6,41789
2020-07-13 10:35:00,495.6,496.0,495.5,495.75,55708
2020-07-13 10:40:00,495.55,496.35,495.55,495.8,40015
2020-07-13 10:45:00,495.95,496.65,495.8,496.4,22501
2020-07-13 10:50:00,496.3,496.9,496.15,496.75,32067
2020-07-13 10:55:00,496.65,497.0,496.5,496.5,37742
2020-07-13 11:00:00,496.75,496.75,496.05,496.5,20967
2020-07-13 11:05:00,496.7,496.95,495.5,495.7,48125
2020-07-13 11:10:00,495.5,495.7,494.5,494.8,94948
2020-07-13 11:15:00,494.6,495.9,493.35,495.9,89404
2020-07-13 11:20:00,495.9,496.5,495.8,496.4,28414
2020-07-13 11:25:00,496.35,496.7,496.25,496.4,29649
2020-07-13 11:30:00,496.35,496.55,495.55,496.0,37163
2020-07-13 11:35:00,496.25,496.95,496.0,496.75,22177
2020-07-13 11:40:00,496.75,496.9,495.75,496.1,44848
2020-07-13 11:45:00,496.1,496.7,495.95,496.5,25235
2020-07-13 11:50:00,496.5,499.3,496.5,499.05,282146
