Datetime,Open,High,Low,Close,Volume
2020-07-13 09:15:00,973.95,973.95,967.0,967.5,103446
2020-07-13 09:20:00,967.5,971.6,967.45,967.75,64229
2020-07-13 09:25:00,968.0,969.85,967.0,969.3,42894
2020-07-13 09:30:00,968.9,970.6,967.55,967.55,40331
2020-07-13 09:35:00,967.9,969.0,962.6,963.7,107823
2020-07-13 09:40:00,963.3,966.85,963.25,966.75,54112
2020-07-13 09:45:00,966.65,968.0,963.25,963.35,52910
2020-07-13 09:50:00,963.25,964.35,961.5,962.2,62320
2020-07-13 09:55:00,962.05,964.15,962.0,962.75,35729
2020-07-13 10:00:00,962.8,964.55,962.1,963.45,25762
2020-07-13 10:05:00,963.1,964.4,962.0,962.0,36615
2020-07-13 10:10:00,962.0,962.5,960.1,961.45,81482
2020-07-13 10:15:00,961.1,963.2,961.0,963.2,29716
2020-07-13 10:20:00,962.95,965.9,962.5,964.85,55407
2020-07-13 10:25:00,964.85,969.0,964.65,967.65,74128
2020-07-13 10:30:00,967.5,968.5,965.0,966.25,40177
2020-07-13 10:35:00,966.0,967.55,965.95,966.9,17049
2020-07-13 10:40:00,967.0,968.0,965.8,967.5,21111
2020-07-13 10:45:00,967.0,969.0,966.75,968.65,27469
2020-07-13 10:50:00,968.2,969.9,968.15,969.5,27681
2020-07-13 10:55:00,969.3,969.5,967.05,968.5,19722
2020-07-13 11:00:00,968.5,968.5,967.2,967.75,16983
2020-07-13 11:05:00,967.75,968.35,965.0,965.3,27068
2020-07-13 11:10:00,965.4,966.1,962.45,964.75,37054
2020-07-13 11:15:00,965.1,967.5,963.95,967.4,16665
2020-07-13 11:20:00,967.4,969.3,967.0,968.0,31547
2020-07-13 11:25:00,968.0,969.0,966.4,966.55,9639
2020-07-13 11:30:00,966.5,968.4,966.0,967.4,12861
2020-07-13 11:35:00,967.4,967.9,967.2,967.4,6914
2020-07-13 11:40:00,967.4,967.5,966.05,966.15,9721
2020-07-13 11:45:00,966.05,966.5,964.45,964.7,17479
2020-07-13 11:50:00,964.7,965.8,964.6,965.05,6393
2020-07-13 11:55:00,965.15,965.55,964.1,964.7,13168
2020-07-13 12:00:00,964.85,965.25,963.65,964.5,18721
2020-07-13 12:05:00,964.45,965.5,963.55,964.1,21540
2020-07-13 12:10:00,964.1,965.9,959.0,960.0,139227
2020-07-13 12:15:00,959.55,961.5,959.55,960.9,93075
2020-07-13 12:20:00,960.85,961.2,959.2,961.2,77224
2020-07-13 12:25:00,961.0,964.9,961.0,964.4,46179
2020-07-13 12:30:00,964.4,965.95,964.0,964.45,33542
2020-07-13 12:35:00,964.0,965.85,963.7,965.0,26996
2020-07-13 12:40:00,965.6,965.6,963.0,964.3,33483
2020-07-13 12:45:00,964.35,965.9,964.0,965.6,35673
2020-07-13 12:50:00,965.6,966.0,964.55,965.2,21545
2020-07-13 12:55:00,965.4,965.7,962.6,962.6,77581
2020-07-13 13:00:00,962.5,965.35,962.1,965.0,33338
2020-07-13 13:05:00,965.3,966.2,964.95,965.3,30157
2020-07-13 13:10:00,964.7,965.2,964.5,965.0,31924
2020-07-13 13:15:00,965.0,965.35,960.8,960.8,73969
2020-07-13 13:20:00,960.75,965.0,960.0,964.6,106497
2020-07-13 13:25:00,964.5,964.95,963.15,964.3,11332
2020-07-13 13:30:00,964.3,965.5,963.75,964.55,30447
2020-07-13 13:35:00,964.9,965.0,964.0,964.6,13777
2020-07-13 13:40:00,964.4,964.95,964.05,964.15,5888
2020-07-13 13:45:00,964.1,964.5,964.0,964.05,17219
2020-07-13 13:50:00,964.0,964.3,964.0,964.1,15876
2020-07-13 13:55:00,964.0,965.7,963.75,965.7,26671
2020-07-13 14:00:00,966.0,968.25,965.15,966.4,54552
2020-07-13 14:05:00,966.05,966.5,965.4,966.4,10112
2020-07-13 14:10:00,966.4,968.0,965.8,966.6,19746
2020-07-13 14:15:00,966.6,967.7,966.3,966.85,12335
2020-07-13 14:20:00,966.5,967.5,966.25,967.1,11000
2020-07-13 14:25:00,967.05,967.5,965.4,965.4,13445
2020-07-13 14:30:00,966.45,966.95,965.75,966.4,9176
2020-07-13 14:35:00,966.5,967.0,966.15,966.35,11556
2020-07-13 14:40:00,966.15,968.45,966.05,967.75,28537
2020-07-13 14:45:00,967.4,968.45,967.0,967.65,19238
2020-07-13 14:50:00,967.8,967.8,965.6,965.7,22074
2020-07-13 14:55:00,965.65,966.9,965.45,966.9,14683
2020-07-13 15:00:00,966.4,966.9,964.2,964.2,40008
2020-07-13 15:05:00,964.3,967.0,964.3,966.0,36641
2020-07-13 15:10:00,966.0,966.6,964.45,966.0,54249
2020-07-13 15:15:00,965.95,967.8,965.5,967.5,65142
2020-07-13 15:20:00,967.45,968.4,966.75,967.85,48761
2020-07-13 15:25:00,967.85,967.9,965.05,966.35,41260
2020-07-14 09:15:00,960.0,964.45,955.6,962.5,116433
2020-07-14 09:20:00,962.8,962.95,958.05,959.3,45499
2020-07-14 09:25:00,959.05,959.65,956.45,958.8,56019
2020-07-14 09:30:00,958.8,961.0,957.0,961.0,43088
2020-07-14 09:35:00,960.4,962.6,960.4,960.75,37045
2020-07-14 09:40:00,960.5,961.9,958.0,958.2,32667
2020-07-14 09:45:00,958.85,959.15,955.0,955.95,51204
2020-07-14 09:50:00,955.55,958.3,955.35,958.3,47609
2020-07-14 09:55:00,958.9,961.8,958.5,958.8,44504
2020-07-14 10:00:00,958.8,962.4,958.1,961.75,32248
2020-07-14 10:05:00,961.75,966.0,961.25,965.0,59108
2020-07-14 10:10:00,965.1,965.6,963.0,963.05,28000
2020-07-14 10:15:00,963.1,964.75,960.35,963.0,39660
2020-07-14 10:20:00,963.25,965.45,962.35,964.1,46083
2020-07-14 10:25:00,963.85,964.55,963.15,964.2,17893
2020-07-14 10:30:00,964.15,964.5,962.25,962.85,13535
2020-07-14 10:35:00,962.8,962.8,961.0,961.55,22918
2020-07-14 10:40:00,961.5,962.75,958.95,960.1,50302
