Datetime,Open,High,Low,Close,Volume
2020-07-13 09:15:00,387.6,390.9,387.5,387.95,38375
2020-07-13 09:20:00,387.8,389.4,386.75,388.9,36955
2020-07-13 09:25:00,389.0,391.7,388.75,390.9,57831
2020-07-13 09:30:00,390.55,391.75,390.5,390.5,37904
2020-07-13 09:35:00,390.5,390.7,388.45,389.9,26888
2020-07-13 09:40:00,389.8,390.0,388.35,389.6,13625
2020-07-13 09:45:00,389.7,391.55,389.7,391.2,19617
2020-07-13 09:50:00,391.2,391.5,389.95,390.2,15011
2020-07-13 09:55:00,390.15,390.15,389.0,389.6,10710
2020-07-13 10:00:00,389.65,390.5,389.6,390.2,21756
2020-07-13 10:05:00,390.25,390.75,389.85,390.55,6301
2020-07-13 10:10:00,390.2,390.55,389.15,390.0,20002
2020-07-13 10:15:00,389.8,390.4,389.25,389.8,10491
2020-07-13 10:20:00,389.55,389.55,388.2,388.55,11835
2020-07-13 10:25:00,388.55,388.9,388.0,388.5,19422
2020-07-13 10:30:00,388.5,388.5,387.6,387.65,8994
2020-07-13 10:35:00,387.8,388.3,387.5,387.9,8232
2020-07-13 10:40:00,387.9,388.5,387.6,387.6,6301
2020-07-13 10:45:00,387.6,388.3,387.6,387.6,10189
2020-07-13 10:50:00,387.85,387.9,386.3,387.35,19361
2020-07-13 10:55:00,387.3,387.45,387.0,387.2,6969
2020-07-13 11:00:00,387.2,387.85,386.35,386.5,32850
2020-07-13 11:05:00,386.5,387.45,385.1,385.4,62183
2020-07-13 11:10:00,385.4,385.4,384.05,384.8,33851
2020-07-13 11:15:00,384.85,386.0,384.35,386.0,10633
2020-07-13 11:20:00,386.0,386.6,385.8,386.6,7602
2020-07-13 11:25:00,386.6,386.6,385.3,385.75,5604
2020-07-13 11:30:00,385.7,386.0,385.15,385.4,9398
2020-07-13 11:35:00,385.55,386.55,385.55,385.95,21686
2020-07-13 11:40:00,386.2,386.3,385.5,385.75,7158
2020-07-13 11:45:00,385.75,386.9,385.6,386.2,10467
2020-07-13 11:50:00,386.45,387.2,386.2,387.0,14863
2020-07-13 11:55:00,387.0,387.8,386.8,387.5,10385
2020-07-13 12:00:00,387.4,387.5,386.85,387.4,7004
2020-07-13 12:05:00,387.2,387.5,387.0,387.0,5477
2020-07-13 12:10:00,387.0,387.05,386.05,386.5,14307
2020-07-13 12:15:00,386.2,387.5,386.2,387.5,8145
2020-07-13 12:20:00,387.05,387.45,387.05,387.05,4121
2020-07-13 12:25:00,387.05,387.95,387.0,387.6,17241
2020-07-13 12:30:00,387.55,388.35,387.55,387.6,18200
2020-07-13 12:35:00,387.8,389.55,387.8,388.35,37798
2020-07-13 12:40:00,388.35,388.35,387.45,388.1,12198
2020-07-13 12:45:00,388.0,389.25,387.75,389.15,21185
2020-07-13 12:50:00,389.2,389.9,388.65,389.0,30384
2020-07-13 12:55:00,389.0,389.1,388.6,388.6,7391
2020-07-13 13:00:00,388.65,390.45,388.6,389.65,24965
2020-07-13 13:05:00,389.65,390.4,389.65,390.15,22044
2020-07-13 13:10:00,390.15,390.5,389.8,389.95,12602
2020-07-13 13:15:00,389.95,390.15,389.1,389.4,9600
2020-07-13 13:20:00,388.55,389.2,388.55,389.1,12662
2020-07-13 13:25:00,389.1,389.45,388.65,389.35,5306
2020-07-13 13:30:00,389.35,389.35,388.6,388.75,9660
2020-07-13 13:35:00,388.85,389.4,388.6,389.4,13829
2020-07-13 13:40:00,389.1,389.95,389.0,389.45,8289
2020-07-13 13:45:00,389.15,389.85,389.0,389.3,5175
2020-07-13 13:50:00,389.1,389.3,388.8,388.95,8543
2020-07-13 13:55:00,388.75,388.85,387.8,388.6,12341
2020-07-13 14:00:00,388.6,389.0,388.25,388.8,6156
2020-07-13 14:05:00,388.55,390.2,388.55,389.9,16797
2020-07-13 14:10:00,389.9,390.0,389.7,390.0,6753
2020-07-13 14:15:00,390.0,390.2,389.2,389.75,9738
