Datetime,Open,High,Low,Close,Volume
2020-07-13 09:15:00,641.0,641.75,636.2,637.0,135611
2020-07-13 09:20:00,637.25,645.0,637.0,642.7,171864
2020-07-13 09:25:00,642.0,642.85,635.25,636.55,169541
2020-07-13 09:30:00,636.55,637.4,632.0,632.9,122053
2020-07-13 09:35:00,632.8,634.5,631.6,633.6,51082
2020-07-13 09:40:00,633.3,636.35,633.0,636.1,53370
2020-07-13 09:45:00,636.15,636.9,633.25,633.5,36461
2020-07-13 09:50:00,633.5,633.55,628.85,630.45,81506
2020-07-13 09:55:00,630.2,630.95,626.8,628.55,80449
2020-07-13 10:00:00,628.55,633.95,628.5,633.3,72199
2020-07-13 10:05:00,633.0,633.3,632.0,632.7,22295
2020-07-13 10:10:00,632.6,633.75,632.55,633.65,32552
2020-07-13 10:15:00,633.8,634.85,632.75,634.5,20675
2020-07-13 10:20:00,634.85,635.25,633.65,634.55,24014
2020-07-13 10:25:00,634.55,634.75,632.65,633.7,19295
2020-07-13 10:30:00,633.75,634.0,632.3,632.6,10660
2020-07-13 10:35:00,632.9,633.0,632.65,632.9,6926
2020-07-13 10:40:00,632.9,633.45,632.0,633.4,10350
2020-07-13 10:45:00,633.45,634.5,633.15,634.2,9382
2020-07-13 10:50:00,634.0,634.0,631.6,631.8,15305
2020-07-13 10:55:00,631.85,632.95,630.05,630.6,25306
2020-07-13 11:00:00,630.55,631.45,629.55,630.45,27914
2020-07-13 11:05:00,630.45,630.65,629.05,629.6,19900
2020-07-13 11:10:00,629.25,629.35,624.3,624.95,148418
2020-07-13 11:15:00,624.9,628.15,624.9,628.0,38188
2020-07-13 11:20:00,627.9,630.0,627.35,629.6,31339
2020-07-13 11:25:00,629.6,631.3,629.6,631.15,27116
2020-07-13 11:30:00,631.2,631.95,629.7,631.7,31336
2020-07-13 11:35:00,631.4,633.0,631.2,631.55,27594
2020-07-13 11:40:00,631.8,632.6,631.4,632.0,13471
2020-07-13 11:45:00,632.0,633.25,630.15,630.9,22364
2020-07-13 11:50:00,632.05,632.75,631.75,632.6,19522
2020-07-13 11:55:00,632.5,632.55,630.7,630.8,10508
2020-07-13 12:00:00,630.8,630.9,629.7,630.2,23524
2020-07-13 12:05:00,630.15,631.45,629.7,630.85,10893
2020-07-13 12:10:00,630.85,630.85,629.6,629.8,8182
2020-07-13 12:15:00,629.1,629.75,628.3,628.85,21002
2020-07-13 12:20:00,628.8,629.5,628.2,628.2,11765
2020-07-13 12:25:00,628.2,629.55,627.0,629.4,29859
2020-07-13 12:30:00,629.35,631.95,629.35,629.8,34674
2020-07-13 12:35:00,630.15,632.2,629.85,631.75,16688
2020-07-13 12:40:00,631.9,631.9,631.0,631.05,10597
2020-07-13 12:45:00,631.25,631.7,630.8,631.25,12073
2020-07-13 12:50:00,631.25,632.0,630.35,630.95,39573
2020-07-13 12:55:00,630.7,630.9,628.4,629.4,27318
2020-07-13 13:00:00,629.0,631.25,629.0,631.0,6952
2020-07-13 13:05:00,631.25,631.75,631.0,631.0,7082
2020-07-13 13:10:00,631.2,631.4,630.5,631.15,9160
2020-07-13 13:15:00,631.1,631.45,630.45,631.3,14867
2020-07-13 13:20:00,631.0,631.4,630.5,630.75,7184
2020-07-13 13:25:00,630.5,631.4,630.2,631.4,16268
2020-07-13 13:30:00,631.25,631.25,628.7,629.2,11706
2020-07-13 13:35:00,629.0,630.0,627.5,628.9,30820
2020-07-13 13:40:00,628.9,629.55,627.65,628.15,19248
2020-07-13 13:45:00,628.05,628.55,626.2,626.5,33403
2020-07-13 13:50:00,626.4,627.6,626.25,626.25,19397
2020-07-13 13:55:00,626.1,626.1,622.15,624.45,107311
2020-07-13 14:00:00,624.35,626.25,624.3,625.95,27964
2020-07-13 14:05:00,626.0,626.0,625.0,625.25,19769
2020-07-13 14:10:00,625.3,627.5,625.25,627.3,18755
2020-07-13 14:15:00,627.3,627.6,625.8,626.85,26117
2020-07-13 14:20:00,626.45,627.5,626.35,627.25,5838
2020-07-13 14:25:00,627.4,627.5,624.65,625.3,12421
2020-07-13 14:30:00,625.75,627.45,625.5,627.45,12895
