Datetime,Open,High,Low,Close,Volume
2020-07-13 09:15:00,357.9,360.0,357.1,357.55,147613
2020-07-13 09:20:00,357.6,357.95,357.15,357.35,42789
2020-07-13 09:25:00,357.7,359.15,356.6,358.75,53400
2020-07-13 09:30:00,358.75,358.75,357.6,358.3,38077
2020-07-13 09:35:00,358.1,358.85,357.55,358.6,26414
2020-07-13 09:40:00,358.7,359.7,358.6,359.1,32027
2020-07-13 09:45:00,359.1,360.15,358.1,358.2,57867
2020-07-13 09:50:00,358.3,358.35,356.5,357.15,53844
2020-07-13 09:55:00,357.15,357.7,356.6,357.5,16988
2020-07-13 10:00:00,357.5,358.2,357.3,357.95,11829
2020-07-13 10:05:00,358.0,358.2,357.55,357.85,10052
2020-07-13 10:10:00,357.8,357.85,357.05,357.5,13771
2020-07-13 10:15:00,357.35,357.6,356.95,357.0,20792
2020-07-13 10:20:00,357.0,357.2,356.65,356.85,27759
2020-07-13 10:25:00,356.85,357.2,356.85,356.85,13763
2020-07-13 10:30:00,357.0,357.3,356.7,357.0,38473
2020-07-13 10:35:00,356.9,357.0,356.0,356.65,40675
2020-07-13 10:40:00,356.65,356.9,356.5,356.8,13480
2020-07-13 10:45:00,356.6,357.3,356.55,357.15,13401
2020-07-13 10:50:00,357.15,357.45,357.05,357.35,9353
2020-07-13 10:55:00,357.35,357.85,357.3,357.75,13812
2020-07-13 11:00:00,357.7,357.75,357.15,357.45,8618
2020-07-13 11:05:00,357.5,358.1,357.3,357.95,38287
2020-07-13 11:10:00,357.65,357.85,356.75,356.95,13039
2020-07-13 11:15:00,356.7,357.3,356.7,356.8,8491
2020-07-13 11:20:00,357.0,357.7,356.75,357.3,16432
2020-07-13 11:25:00,357.3,357.9,357.2,357.75,9685
2020-07-13 11:30:00,357.75,358.1,357.5,357.65,13825
2020-07-13 11:35:00,357.65,357.8,357.15,357.25,8763
2020-07-13 11:40:00,357.25,357.55,357.1,357.45,7493
2020-07-13 11:45:00,357.45,357.75,357.2,357.45,8378
2020-07-13 11:50:00,357.4,357.4,357.05,357.2,27696
2020-07-13 11:55:00,357.2,357.35,356.7,356.95,52991
2020-07-13 12:00:00,357.0,357.2,356.6,356.6,40933
2020-07-13 12:05:00,356.6,357.1,356.6,357.0,41493
2020-07-13 12:10:00,357.0,357.7,356.9,357.25,23975
2020-07-13 12:15:00,357.2,357.6,357.05,357.2,8975
2020-07-13 12:20:00,357.2,358.75,357.2,358.25,42438
2020-07-13 12:25:00,358.15,358.7,358.15,358.55,18249
2020-07-13 12:30:00,358.65,359.25,358.35,358.35,24702
2020-07-13 12:35:00,358.35,358.65,358.05,358.45,12739
2020-07-13 12:40:00,358.25,358.55,358.15,358.3,11266
2020-07-13 12:45:00,358.3,358.4,357.9,358.4,11043
2020-07-13 12:50:00,358.1,359.55,358.1,359.55,29037
2020-07-13 12:55:00,359.55,359.6,358.7,358.75,13700
2020-07-13 13:00:00,358.75,359.5,358.65,359.15,12665
2020-07-13 13:05:00,359.1,359.25,358.5,358.65,6579
2020-07-13 13:10:00,358.65,358.95,358.15,358.7,10905
2020-07-13 13:15:00,358.7,359.25,358.7,359.05,17919
2020-07-13 13:20:00,359.05,359.9,359.05,359.85,23702
2020-07-13 13:25:00,359.8,359.95,359.25,359.3,16630
2020-07-13 13:30:00,359.3,359.45,358.5,359.15,19459
2020-07-13 13:35:00,358.85,359.0,358.6,358.95,12378
2020-07-13 13:40:00,358.95,359.2,358.95,359.0,13302
2020-07-13 13:45:00,359.0,359.05,358.7,358.7,9556
2020-07-13 13:50:00,358.7,359.35,358.45,358.9,20684
2020-07-13 13:55:00,359.0,359.0,358.4,358.5,9373
2020-07-13 14:00:00,358.5,358.75,358.2,358.2,9833
2020-07-13 14:05:00,358.15,358.5,358.1,358.2,9629
2020-07-13 14:10:00,358.2,358.4,358.0,358.0,6965
2020-07-13 14:15:00,358.0,358.8,357.85,358.2,22279
2020-07-13 14:20:00,358.2,359.65,358.2,359.4,21550
2020-07-13 14:25:00,359.4,359.85,359.0,359.0,20735
2020-07-13 14:30:00,359.05,359.65,359.05,359.35,11531
2020-07-13 14:35:00,359.3,360.0,359.3,359.7,42162
2020-07-13 14:40:00,359.7,359.85,359.2,359.2,16662
2020-07-13 14:45:00,359.2,359.9,358.9,359.6,18151
2020-07-13 14:50:00,359.75,359.8,359.1,359.2,23788
2020-07-13 14:55:00,359.15,359.35,358.35,358.5,53827
2020-07-13 15:00:00,358.5,358.95,358.35,358.8,20330
2020-07-13 15:05:00,358.6,359.0,358.25,358.25,27106
2020-07-13 15:10:00,358.3,358.5,357.8,358.45,45584
2020-07-13 15:15:00,358.45,358.5,357.7,357.85,55744
2020-07-13 15:20:00,357.95,358.0,357.75,358.0,58406
2020-07-13 15:25:00,357.95,358.1,357.6,358.1,40219
2020-07-14 09:15:00,357.95,360.2,357.45,359.95,112295
2020-07-14 09:20:00,360.0,360.0,358.0,358.2,83220
2020-07-14 09:25:00,358.1,359.05,357.45,359.0,43025
2020-07-14 09:30:00,358.95,359.5,358.35,359.2,17608
2020-07-14 09:35:00,359.4,360.55,359.0,359.9,89129
2020-07-14 09:40:00,359.9,359.95,359.35,359.4,39815
2020-07-14 09:45:00,359.4,359.45,358.75,359.0,27233
2020-07-14 09:50:00,358.85,359.15,358.5,359.15,14920
2020-07-14 09:55:00,358.9,359.45,358.9,359.35,9434
2020-07-14 10:00:00,359.15,359.9,359.05,359.85,25094
2020-07-14 10:05:00,359.8,359.8,359.3,359.8,12900
2020-07-14 10:10:00,359.8,361.4,359.6,361.15,105017
2020-07-14 10:15:00,361.1,361.5,360.2,360.8,136695
2020-07-14 10:20:00,360.8,361.3,360.45,360.5,90114
2020-07-14 10:25:00,360.45,361.8,360.45,361.75,62109
2020-07-14 10:30:00,361.6,362.0,361.2,361.75,88499
2020-07-14 10:35:00,361.75,361.85,360.15,360.15,72403
2020-07-14 10:40:00,360.0,360.15,359.0,359.0,116220
2020-07-14 10:45:00,359.0,359.7,358.4,359.45,76409
2020-07-14 10:50:00,359.7,359.9,359.55,359.6,13592
2020-07-14 10:55:00,359.6,359.75,358.5,358.65,32842
2020-07-14 11:00:00,358.65,358.75,358.4,358.4,29482
2020-07-14 11:05:00,358.4,358.5,357.6,357.8,34935
2020-07-14 11:10:00,357.8,357.8,356.65,357.75,57160
2020-07-14 11:15:00,357.8,358.3,357.1,358.3,28556
2020-07-14 11:20:00,358.3,358.45,357.6,357.6,17407
