Datetime,Open,High,Low,Close,Volume
2020-07-03 09:15:00,50.5,50.6,50.0,50.1,80173
2020-07-03 09:20:00,50.1,50.1,49.8,49.95,162685
2020-07-03 09:25:00,49.9,50.0,49.65,49.65,96024
2020-07-03 09:30:00,49.65,49.7,49.4,49.55,89237
2020-07-03 09:35:00,49.55,49.7,49.5,49.5,41702
2020-07-03 09:40:00,49.5,49.6,49.45,49.5,25876
2020-07-03 09:45:00,49.55,49.65,49.4,49.65,42313
2020-07-03 09:50:00,49.65,49.7,49.5,49.5,18141
2020-07-03 09:55:00,49.55,49.6,49.5,49.55,14553
2020-07-03 10:00:00,49.65,49.7,49.55,49.6,9682
2020-07-03 10:05:00,49.7,49.8,49.55,49.8,61700
2020-07-03 10:10:00,49.8,49.9,49.6,49.7,139645
2020-07-03 10:15:00,49.7,49.8,49.6,49.7,44986
2020-07-03 10:20:00,49.7,49.75,49.65,49.65,34411
2020-07-03 10:25:00,49.65,49.8,49.6,49.8,27860
2020-07-03 10:30:00,49.8,49.9,49.75,49.8,19044
2020-07-03 10:35:00,49.8,49.8,49.6,49.65,19661
2020-07-03 10:40:00,49.65,49.75,49.65,49.7,23323
2020-07-03 10:45:00,49.7,49.75,49.65,49.75,14612
2020-07-03 10:50:00,49.7,49.75,49.7,49.75,2631
2020-07-03 10:55:00,49.7,49.75,49.7,49.75,21348
2020-07-03 11:00:00,49.75,49.75,49.65,49.7,21661
2020-07-03 11:05:00,49.7,49.7,49.6,49.6,5680
2020-07-03 11:10:00,49.6,49.7,49.6,49.6,19610
2020-07-03 11:15:00,49.6,49.6,49.5,49.6,26413
2020-07-03 11:20:00,49.55,49.65,49.55,49.55,4854
2020-07-03 11:25:00,49.55,49.65,49.55,49.65,3114
2020-07-03 11:30:00,49.65,49.7,49.55,49.6,4967
2020-07-03 11:35:00,49.6,49.65,49.5,49.6,9793
2020-07-03 11:40:00,49.6,49.6,49.5,49.6,13665
2020-07-03 11:45:00,49.6,49.7,49.55,49.6,30589
2020-07-03 11:50:00,49.6,49.65,49.5,49.55,24613
2020-07-03 11:55:00,49.55,49.55,49.5,49.55,8762
2020-07-03 12:00:00,49.55,49.55,49.5,49.55,12948
2020-07-03 12:05:00,49.5,49.55,49.5,49.55,2824
2020-07-03 12:10:00,49.55,49.55,49.5,49.5,4778
2020-07-03 12:15:00,49.55,49.75,49.55,49.75,71909
2020-07-03 12:20:00,49.7,49.75,49.65,49.7,6787
2020-07-03 12:25:00,49.7,49.7,49.65,49.7,8578
2020-07-03 12:30:00,49.7,49.75,49.7,49.7,17813
2020-07-03 12:35:00,49.7,49.75,49.7,49.75,56114
2020-07-03 12:40:00,49.75,49.75,49.7,49.75,5456
2020-07-03 12:45:00,49.7,49.7,49.55,49.6,29087
2020-07-03 12:50:00,49.55,49.6,49.55,49.55,28296
2020-07-03 12:55:00,49.6,49.7,49.55,49.6,25968
2020-07-03 13:00:00,49.65,49.7,49.6,49.6,36213
2020-07-03 13:05:00,49.6,49.65,49.55,49.6,16803
2020-07-03 13:10:00,49.6,49.65,49.55,49.65,5062
2020-07-03 13:15:00,49.6,49.6,49.55,49.6,6813
2020-07-03 13:20:00,49.55,49.65,49.55,49.65,15373
2020-07-03 13:25:00,49.65,49.75,49.65,49.7,70220
2020-07-03 13:30:00,49.75,49.75,49.6,49.6,9130
2020-07-03 13:35:00,49.6,49.7,49.4,49.4,44540
2020-07-03 13:40:00,49.5,49.5,49.2,49.35,66158
2020-07-03 13:45:00,49.35,49.4,49.3,49.35,8261
2020-07-03 13:50:00,49.35,49.6,49.35,49.45,18985
2020-07-03 13:55:00,49.45,49.6,49.45,49.55,7804
2020-07-03 14:00:00,49.5,49.55,49.45,49.55,15000
2020-07-03 14:05:00,49.55,49.6,49.5,49.55,636
2020-07-03 14:10:00,49.55,49.65,49.5,49.55,21468
2020-07-03 14:15:00,49.55,50.7,49.55,50.6,537659
2020-07-03 14:20:00,50.7,52.7,50.6,51.8,756364
2020-07-03 14:25:00,51.8,51.8,51.2,51.45,187672
2020-07-03 14:30:00,51.45,51.65,50.85,51.1,246798
2020-07-03 14:35:00,51.1,51.25,51.0,51.15,61793
2020-07-03 14:40:00,51.25,51.25,50.9,51.1,82529
2020-07-03 14:45:00,51.1,51.2,50.9,51.1,82609
2020-07-03 14:50:00,51.15,51.25,51.0,51.1,53184
2020-07-03 14:55:00,51.05,51.3,51.0,51.05,65610
2020-07-03 15:00:00,51.05,51.25,50.95,51.15,119710
2020-07-03 15:05:00,51.1,51.2,50.8,50.85,156711
2020-07-03 15:10:00,50.85,50.9,50.5,50.75,138533
2020-07-03 15:15:00,50.75,50.8,50.6,50.65,82620
2020-07-03 15:20:00,50.65,50.7,50.1,50.2,181635
2020-07-03 15:25:00,50.2,50.55,49.8,50.55,263248
2020-07-06 09:15:00,50.55,50.7,49.9,50.05,249838
2020-07-06 09:20:00,50.05,50.3,49.95,50.3,130244
2020-07-06 09:25:00,50.3,50.5,50.25,50.4,116910
2020-07-06 09:30:00,50.4,50.7,50.35,50.7,90659
2020-07-06 09:35:00,50.6,50.75,50.6,50.75,57760
2020-07-06 09:40:00,50.85,50.9,50.65,50.85,118517
2020-07-06 09:45:00,50.85,50.95,50.65,50.7,139779
