Datetime,Open,High,Low,Close,Volume
2020-07-03 09:15:00,467.1,469.0,466.7,468.1,49760
2020-07-03 09:20:00,468.15,470.75,468.0,469.5,74666
2020-07-03 09:25:00,469.35,470.1,469.15,469.7,29175
2020-07-03 09:30:00,469.7,470.05,469.25,469.25,40136
2020-07-03 09:35:00,469.25,469.9,469.0,469.8,40763
2020-07-03 09:40:00,469.8,470.6,469.45,470.35,54027
2020-07-03 09:45:00,470.5,470.5,469.8,470.15,34454
2020-07-03 09:50:00,470.0,470.2,469.6,469.7,22179
2020-07-03 09:55:00,470.0,470.0,469.55,469.9,17605
2020-07-03 10:00:00,469.75,470.25,469.05,469.55,25972
2020-07-03 10:05:00,469.55,470.25,469.55,469.85,18321
2020-07-03 10:10:00,469.75,469.85,469.3,469.6,19148
2020-07-03 10:15:00,469.6,469.6,469.05,469.05,14763
2020-07-03 10:20:00,469.2,469.2,469.0,469.1,11996
2020-07-03 10:25:00,469.1,469.5,469.0,469.25,10764
2020-07-03 10:30:00,469.15,469.5,468.5,468.75,29941
2020-07-03 10:35:00,468.75,468.8,467.4,467.75,71665
2020-07-03 10:40:00,467.5,468.55,466.0,466.7,108192
2020-07-03 10:45:00,466.85,467.0,466.75,466.9,20076
2020-07-03 10:50:00,467.0,467.0,466.6,466.9,29716
2020-07-03 10:55:00,467.0,467.25,466.75,467.15,16743
2020-07-03 11:00:00,467.3,467.35,466.9,467.0,12453
2020-07-03 11:05:00,467.0,467.0,466.5,466.7,10312
2020-07-03 11:10:00,466.6,466.7,466.2,466.4,8772
2020-07-03 11:15:00,466.5,466.75,466.45,466.45,12389
2020-07-03 11:20:00,466.5,467.0,465.85,466.0,44798
2020-07-03 11:25:00,466.0,466.0,465.8,465.95,18261
2020-07-03 11:30:00,465.9,466.0,465.7,466.0,19818
2020-07-03 11:35:00,465.9,466.0,465.9,466.0,10396
2020-07-03 11:40:00,466.0,466.0,465.95,466.0,15925
2020-07-03 11:45:00,466.0,466.0,465.95,466.0,18848
2020-07-03 11:50:00,465.95,466.0,465.35,465.6,14172
2020-07-03 11:55:00,465.6,466.75,465.5,466.1,122290
2020-07-03 12:00:00,466.05,466.35,465.7,465.85,27697
2020-07-03 12:05:00,465.85,466.55,465.8,465.95,33204
2020-07-03 12:10:00,465.95,466.0,465.5,465.65,12483
2020-07-03 12:15:00,465.65,466.0,465.65,465.95,10072
2020-07-03 12:20:00,466.0,466.0,465.75,465.8,10898
2020-07-03 12:25:00,465.8,466.0,465.8,465.9,9007
2020-07-03 12:30:00,465.95,466.0,465.55,465.55,10294
2020-07-03 12:35:00,465.55,466.05,465.55,465.95,38421
2020-07-03 12:40:00,465.75,466.45,465.75,465.95,120617
2020-07-03 12:45:00,466.0,466.0,465.9,466.0,44206
2020-07-03 12:50:00,466.0,466.0,465.95,465.95,10133
2020-07-03 12:55:00,466.0,466.0,465.65,465.75,12090
2020-07-03 13:00:00,465.75,466.0,465.65,465.85,4357
2020-07-03 13:05:00,465.7,465.85,465.65,465.75,1721
2020-07-03 13:10:00,465.8,466.0,465.7,465.9,10871
2020-07-03 13:15:00,466.0,466.3,465.9,466.3,11535
2020-07-03 13:20:00,466.1,467.0,466.1,466.8,18213
2020-07-03 13:25:00,466.6,466.65,466.1,466.3,22639
2020-07-03 13:30:00,466.1,466.2,465.65,465.65,17486
2020-07-03 13:35:00,465.6,465.85,465.5,465.8,8593
2020-07-03 13:40:00,465.8,465.85,465.05,465.1,17699
2020-07-03 13:45:00,465.1,465.6,465.05,465.5,9674
2020-07-03 13:50:00,465.5,465.9,464.7,464.95,68774
2020-07-03 13:55:00,464.95,465.0,464.7,464.85,28774
2020-07-03 14:00:00,464.85,465.0,464.75,465.0,40661
2020-07-03 14:05:00,465.0,465.15,464.95,465.0,25065
2020-07-03 14:10:00,465.25,465.8,465.15,465.7,26131
2020-07-03 14:15:00,465.7,466.0,465.6,465.85,30090
2020-07-03 14:20:00,465.85,466.0,465.35,465.4,18535
2020-07-03 14:25:00,465.5,465.55,465.2,465.2,11544
2020-07-03 14:30:00,465.25,465.55,465.0,465.5,13863
2020-07-03 14:35:00,465.45,466.0,465.15,465.85,21111
2020-07-03 14:40:00,466.0,466.0,465.75,465.85,29722
2020-07-03 14:45:00,465.85,466.0,465.7,465.95,26450
2020-07-03 14:50:00,465.85,466.95,465.65,466.75,21645
2020-07-03 14:55:00,466.75,466.75,465.85,466.0,33114
2020-07-03 15:00:00,466.0,467.0,466.0,466.5,108795
2020-07-03 15:05:00,466.5,467.6,466.5,467.2,69683
2020-07-03 15:10:00,467.5,467.9,467.15,467.8,38092
2020-07-03 15:15:00,467.8,468.25,467.3,467.35,61822
2020-07-03 15:20:00,467.35,467.6,467.0,467.2,64188
2020-07-03 15:25:00,467.1,467.25,466.1,467.05,74184
2020-07-06 09:15:00,470.0,470.1,466.3,467.8,142374
2020-07-06 09:20:00,467.8,468.5,467.5,467.95,47151
2020-07-06 09:25:00,467.8,468.0,467.0,467.2,25554
2020-07-06 09:30:00,467.3,467.7,467.0,467.35,17988
2020-07-06 09:35:00,467.4,468.0,466.9,468.0,19440
2020-07-06 09:40:00,467.95,468.35,467.5,467.8,34046
2020-07-06 09:45:00,467.8,468.2,467.7,468.05,12807
2020-07-06 09:50:00,468.2,468.95,467.95,468.9,22300
2020-07-06 09:55:00,468.9,469.75,468.35,468.5,38871
2020-07-06 10:00:00,468.5,468.9,468.45,468.7,9249
2020-07-06 10:05:00,468.7,468.85,468.45,468.85,8674
2020-07-06 10:10:00,468.9,469.0,468.5,468.8,9914
2020-07-06 10:15:00,468.75,469.2,468.75,469.05,22512
2020-07-06 10:20:00,469.2,469.4,469.05,469.25,11587
2020-07-06 10:25:00,469.3,469.3,468.8,468.85,13710
2020-07-06 10:30:00,468.85,469.05,468.5,468.75,8733
2020-07-06 10:35:00,468.7,469.1,468.5,469.1,9091
2020-07-06 10:40:00,469.1,469.1,468.6,468.9,10270
2020-07-06 10:45:00,468.75,469.0,468.75,468.9,2705
2020-07-06 10:50:00,468.8,468.9,467.5,467.6,45845
2020-07-06 10:55:00,467.5,467.9,467.1,467.5,13208
2020-07-06 11:00:00,467.5,467.95,467.3,467.7,12884
