Datetime,Open,High,Low,Close,Volume
2020-07-07 09:15:00,58.67,58.7,58.3,58.43,413663
2020-07-07 09:20:00,58.43,58.43,57.87,57.9,591924
2020-07-07 09:25:00,57.9,58.07,57.87,58.0,389000
2020-07-07 09:30:00,57.93,58.0,57.7,57.73,328137
2020-07-07 09:35:00,57.73,57.9,57.7,57.83,246536
2020-07-07 09:40:00,57.83,57.87,57.67,57.87,343629
2020-07-07 09:45:00,57.87,57.87,57.77,57.83,123061
2020-07-07 09:50:00,57.83,57.93,57.77,57.9,116113
2020-07-07 09:55:00,57.93,58.03,57.83,58.03,156940
2020-07-07 10:00:00,58.03,58.2,57.97,58.13,252639
2020-07-07 10:05:00,58.17,58.17,58.0,58.03,103260
2020-07-07 10:10:00,58.07,58.1,58.03,58.07,127255
2020-07-07 10:15:00,58.03,58.13,58.03,58.1,78335
2020-07-07 10:20:00,58.1,58.13,58.03,58.13,57927
2020-07-07 10:25:00,58.1,58.13,57.9,57.9,152611
2020-07-07 10:30:00,57.93,57.97,57.83,57.97,170259
2020-07-07 10:35:00,57.97,58.07,57.9,57.93,116271
2020-07-07 10:40:00,57.93,57.97,57.83,57.9,57864
2020-07-07 10:45:00,57.93,57.93,57.87,57.87,34012
2020-07-07 10:50:00,57.9,57.9,57.8,57.83,110764
2020-07-07 10:55:00,57.8,57.93,57.8,57.9,53742
2020-07-07 11:00:00,57.9,57.93,57.73,57.73,187709
2020-07-07 11:05:00,57.73,57.77,57.67,57.7,141825
2020-07-07 11:10:00,57.7,57.73,57.67,57.7,135225
2020-07-07 11:15:00,57.7,57.7,57.53,57.6,219858
2020-07-07 11:20:00,57.6,57.63,57.5,57.6,153786
2020-07-07 11:25:00,57.63,57.87,57.6,57.77,258569
2020-07-07 11:30:00,57.77,57.8,57.47,57.6,307864
2020-07-07 11:35:00,57.6,57.6,57.43,57.57,162070
2020-07-07 11:40:00,57.57,57.57,57.47,57.53,83035
2020-07-07 11:45:00,57.57,57.67,57.53,57.6,61139
2020-07-07 11:50:00,57.6,57.7,57.57,57.67,75233
2020-07-07 11:55:00,57.67,57.77,57.67,57.7,178220
2020-07-07 12:00:00,57.7,57.8,57.67,57.77,56059
2020-07-07 12:05:00,57.77,57.8,57.73,57.77,56497
2020-07-07 12:10:00,57.77,57.8,57.67,57.77,57331
2020-07-07 12:15:00,57.77,57.87,57.73,57.83,96236
2020-07-07 12:20:00,57.8,57.9,57.8,57.87,103578
2020-07-07 12:25:00,57.9,57.9,57.8,57.8,58755
2020-07-07 12:30:00,57.83,57.9,57.8,57.83,126553
2020-07-07 12:35:00,57.83,57.87,57.77,57.87,117919
2020-07-07 12:40:00,57.87,57.87,57.73,57.73,64096
2020-07-07 12:45:00,57.77,57.83,57.73,57.83,38443
2020-07-07 12:50:00,57.83,57.87,57.73,57.73,61504
2020-07-07 12:55:00,57.77,57.8,57.7,57.73,81803
2020-07-07 13:00:00,57.73,57.73,57.63,57.7,89763
2020-07-07 13:05:00,57.7,57.8,57.6,57.67,149758
2020-07-07 13:10:00,57.67,57.67,57.6,57.63,109534
2020-07-07 13:15:00,57.63,57.67,57.6,57.6,57541
2020-07-07 13:20:00,57.63,57.67,57.57,57.63,69512
2020-07-07 13:25:00,57.63,57.67,57.57,57.63,148640
2020-07-07 13:30:00,57.6,57.67,57.6,57.6,82240
2020-07-07 13:35:00,57.6,57.67,57.53,57.6,129710
2020-07-07 13:40:00,57.6,57.67,57.53,57.67,140274
2020-07-07 13:45:00,57.67,57.67,57.6,57.67,57112
2020-07-07 13:50:00,57.63,57.7,57.57,57.7,158262
2020-07-07 13:55:00,57.7,57.73,57.57,57.6,129282
2020-07-07 14:00:00,57.63,57.63,57.53,57.57,121138
2020-07-07 14:05:00,57.57,57.63,57.53,57.57,118048
2020-07-07 14:10:00,57.57,57.57,57.5,57.57,91536
2020-07-07 14:15:00,57.57,57.6,57.53,57.57,108363
2020-07-07 14:20:00,57.57,57.6,57.5,57.5,125095
2020-07-07 14:25:00,57.53,57.63,57.5,57.6,135155
2020-07-07 14:30:00,57.6,57.63,57.53,57.53,81763
2020-07-07 14:35:00,57.57,57.6,57.33,57.37,806048
2020-07-07 14:40:00,57.37,57.43,57.33,57.43,404285
2020-07-07 14:45:00,57.43,57.43,57.37,57.4,202528
2020-07-07 14:50:00,57.4,57.43,57.37,57.43,127990
2020-07-07 14:55:00,57.43,57.47,57.33,57.47,232093
2020-07-07 15:00:00,57.43,57.63,57.43,57.53,273894
2020-07-07 15:05:00,57.53,57.57,57.47,57.57,204673
2020-07-07 15:10:00,57.53,57.6,57.4,57.47,332190
2020-07-07 15:15:00,57.47,57.5,57.33,57.4,531321
2020-07-07 15:20:00,57.37,57.5,57.27,57.4,407380
2020-07-07 15:25:00,57.37,57.47,57.33,57.43,251278
2020-07-08 09:15:00,57.5,58.0,57.5,57.77,625093
2020-07-08 09:20:00,57.8,57.83,57.7,57.73,210933
2020-07-08 09:25:00,57.7,57.77,57.6,57.7,218152
2020-07-08 09:30:00,57.7,57.77,57.67,57.77,171397
2020-07-08 09:35:00,57.77,57.77,57.67,57.73,115521
2020-07-08 09:40:00,57.7,57.8,57.7,57.73,94781
2020-07-08 09:45:00,57.8,57.8,57.6,57.7,182338
2020-07-08 09:50:00,57.7,57.7,57.53,57.67,142409
