Datetime,Open,High,Low,Close,Volume
2020-07-03 09:15:00,347.0,348.55,346.48,346.84,22155
2020-07-03 09:20:00,347.0,347.6,346.07,347.16,9787
2020-07-03 09:25:00,347.2,347.4,346.72,346.78,3824
2020-07-03 09:30:00,346.78,347.38,346.32,346.4,4341
2020-07-03 09:35:00,346.35,347.6,346.21,347.44,5808
2020-07-03 09:40:00,347.6,347.6,346.6,346.98,3816
2020-07-03 09:45:00,346.87,347.2,346.25,347.02,4291
2020-07-03 09:50:00,347.07,349.6,346.9,349.3,16190
2020-07-03 09:55:00,349.25,349.92,348.6,348.66,8502
2020-07-03 10:00:00,348.63,350.42,348.63,350.24,10049
2020-07-03 10:05:00,350.0,350.99,349.6,350.29,19468
2020-07-03 10:10:00,350.36,350.36,349.72,349.98,5879
2020-07-03 10:15:00,349.98,350.0,348.66,349.13,7832
2020-07-03 10:20:00,349.1,349.92,349.1,349.23,3949
2020-07-03 10:25:00,349.35,349.84,349.23,349.68,1828
2020-07-03 10:30:00,349.68,350.58,349.68,350.57,4411
2020-07-03 10:35:00,350.56,350.8,350.26,350.66,4177
2020-07-03 10:40:00,350.66,350.99,349.28,349.52,9410
2020-07-03 10:45:00,349.5,350.32,349.22,350.24,3815
2020-07-03 10:50:00,350.2,350.22,349.0,349.2,8979
2020-07-03 10:55:00,349.38,349.74,349.11,349.73,3229
2020-07-03 11:00:00,349.7,349.78,349.4,349.58,2481
2020-07-03 11:05:00,349.53,349.92,349.53,349.81,2287
2020-07-03 11:10:00,349.64,349.64,348.66,348.66,6774
2020-07-03 11:15:00,348.56,348.56,347.8,347.8,12944
2020-07-03 11:20:00,347.8,348.45,347.56,347.92,7172
2020-07-03 11:25:00,347.92,348.33,347.81,348.33,2506
2020-07-03 11:30:00,348.16,348.36,347.8,347.83,3650
2020-07-03 11:35:00,347.83,348.35,347.6,348.3,3330
2020-07-03 11:40:00,348.28,348.28,347.4,347.86,4487
2020-07-03 11:45:00,347.84,348.31,347.79,348.12,2072
2020-07-03 11:50:00,348.12,349.12,348.12,348.46,3829
2020-07-03 11:55:00,348.46,348.5,348.0,348.45,2329
2020-07-03 12:00:00,348.18,348.4,348.18,348.4,825
2020-07-03 12:05:00,348.4,349.13,348.4,349.13,2640
2020-07-03 12:10:00,349.4,349.4,349.0,349.2,3694
2020-07-03 12:15:00,349.2,349.3,348.84,348.92,2311
2020-07-03 12:20:00,348.91,349.39,348.91,349.35,1768
2020-07-03 12:25:00,349.49,349.79,349.44,349.5,2501
2020-07-03 12:30:00,349.5,349.53,348.88,348.88,2699
2020-07-03 12:35:00,348.8,348.95,348.2,348.6,2867
2020-07-03 12:40:00,348.54,348.6,348.3,348.42,1322
2020-07-03 12:45:00,348.32,348.45,347.99,348.11,2801
2020-07-03 12:50:00,348.2,348.48,348.1,348.25,912
2020-07-03 12:55:00,348.46,348.66,348.3,348.6,1783
2020-07-03 13:00:00,348.6,348.64,348.25,348.42,1362
2020-07-03 13:05:00,348.42,348.8,348.42,348.8,952
2020-07-03 13:10:00,348.78,348.97,348.6,348.75,1605
2020-07-03 13:15:00,348.84,349.3,348.75,349.26,2033
2020-07-03 13:20:00,349.05,349.38,349.02,349.03,1206
2020-07-03 13:25:00,349.04,349.38,349.04,349.32,1171
2020-07-03 13:30:00,349.2,349.32,348.32,348.68,2840
2020-07-03 13:35:00,348.65,349.02,348.42,348.72,1223
2020-07-03 13:40:00,348.72,349.02,348.54,348.64,4713
2020-07-03 13:45:00,348.76,348.76,347.5,348.27,5795
2020-07-03 13:50:00,348.27,348.92,348.06,348.61,4757
2020-07-03 13:55:00,348.63,349.1,348.48,348.8,3249
2020-07-03 14:00:00,348.8,349.4,348.8,349.26,5225
2020-07-03 14:05:00,349.36,349.4,348.15,348.66,3355
2020-07-03 14:10:00,348.66,349.22,348.66,349.17,1183
2020-07-03 14:15:00,349.17,349.28,348.81,348.84,1619
2020-07-03 14:20:00,348.84,348.89,348.2,348.2,2073
2020-07-03 14:25:00,348.2,348.36,347.75,347.76,3255
2020-07-03 14:30:00,347.75,348.16,347.14,347.88,7835
2020-07-03 14:35:00,347.71,348.15,347.69,347.91,1707
2020-07-03 14:40:00,348.0,348.0,347.6,348.0,2815
2020-07-03 14:45:00,348.0,348.12,347.57,347.8,3745
2020-07-03 14:50:00,347.65,347.99,347.64,347.8,2238
2020-07-03 14:55:00,347.82,347.98,347.61,347.65,5906
2020-07-03 15:00:00,347.65,348.0,347.1,347.25,10771
2020-07-03 15:05:00,347.53,347.74,347.14,347.37,3580
2020-07-03 15:10:00,347.58,347.9,345.78,347.9,14902
2020-07-03 15:15:00,347.95,348.12,347.16,347.94,12500
2020-07-03 15:20:00,347.8,348.2,347.42,347.76,6234
2020-07-03 15:25:00,347.69,348.0,347.14,347.41,6313
2020-07-06 09:15:00,349.6,350.02,347.63,347.73,10767
2020-07-06 09:20:00,347.76,348.54,346.08,346.12,12106
2020-07-06 09:25:00,346.0,347.04,345.8,346.6,5308
2020-07-06 09:30:00,346.7,346.7,345.68,346.35,3805
2020-07-06 09:35:00,346.34,348.0,346.23,347.8,4172
2020-07-06 09:40:00,348.0,348.0,346.69,347.0,5829
2020-07-06 09:45:00,347.1,347.2,346.49,346.62,2965
2020-07-06 09:50:00,346.79,346.99,346.6,346.82,1606
2020-07-06 09:55:00,346.82,346.96,346.46,346.71,1917
2020-07-06 10:00:00,346.71,347.0,346.14,346.2,2442
2020-07-06 10:05:00,346.35,346.35,345.86,346.01,3223
2020-07-06 10:10:00,346.2,346.54,346.05,346.31,2503
2020-07-06 10:15:00,346.31,346.86,346.29,346.81,1875
2020-07-06 10:20:00,346.56,346.8,346.51,346.79,800
