Datetime,Open,High,Low,Close,Volume
2020-07-07 09:15:00,565.0,565.0,559.15,562.0,756888
2020-07-07 09:20:00,562.0,562.9,560.35,562.1,301245
2020-07-07 09:25:00,562.0,568.0,561.75,566.15,407887
2020-07-07 09:30:00,566.4,566.65,561.85,563.8,266768
2020-07-07 09:35:00,563.75,563.8,561.4,562.5,172992
2020-07-07 09:40:00,562.5,562.65,561.85,562.1,111439
2020-07-07 09:45:00,562.0,562.1,557.0,558.4,453647
2020-07-07 09:50:00,558.4,558.4,557.0,557.7,200126
2020-07-07 09:55:00,557.6,559.2,557.2,558.9,149233
2020-07-07 10:00:00,558.65,561.45,558.45,559.15,203841
2020-07-07 10:05:00,559.1,559.25,557.45,558.0,224768
2020-07-07 10:10:00,558.0,558.0,557.65,558.0,99088
2020-07-07 10:15:00,558.0,558.5,557.5,558.0,108164
2020-07-07 10:20:00,558.0,563.8,558.0,563.6,314200
2020-07-07 10:25:00,563.75,563.95,560.0,560.1,183211
2020-07-07 10:30:00,560.1,560.85,558.75,560.75,121208
2020-07-07 10:35:00,560.8,561.5,559.65,559.85,64622
2020-07-07 10:40:00,559.85,560.9,559.5,560.75,40820
2020-07-07 10:45:00,560.6,560.8,560.15,560.4,33018
2020-07-07 10:50:00,560.4,560.45,559.5,559.5,37494
2020-07-07 10:55:00,559.8,559.95,559.1,559.75,37321
2020-07-07 11:00:00,559.75,560.6,559.5,559.55,32753
2020-07-07 11:05:00,559.7,559.75,555.3,555.55,195275
2020-07-07 11:10:00,555.45,556.15,553.7,555.4,290339
2020-07-07 11:15:00,555.4,557.0,554.8,556.65,108070
2020-07-07 11:20:00,556.75,557.4,555.25,555.75,85780
2020-07-07 11:25:00,555.5,557.25,555.3,556.5,49694
2020-07-07 11:30:00,556.8,556.9,554.7,554.85,54088
2020-07-07 11:35:00,554.85,555.45,553.2,553.5,82447
2020-07-07 11:40:00,553.5,555.45,553.25,555.0,67536
2020-07-07 11:45:00,555.1,555.85,554.85,555.45,54106
2020-07-07 11:50:00,555.45,555.8,554.45,555.65,61162
2020-07-07 11:55:00,555.7,555.7,553.55,553.6,53336
2020-07-07 12:00:00,553.65,554.8,552.35,554.35,157984
2020-07-07 12:05:00,554.35,554.4,553.75,554.25,48441
2020-07-07 12:10:00,554.25,554.3,553.2,553.8,61086
2020-07-07 12:15:00,553.85,555.5,553.8,554.9,64378
2020-07-07 12:20:00,554.95,556.0,554.85,555.35,78703
2020-07-07 12:25:00,555.35,555.35,553.5,554.95,65172
2020-07-07 12:30:00,554.8,556.0,554.5,554.75,54676
2020-07-07 12:35:00,554.65,555.15,554.4,555.15,33678
2020-07-07 12:40:00,555.2,555.4,554.3,554.65,26690
2020-07-07 12:45:00,554.65,555.15,554.0,555.15,49031
2020-07-07 12:50:00,555.15,556.7,555.0,555.25,102752
