Datetime,Open,High,Low,Close,Volume
2020-07-07 09:15:00,909.9,909.9,893.75,904.5,4991
2020-07-07 09:20:00,903.05,908.9,903.05,907.5,4159
2020-07-07 09:25:00,907.5,907.8,905.0,907.15,2223
2020-07-07 09:30:00,907.2,908.45,904.55,907.0,3048
2020-07-07 09:35:00,906.3,918.65,906.3,914.8,5009
2020-07-07 09:40:00,915.9,919.0,912.5,912.55,5741
2020-07-07 09:45:00,913.95,914.0,911.7,912.05,1468
2020-07-07 09:50:00,912.95,917.95,912.95,916.5,2101
2020-07-07 09:55:00,916.1,919.9,916.0,917.0,4404
2020-07-07 10:00:00,917.15,919.75,917.0,918.05,3000
2020-07-07 10:05:00,917.15,917.85,912.1,916.8,2137
2020-07-07 10:10:00,915.8,916.8,913.5,914.15,1538
2020-07-07 10:15:00,914.15,916.3,912.2,913.65,1764
2020-07-07 10:20:00,913.15,913.75,913.0,913.75,447
2020-07-07 10:25:00,913.5,915.0,907.05,909.45,3906
2020-07-07 10:30:00,909.0,910.8,908.05,910.7,536
2020-07-07 10:35:00,910.7,928.0,910.7,924.75,37531
2020-07-07 10:40:00,924.7,924.7,914.05,919.0,24196
2020-07-07 10:45:00,919.55,919.9,913.75,916.55,6689
2020-07-07 10:50:00,917.0,917.0,913.95,913.95,2849
2020-07-07 10:55:00,913.75,918.1,913.75,917.95,3278
2020-07-07 11:00:00,917.05,917.9,914.0,914.0,2804
2020-07-07 11:05:00,914.3,914.3,911.7,911.7,1746
2020-07-07 11:10:00,911.7,913.15,905.0,910.0,11731
2020-07-07 11:15:00,909.6,909.6,905.65,905.65,3052
2020-07-07 11:20:00,905.05,908.3,905.0,907.3,1653
2020-07-07 11:25:00,908.0,909.95,907.6,909.0,1158
2020-07-07 11:30:00,909.05,912.95,909.05,911.6,3710
2020-07-07 11:35:00,911.65,913.95,910.3,912.5,7730
2020-07-07 11:40:00,912.55,913.0,910.2,910.9,3645
2020-07-07 11:45:00,910.85,912.8,910.0,912.25,599
2020-07-07 11:50:00,912.25,913.25,911.35,913.25,1853
2020-07-07 11:55:00,913.25,915.0,912.0,914.9,1748
2020-07-07 12:00:00,914.75,917.85,914.65,916.0,2264
2020-07-07 12:05:00,915.55,917.95,915.4,915.95,1095
2020-07-07 12:10:00,915.5,917.45,915.5,917.45,1296
2020-07-07 12:15:00,917.95,918.55,916.9,918.55,1533
2020-07-07 12:20:00,918.25,921.55,917.3,920.45,3380
2020-07-07 12:25:00,920.4,923.0,920.0,921.2,6036
2020-07-07 12:30:00,921.2,923.0,920.05,921.1,2886
2020-07-07 12:35:00,921.05,922.5,920.65,921.85,2099
2020-07-07 12:40:00,920.85,922.35,920.0,921.0,2617
2020-07-07 12:45:00,920.75,921.8,920.0,920.15,1710
2020-07-07 12:50:00,920.15,921.55,920.1,921.4,2510
2020-07-07 12:55:00,921.0,923.0,920.0,922.0,2023
2020-07-07 13:00:00,921.0,926.0,920.4,925.1,7522
2020-07-07 13:05:00,924.3,925.0,922.5,924.0,8030
2020-07-07 13:10:00,923.7,925.4,921.8,923.1,4867
2020-07-07 13:15:00,923.1,923.8,922.0,923.0,2313
2020-07-07 13:20:00,923.0,923.65,922.25,922.25,2103
2020-07-07 13:25:00,922.35,923.3,922.3,922.85,1444
2020-07-07 13:30:00,923.0,923.6,922.4,922.95,2650
