Datetime,Open,High,Low,Close,Volume
2020-07-07 09:15:00,133.88,133.88,131.44,131.48,508046
2020-07-07 09:20:00,131.36,131.48,130.88,130.99,457359
2020-07-07 09:25:00,130.95,131.03,129.98,130.61,478258
2020-07-07 09:30:00,130.69,130.73,130.28,130.31,285123
2020-07-07 09:35:00,130.28,130.65,130.28,130.54,146095
2020-07-07 09:40:00,130.5,130.5,130.05,130.2,302232
2020-07-07 09:45:00,130.2,130.2,129.79,130.05,214286
2020-07-07 09:50:00,130.05,130.16,130.05,130.05,96003
2020-07-07 09:55:00,130.05,130.31,130.05,130.24,129672
2020-07-07 10:00:00,130.24,130.31,129.9,130.13,187693
2020-07-07 10:05:00,130.13,130.16,129.6,129.71,387725
2020-07-07 10:10:00,129.68,129.79,129.64,129.71,243886
2020-07-07 10:15:00,129.71,129.9,129.56,129.71,329484
2020-07-07 10:20:00,129.75,129.79,129.68,129.75,139419
2020-07-07 10:25:00,129.71,129.75,129.53,129.53,198143
2020-07-07 10:30:00,129.45,129.53,128.78,129.0,870408
2020-07-07 10:35:00,128.96,129.41,128.93,129.19,286800
2020-07-07 10:40:00,129.19,129.49,129.15,129.3,142668
2020-07-07 10:45:00,129.34,129.34,129.08,129.23,116887
2020-07-07 10:50:00,129.23,129.64,129.19,129.56,241324
2020-07-07 10:55:00,129.56,129.94,129.56,129.83,375605
2020-07-07 11:00:00,129.86,129.9,129.49,129.75,306115
2020-07-07 11:05:00,129.75,129.79,129.64,129.68,172791
2020-07-07 11:10:00,129.68,129.79,129.68,129.71,130492
2020-07-07 11:15:00,129.71,129.83,129.71,129.75,111931
2020-07-07 11:20:00,129.75,129.83,129.6,129.64,81670
2020-07-07 11:25:00,129.68,129.68,129.3,129.45,137599
2020-07-07 11:30:00,129.41,129.86,129.41,129.75,193830
2020-07-07 11:35:00,129.79,129.83,129.75,129.75,189404
2020-07-07 11:40:00,129.75,129.86,129.75,129.75,89570
2020-07-07 11:45:00,129.75,129.83,129.45,129.53,115266
2020-07-07 11:50:00,129.53,129.79,129.53,129.75,111920
2020-07-07 11:55:00,129.79,129.83,129.75,129.75,80097
2020-07-07 12:00:00,129.79,129.79,129.75,129.75,95706
2020-07-07 12:05:00,129.75,129.83,129.75,129.75,81958
2020-07-07 12:10:00,129.75,129.83,129.75,129.79,112554
2020-07-07 12:15:00,129.79,129.79,129.6,129.68,85916
2020-07-07 12:20:00,129.64,129.79,129.53,129.56,169512
2020-07-07 12:25:00,129.6,129.83,129.56,129.75,102347
2020-07-07 12:30:00,129.79,129.83,129.75,129.79,66635
2020-07-07 12:35:00,129.75,129.86,129.75,129.79,131967
2020-07-07 12:40:00,129.79,129.79,129.75,129.75,93628
2020-07-07 12:45:00,129.75,129.83,129.75,129.75,93239
2020-07-07 12:50:00,129.79,129.9,129.75,129.79,78349
2020-07-07 12:55:00,129.83,129.83,129.56,129.64,143468
2020-07-07 13:00:00,129.6,129.64,129.45,129.53,136930
2020-07-07 13:05:00,129.53,129.53,129.23,129.41,145560
2020-07-07 13:10:00,129.41,129.6,129.34,129.53,111057
2020-07-07 13:15:00,129.56,129.68,129.53,129.53,148039
2020-07-07 13:20:00,129.56,129.83,129.56,129.75,129690
2020-07-07 13:25:00,129.71,129.83,129.68,129.75,96223
2020-07-07 13:30:00,129.71,129.83,129.68,129.71,80764
2020-07-07 13:35:00,129.71,129.79,129.68,129.79,128590
2020-07-07 13:40:00,129.75,130.2,129.71,130.01,236998
2020-07-07 13:45:00,130.01,130.35,129.94,130.13,157821
2020-07-07 13:50:00,130.16,130.24,129.98,130.09,178626
2020-07-07 13:55:00,130.09,130.16,129.94,129.98,72884
2020-07-07 14:00:00,130.01,130.24,129.94,130.13,145362
2020-07-07 14:05:00,130.2,130.24,130.09,130.09,156995
2020-07-07 14:10:00,130.13,130.2,130.09,130.2,61539
2020-07-07 14:15:00,130.2,130.24,130.05,130.09,197763
2020-07-07 14:20:00,130.13,130.16,130.09,130.13,117157
2020-07-07 14:25:00,130.16,130.24,130.13,130.13,109564
2020-07-07 14:30:00,130.16,130.24,130.09,130.13,150462
2020-07-07 14:35:00,130.16,130.2,130.09,130.09,108575
2020-07-07 14:40:00,130.09,130.2,130.05,130.09,114730
2020-07-07 14:45:00,130.09,130.24,129.86,130.2,284780
2020-07-07 14:50:00,130.2,130.28,130.01,130.28,210735
2020-07-07 14:55:00,130.28,130.39,130.13,130.24,303060
2020-07-07 15:00:00,130.2,130.35,130.01,130.09,316968
2020-07-07 15:05:00,130.09,130.24,130.01,130.09,348668
2020-07-07 15:10:00,130.13,130.24,129.9,130.05,608012
2020-07-07 15:15:00,130.01,130.13,129.79,129.83,633932
2020-07-07 15:20:00,129.83,129.83,129.0,129.34,800464
