Datetime,Open,High,Low,Close,Volume
2020-07-07 09:15:00,449.95,451.95,448.85,449.6,489
2020-07-07 09:20:00,449.0,449.0,448.25,449.0,470
2020-07-07 09:25:00,448.95,449.0,447.2,449.0,393
2020-07-07 09:30:00,449.0,449.0,446.9,447.95,803
2020-07-07 09:35:00,447.95,448.0,447.5,448.0,140
2020-07-07 09:40:00,448.0,448.0,445.65,446.05,468
2020-07-07 09:45:00,446.9,446.95,446.9,446.95,241
2020-07-07 09:50:00,447.1,447.65,447.1,447.3,147
2020-07-07 09:55:00,447.3,448.2,445.25,448.2,566
2020-07-07 10:00:00,447.55,448.6,447.55,448.6,203
2020-07-07 10:05:00,448.55,448.65,448.55,448.65,111
2020-07-07 10:10:00,448.7,449.0,448.7,449.0,152
2020-07-07 10:15:00,449.0,449.0,447.9,447.9,288
2020-07-07 10:20:00,447.0,448.0,446.4,448.0,272
2020-07-07 10:25:00,448.0,448.0,447.2,447.2,920
2020-07-07 10:30:00,447.95,447.95,447.2,447.85,57
2020-07-07 10:35:00,447.2,447.2,447.2,447.2,1
2020-07-07 10:40:00,447.2,447.6,447.2,447.25,30
2020-07-07 10:45:00,447.6,448.0,447.6,448.0,886
2020-07-07 10:50:00,447.9,447.9,447.25,447.3,23
2020-07-07 10:55:00,447.25,447.25,447.25,447.25,11
2020-07-07 11:00:00,447.25,447.3,446.55,446.55,56
2020-07-07 11:05:00,446.5,447.25,445.55,445.55,72
2020-07-07 11:10:00,445.85,446.0,445.85,446.0,61
2020-07-07 11:15:00,446.1,446.2,446.1,446.2,25
2020-07-07 11:20:00,446.6,446.6,446.45,446.45,32
2020-07-07 11:25:00,446.55,446.55,444.2,445.15,2339
2020-07-07 11:30:00,446.0,446.0,445.15,445.15,58
2020-07-07 11:35:00,445.15,445.2,444.4,445.0,76
2020-07-07 11:40:00,444.9,444.9,444.9,444.9,11
2020-07-07 11:45:00,445.3,445.3,443.1,443.7,180
2020-07-07 11:50:00,443.75,443.75,443.75,443.75,1
2020-07-07 11:55:00,443.85,443.85,443.15,443.15,47
2020-07-07 12:00:00,443.1,443.1,441.7,442.65,118
2020-07-07 12:05:00,442.65,442.65,442.45,442.45,16
2020-07-07 12:10:00,442.85,443.9,442.85,443.9,162
2020-07-07 12:15:00,444.65,444.65,444.5,444.5,91
2020-07-07 12:20:00,443.05,444.0,443.05,444.0,22
2020-07-07 12:25:00,444.0,445.0,444.0,445.0,522
2020-07-07 12:30:00,444.75,444.9,444.75,444.9,124
2020-07-07 12:35:00,444.85,444.85,444.85,444.85,431
2020-07-07 12:40:00,444.6,444.6,443.7,443.7,16
2020-07-07 12:45:00,443.7,444.4,443.7,444.35,64
2020-07-07 12:50:00,444.4,444.45,444.3,444.45,59
2020-07-07 12:55:00,444.3,444.3,444.3,444.3,11
2020-07-07 13:00:00,444.45,444.65,444.45,444.65,41
2020-07-07 13:05:00,444.65,444.9,444.65,444.9,107
2020-07-07 13:10:00,444.85,444.85,444.7,444.7,28
2020-07-07 13:15:00,444.05,444.65,442.9,444.45,761
2020-07-07 13:20:00,444.15,444.25,442.45,444.25,152
2020-07-07 13:25:00,444.35,444.8,444.35,444.8,103
2020-07-07 13:30:00,444.75,444.75,444.6,444.6,37
