Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,966.0,975.0,955.1,963.25,43559
2020-07-02 10:15:00,963.25,965.4,957.0,963.0,39929
2020-07-02 11:15:00,963.0,967.0,958.6,967.0,9104
2020-07-02 12:15:00,967.0,968.4,959.9,962.55,9672
2020-07-02 13:15:00,962.5,973.75,961.1,973.7,17527
2020-07-02 14:15:00,973.75,979.0,961.6,962.9,31012
2020-07-02 15:15:00,962.85,964.8,960.0,963.4,10469
2020-07-03 09:15:00,965.0,971.0,940.0,962.05,119774
2020-07-03 10:15:00,962.0,978.0,958.3,968.5,68155
2020-07-03 11:15:00,970.9,976.0,968.05,969.45,17892
2020-07-03 12:15:00,968.5,975.0,968.5,971.45,11708
2020-07-03 13:15:00,971.55,975.0,968.0,970.0,25912
2020-07-03 14:15:00,971.15,984.35,967.0,982.6,50560
2020-07-03 15:15:00,982.65,988.0,975.0,979.5,26463
2020-07-06 09:15:00,982.0,1017.0,982.0,1010.7,85601
2020-07-06 10:15:00,1010.55,1012.15,992.45,998.55,103625
2020-07-06 11:15:00,998.75,999.0,993.05,993.3,43105
2020-07-06 12:15:00,993.3,999.5,990.0,991.0,33653
2020-07-06 13:15:00,991.05,991.85,976.2,982.5,62657
2020-07-06 14:15:00,983.95,990.6,981.05,984.0,40907
2020-07-06 15:15:00,983.95,985.0,980.4,983.4,28443
2020-07-07 09:15:00,987.5,988.95,961.15,964.9,141478
2020-07-07 10:15:00,964.9,965.15,957.25,961.0,50785
2020-07-07 11:15:00,961.0,964.8,959.55,962.6,17326
2020-07-07 12:15:00,964.0,966.0,960.75,964.0,22817
2020-07-07 13:15:00,964.0,965.0,961.0,963.5,11975
2020-07-07 14:15:00,964.0,964.95,959.4,959.4,29966
2020-07-07 15:15:00,960.0,963.5,958.8,961.4,23864
2020-07-08 09:15:00,968.0,971.5,945.5,950.6,47163
2020-07-08 10:15:00,951.0,964.6,942.0,950.35,77957
2020-07-08 11:15:00,951.0,953.85,946.55,950.05,11180
2020-07-08 12:15:00,950.05,955.0,950.05,954.45,7218
2020-07-08 13:15:00,954.95,955.9,951.15,952.25,10288
2020-07-08 14:15:00,951.1,953.85,942.35,946.8,25085
2020-07-08 15:15:00,947.0,948.0,942.0,944.65,15647
2020-07-09 09:15:00,947.0,955.0,947.0,951.0,16260
2020-07-09 10:15:00,951.7,951.7,944.0,948.0,6450
2020-07-09 11:15:00,948.0,950.5,930.0,933.0,38205
2020-07-09 12:15:00,933.05,933.05,927.3,929.7,22003
2020-07-09 13:15:00,929.7,935.0,926.05,934.45,15100
2020-07-09 14:15:00,934.9,934.9,927.5,929.3,15666
2020-07-09 15:15:00,928.15,929.5,928.0,928.5,10880
2020-07-10 09:15:00,930.0,936.75,920.05,932.0,29075
2020-07-10 10:15:00,933.4,933.75,916.0,920.0,21489
2020-07-10 11:15:00,920.0,920.05,917.15,920.0,12012
2020-07-10 12:15:00,920.0,920.35,917.5,919.0,11885
2020-07-10 13:15:00,919.4,920.05,917.0,918.65,10255
2020-07-10 14:15:00,918.7,923.6,916.55,917.0,13972
2020-07-10 15:15:00,916.95,917.0,914.9,916.95,9970
2020-07-13 09:15:00,922.0,925.35,913.0,916.05,25169
2020-07-13 10:15:00,917.05,919.75,915.5,916.7,6494
2020-07-13 11:15:00,916.75,917.0,914.7,915.25,4727
2020-07-13 12:15:00,915.25,915.9,910.0,912.65,10023
2020-07-13 13:15:00,913.0,913.0,910.25,910.65,4607
2020-07-13 14:15:00,911.5,915.3,910.65,914.35,14640
2020-07-13 15:15:00,914.35,915.55,913.0,914.9,10807
2020-07-14 09:15:00,913.0,915.0,901.05,911.4,16407
2020-07-14 10:15:00,911.4,915.0,908.5,911.0,11108
2020-07-14 11:15:00,911.0,913.55,910.4,911.0,5206
2020-07-14 12:15:00,911.0,913.75,906.15,906.4,6071
2020-07-14 13:15:00,906.4,911.45,905.65,911.2,4648
2020-07-14 14:15:00,910.05,911.35,905.0,906.4,6757
2020-07-14 15:15:00,907.35,912.95,906.3,908.15,3525
2020-07-15 09:15:00,916.0,933.0,912.6,914.4,63417
2020-07-15 10:15:00,915.4,915.65,903.65,907.25,14422
2020-07-15 11:15:00,906.6,915.0,906.6,912.0,11483
2020-07-15 12:15:00,912.4,914.4,911.1,912.25,3217
2020-07-15 13:15:00,912.25,917.3,912.25,914.0,10246
2020-07-15 14:15:00,914.0,915.0,905.25,908.0,23388
2020-07-15 15:15:00,908.0,908.9,900.9,905.8,10924
2020-07-16 09:15:00,909.9,919.0,906.45,912.95,29546
2020-07-16 10:15:00,913.45,914.5,906.1,912.2,26368
2020-07-16 11:15:00,913.1,915.0,910.4,912.2,8585
2020-07-16 12:15:00,911.05,912.7,909.0,910.0,7673
2020-07-16 13:15:00,909.8,910.95,894.0,896.05,18303
2020-07-16 14:15:00,896.05,907.6,894.8,906.15,42934
2020-07-16 15:15:00,907.0,913.7,905.85,905.85,10798
2020-07-17 09:15:00,914.0,916.85,907.0,912.0,31919
2020-07-17 10:15:00,912.0,923.25,912.0,918.0,16462
2020-07-17 11:15:00,918.0,919.55,913.1,915.0,11441
2020-07-17 12:15:00,915.9,916.95,913.15,914.55,7967
2020-07-17 13:15:00,915.0,915.1,913.05,914.0,4638
2020-07-17 14:15:00,914.5,915.0,910.5,910.6,19363
2020-07-17 15:15:00,910.5,915.0,910.0,912.15,9485
2020-07-20 09:15:00,913.5,932.7,913.0,921.75,51582
2020-07-20 10:15:00,922.05,927.7,919.1,927.5,19374
2020-07-20 11:15:00,927.5,928.8,909.25,914.05,29048
2020-07-20 12:15:00,913.1,916.0,912.85,914.75,11506
2020-07-20 13:15:00,915.3,915.8,896.4,901.0,61048
2020-07-20 14:15:00,901.7,901.8,898.0,900.0,83197
2020-07-20 15:15:00,899.95,900.8,894.0,898.95,30705
2020-07-21 09:15:00,903.0,913.95,903.0,907.0,53620
2020-07-21 10:15:00,907.05,908.45,901.15,904.1,15006
2020-07-21 11:15:00,904.2,906.05,903.0,904.25,8482
2020-07-21 12:15:00,904.15,906.95,903.0,904.45,8773
2020-07-21 13:15:00,904.4,906.95,903.0,904.85,12491
2020-07-21 14:15:00,905.05,909.0,901.65,904.5,15160
2020-07-21 15:15:00,904.2,910.3,903.25,906.85,12780
2020-07-22 09:15:00,910.0,919.7,902.0,919.7,26202
2020-07-22 10:15:00,919.7,922.9,913.85,921.5,38614
2020-07-22 11:15:00,922.0,924.1,918.0,920.0,14011
2020-07-22 12:15:00,920.0,920.0,912.9,915.0,10005
2020-07-22 13:15:00,915.9,920.0,915.0,916.5,13425
2020-07-22 14:15:00,916.5,924.3,915.0,924.0,18472
2020-07-22 15:15:00,924.0,930.0,923.6,925.65,24425
2020-07-23 09:15:00,930.0,945.0,930.0,939.65,63373
2020-07-23 10:15:00,939.7,944.9,938.3,940.3,21293
2020-07-23 11:15:00,941.65,941.65,937.5,939.45,10949
2020-07-23 12:15:00,939.5,941.0,935.0,935.55,9565
2020-07-23 13:15:00,935.55,941.0,934.45,935.25,10706
2020-07-23 14:15:00,935.25,940.0,925.0,932.1,25678
2020-07-23 15:15:00,932.0,941.0,929.0,934.8,19844
2020-07-24 09:15:00,910.0,914.0,895.0,908.75,128914
2020-07-24 10:15:00,909.45,909.5,906.0,906.0,22081
2020-07-24 11:15:00,906.05,912.0,906.0,911.5,9619
2020-07-24 12:15:00,911.3,913.0,908.0,911.5,11339
