Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,159.8,160.95,158.0,158.15,688779
2020-07-02 10:15:00,158.1,158.25,156.15,157.1,298733
2020-07-02 11:15:00,157.1,158.25,156.6,158.15,167882
2020-07-02 12:15:00,158.2,158.25,157.2,157.7,154762
2020-07-02 13:15:00,157.7,159.1,157.6,158.45,248332
2020-07-02 14:15:00,158.4,158.5,157.2,157.85,334204
2020-07-02 15:15:00,157.85,159.0,157.75,158.2,257850
2020-07-03 09:15:00,160.0,160.7,157.4,159.35,671148
2020-07-03 10:15:00,159.35,163.85,158.95,163.1,1652332
2020-07-03 11:15:00,163.0,163.15,162.1,162.4,291262
2020-07-03 12:15:00,162.4,163.1,160.55,160.85,874128
2020-07-03 13:15:00,160.85,161.3,159.0,160.4,513671
2020-07-03 14:15:00,160.25,161.2,160.0,160.15,297718
2020-07-03 15:15:00,160.15,160.4,159.4,160.0,179184
2020-07-06 09:15:00,161.95,162.8,160.5,162.3,537152
2020-07-06 10:15:00,162.45,164.5,161.85,163.15,696580
2020-07-06 11:15:00,163.25,163.8,163.0,163.2,179869
2020-07-06 12:15:00,163.05,165.0,163.0,164.85,576018
2020-07-06 13:15:00,164.85,165.2,163.2,164.3,702802
2020-07-06 14:15:00,164.2,164.85,163.75,164.6,446204
2020-07-06 15:15:00,164.6,164.7,163.8,164.2,371746
2020-07-07 09:15:00,164.5,168.9,163.3,168.75,2233441
2020-07-07 10:15:00,168.6,170.65,167.45,167.7,2357535
2020-07-07 11:15:00,167.75,168.45,166.1,168.4,812391
2020-07-07 12:15:00,168.45,168.55,164.2,165.3,849121
2020-07-07 13:15:00,165.2,165.5,164.25,165.15,475690
2020-07-07 14:15:00,165.2,170.0,164.55,167.3,1119549
2020-07-07 15:15:00,167.35,168.15,167.2,168.15,313689
2020-07-08 09:15:00,168.0,169.5,165.5,165.8,627677
2020-07-08 10:15:00,165.85,167.25,165.5,167.25,291712
2020-07-08 11:15:00,167.25,168.25,166.15,167.75,1201145
2020-07-08 12:15:00,167.7,168.75,167.3,167.5,277861
2020-07-08 13:15:00,167.5,167.7,166.65,166.95,186567
2020-07-08 14:15:00,167.0,167.3,162.55,162.75,740782
2020-07-08 15:15:00,162.9,163.0,161.4,163.0,318923
2020-07-09 09:15:00,163.0,165.1,162.35,163.65,510102
2020-07-09 10:15:00,163.65,163.9,161.45,162.45,277297
2020-07-09 11:15:00,162.45,163.2,162.3,162.7,172990
2020-07-09 12:15:00,162.6,162.95,161.5,161.9,115631
2020-07-09 13:15:00,161.85,162.6,161.5,162.1,123325
2020-07-09 14:15:00,162.05,163.1,161.5,162.9,306734
2020-07-09 15:15:00,162.8,163.5,162.5,162.75,204179
2020-07-10 09:15:00,161.5,163.4,160.55,161.0,493355
2020-07-10 10:15:00,161.0,161.0,158.5,158.95,372247
2020-07-10 11:15:00,158.9,160.15,158.6,159.9,340684
2020-07-10 12:15:00,159.9,160.4,158.85,159.9,205624
2020-07-10 13:15:00,159.8,160.5,159.1,159.4,118948
2020-07-10 14:15:00,159.4,160.45,159.2,159.75,165737
2020-07-10 15:15:00,159.6,160.1,159.1,159.7,246788
2020-07-13 09:15:00,161.45,162.45,158.65,159.25,600467
2020-07-13 10:15:00,159.1,159.4,157.2,157.45,355252
