Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,48.25,49.45,47.9,48.8,15641598
2020-07-02 10:15:00,48.8,48.85,48.35,48.45,5325027
2020-07-02 11:15:00,48.4,49.0,48.4,48.85,3429293
2020-07-02 12:15:00,48.85,49.05,48.6,48.95,5169630
2020-07-02 13:15:00,48.9,49.35,48.9,49.3,5311840
2020-07-02 14:15:00,49.25,49.3,48.85,49.05,4774150
2020-07-02 15:15:00,49.1,49.25,49.0,49.1,2587083
2020-07-03 09:15:00,49.6,49.6,48.65,49.25,9536131
2020-07-03 10:15:00,49.2,49.25,48.95,49.1,2779193
2020-07-03 11:15:00,49.15,49.55,49.05,49.2,3023814
2020-07-03 12:15:00,49.25,49.3,48.9,49.05,2411616
2020-07-03 13:15:00,49.0,49.15,48.45,48.95,3688454
2020-07-03 14:15:00,48.95,49.2,48.75,49.15,3586982
2020-07-03 15:15:00,49.1,49.25,49.05,49.1,1898520
2020-07-06 09:15:00,49.8,50.8,49.45,50.45,16787744
2020-07-06 10:15:00,50.45,50.95,50.4,50.85,5464095
2020-07-06 11:15:00,50.85,50.85,50.3,50.55,5279694
2020-07-06 12:15:00,50.55,51.2,50.3,50.95,8539086
2020-07-06 13:15:00,51.0,51.25,50.8,50.95,4748951
2020-07-06 14:15:00,50.95,51.95,50.9,51.85,12556281
2020-07-06 15:15:00,51.8,52.0,51.75,51.75,4744921
2020-07-07 09:15:00,52.0,52.15,51.15,51.4,12087185
2020-07-07 10:15:00,51.4,51.55,50.9,51.0,5372949
2020-07-07 11:15:00,51.0,51.55,50.85,51.55,5430288
2020-07-07 12:15:00,51.55,51.9,51.4,51.7,3940673
2020-07-07 13:15:00,51.7,52.65,51.55,52.55,6992184
2020-07-07 14:15:00,52.6,52.6,51.65,51.75,8233127
2020-07-07 15:15:00,51.75,51.9,51.65,51.9,2418981
2020-07-08 09:15:00,52.15,52.65,51.6,52.05,11530504
2020-07-08 10:15:00,52.1,53.2,52.05,52.95,11507391
2020-07-08 11:15:00,52.9,53.4,52.8,53.1,11835479
2020-07-08 12:15:00,53.15,53.35,53.0,53.05,4688268
2020-07-08 13:15:00,53.05,53.1,52.55,52.65,5021490
2020-07-08 14:15:00,52.65,52.85,52.0,52.0,7997544
2020-07-08 15:15:00,52.05,52.1,51.7,51.95,2427237
2020-07-09 09:15:00,52.5,52.7,51.95,52.5,7587279
2020-07-09 10:15:00,52.5,52.6,52.15,52.15,2924011
2020-07-09 11:15:00,52.2,52.35,52.1,52.3,1896735
2020-07-09 12:15:00,52.3,52.55,52.0,52.15,2595371
2020-07-09 13:15:00,52.15,52.25,51.75,51.8,2193364
2020-07-09 14:15:00,51.8,52.4,51.75,52.1,4207928
2020-07-09 15:15:00,52.1,52.25,52.05,52.15,1626190
2020-07-10 09:15:00,51.5,52.2,51.05,52.1,7282895
2020-07-10 10:15:00,52.05,52.1,50.9,51.0,5853869
2020-07-10 11:15:00,51.0,51.25,50.6,50.95,4564180
2020-07-10 12:15:00,51.0,51.35,50.75,51.2,3100590
2020-07-10 13:15:00,51.2,51.75,51.1,51.25,3425204
2020-07-10 14:15:00,51.25,51.4,51.0,51.25,3040801
2020-07-10 15:15:00,51.2,51.25,51.05,51.15,1707440
2020-07-13 09:15:00,51.6,52.45,51.5,51.75,7615681
2020-07-13 10:15:00,51.75,51.9,51.2,51.3,2795653
2020-07-13 11:15:00,51.3,51.65,51.2,51.45,2204881
2020-07-13 12:15:00,51.45,51.75,51.4,51.7,1525170
2020-07-13 13:15:00,51.65,51.7,50.9,51.2,2597299
2020-07-13 14:15:00,51.2,51.3,50.6,50.9,4118391
2020-07-13 15:15:00,50.9,50.9,50.7,50.8,2045398
2020-07-14 09:15:00,50.9,50.9,49.1,49.5,9875616
2020-07-14 10:15:00,49.55,49.55,48.7,48.9,4417698
2020-07-14 11:15:00,48.9,49.5,48.85,49.3,2820224
2020-07-14 12:15:00,49.3,49.4,48.95,49.1,2500846
2020-07-14 13:15:00,49.1,50.1,49.1,49.85,5756519
2020-07-14 14:15:00,49.8,50.6,49.7,50.25,4788029
2020-07-14 15:15:00,50.35,50.6,50.3,50.4,1394495
2020-07-15 09:15:00,50.4,51.0,49.65,49.95,7363977
2020-07-15 10:15:00,50.0,50.2,49.95,50.15,2282169
2020-07-15 11:15:00,50.1,50.9,50.05,50.55,4039809
2020-07-15 12:15:00,50.5,50.65,49.8,49.9,4320401
2020-07-15 13:15:00,49.85,50.25,49.5,50.05,3275711
2020-07-15 14:15:00,50.05,50.05,49.0,49.2,4168683
2020-07-15 15:15:00,49.2,49.45,49.05,49.3,1351701
2020-07-16 09:15:00,49.35,49.75,48.35,49.3,6197473
2020-07-16 10:15:00,49.3,49.35,48.8,49.15,2091116
2020-07-16 11:15:00,49.2,49.6,49.05,49.1,2450524
2020-07-16 12:15:00,49.15,49.3,48.85,49.1,2166356
2020-07-16 13:15:00,49.1,50.2,49.05,50.05,5246766
2020-07-16 14:15:00,50.1,50.3,49.85,50.1,3477329
2020-07-16 15:15:00,50.05,50.5,50.05,50.2,1594295
2020-07-17 09:15:00,50.85,52.35,50.4,52.0,14654554
2020-07-17 10:15:00,52.0,52.5,51.85,51.95,8045311
2020-07-17 11:15:00,51.9,52.1,51.55,51.7,3741498
2020-07-17 12:15:00,51.65,51.95,51.45,51.55,2440549
2020-07-17 13:15:00,51.5,51.8,51.4,51.75,1996989
2020-07-17 14:15:00,51.7,51.8,51.5,51.75,2723347
2020-07-17 15:15:00,51.75,51.9,51.65,51.75,2067334
2020-07-20 09:15:00,52.2,52.8,51.6,52.65,8978654
2020-07-20 10:15:00,52.65,52.75,52.1,52.3,3529255
2020-07-20 11:15:00,52.3,52.55,51.9,52.05,4583239
