Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,50.6,50.8,50.2,50.35,767373
2020-07-02 10:15:00,50.3,50.6,49.9,50.2,571248
2020-07-02 11:15:00,50.15,50.5,50.0,50.45,224049
2020-07-02 12:15:00,50.45,50.45,50.3,50.35,91712
2020-07-02 13:15:00,50.35,50.35,50.05,50.25,161904
2020-07-02 14:15:00,50.25,50.3,50.0,50.0,281336
2020-07-02 15:15:00,50.0,50.1,49.5,49.95,303284
2020-07-03 09:15:00,50.5,50.6,49.4,49.7,781731
2020-07-03 10:15:00,49.7,49.9,49.6,49.6,254827
2020-07-03 11:15:00,49.6,49.7,49.5,49.5,147320
2020-07-03 12:15:00,49.55,49.75,49.55,49.65,308086
2020-07-03 13:15:00,49.6,49.75,49.2,49.55,284388
2020-07-03 14:15:00,49.55,52.7,49.55,50.75,2489172
2020-07-03 15:15:00,50.75,50.8,49.8,50.55,527503
2020-07-06 09:15:00,50.55,50.95,49.9,50.25,1199262
2020-07-06 10:15:00,50.35,50.4,50.0,50.3,337093
2020-07-06 11:15:00,50.3,50.5,50.2,50.35,157822
2020-07-06 12:15:00,50.35,50.5,50.1,50.4,231985
2020-07-06 13:15:00,50.35,50.45,50.1,50.4,294777
2020-07-06 14:15:00,50.35,50.5,49.0,50.0,836552
2020-07-06 15:15:00,49.95,50.0,49.5,49.85,356584
2020-07-07 09:15:00,49.65,50.0,49.2,49.6,591762
2020-07-07 10:15:00,49.6,50.45,49.55,50.1,429253
2020-07-07 11:15:00,50.15,50.15,49.55,49.9,295139
2020-07-07 12:15:00,49.9,50.25,49.75,50.2,328209
2020-07-07 13:15:00,50.15,50.2,49.95,50.0,212747
2020-07-07 14:15:00,50.05,50.1,49.5,49.5,575887
2020-07-07 15:15:00,49.45,49.65,49.4,49.55,278876
2020-07-08 09:15:00,49.8,51.4,49.65,50.65,1863152
2020-07-08 10:15:00,50.7,52.0,50.65,51.6,2300843
2020-07-08 11:15:00,51.7,51.9,51.1,51.65,940811
2020-07-08 12:15:00,51.7,51.7,51.15,51.5,404245
2020-07-08 13:15:00,51.5,51.55,51.3,51.4,337804
2020-07-08 14:15:00,51.4,51.45,49.5,49.75,1625781
2020-07-08 15:15:00,49.75,49.95,49.6,49.9,324597
2020-07-09 09:15:00,50.05,50.9,50.05,50.45,852594
2020-07-09 10:15:00,50.5,50.65,50.15,50.3,247151
2020-07-09 11:15:00,50.25,50.35,50.25,50.3,60254
2020-07-09 12:15:00,50.25,50.55,49.85,50.05,336805
2020-07-09 13:15:00,50.0,50.15,49.9,50.1,209600
2020-07-09 14:15:00,50.15,50.85,49.7,50.1,848446
2020-07-09 15:15:00,50.1,50.2,50.0,50.1,281051
2020-07-10 09:15:00,49.9,50.3,49.3,50.2,576324
2020-07-10 10:15:00,50.2,50.25,49.5,49.65,417336
2020-07-10 11:15:00,49.6,50.1,49.25,49.4,710550
2020-07-10 12:15:00,49.35,49.45,49.0,49.35,264801
2020-07-10 13:15:00,49.3,49.6,49.2,49.3,139099
2020-07-10 14:15:00,49.25,49.45,49.05,49.25,483092
2020-07-10 15:15:00,49.25,49.55,49.25,49.3,190702
2020-07-13 09:15:00,49.9,49.9,49.0,49.15,536299
2020-07-13 10:15:00,49.1,49.35,49.0,49.1,206708
2020-07-13 11:15:00,49.05,49.1,48.7,48.75,202269
2020-07-13 12:15:00,48.75,48.75,48.3,48.5,244582
2020-07-13 13:15:00,48.5,48.6,48.25,48.35,186507
2020-07-13 14:15:00,48.35,48.55,48.15,48.35,264657
2020-07-13 15:15:00,48.35,48.45,48.0,48.25,242843
2020-07-14 09:15:00,48.2,48.2,47.15,47.35,434490
2020-07-14 10:15:00,47.35,47.35,46.6,46.65,272010
2020-07-14 11:15:00,46.6,47.15,46.6,46.9,132264
2020-07-14 12:15:00,46.9,47.0,46.65,46.8,100994
2020-07-14 13:15:00,46.8,47.0,46.7,47.0,86607
2020-07-14 14:15:00,46.95,47.0,46.7,46.8,226353
2020-07-14 15:15:00,46.8,46.85,46.5,46.75,160563
2020-07-15 09:15:00,47.05,47.65,47.0,47.35,321904
2020-07-15 10:15:00,47.3,47.4,46.95,47.2,203242
