Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,89.95,90.5,89.3,89.6,2846779
2020-07-02 10:15:00,89.55,89.6,89.1,89.2,926520
2020-07-02 11:15:00,89.25,89.6,89.0,89.25,836297
2020-07-02 12:15:00,89.3,89.4,88.5,88.95,1029900
2020-07-02 13:15:00,88.95,89.5,88.9,89.25,802076
2020-07-02 14:15:00,89.25,89.4,88.65,89.15,1673079
2020-07-02 15:15:00,89.05,89.3,88.9,89.05,995407
2020-07-03 09:15:00,91.0,92.95,90.5,92.95,12294088
2020-07-03 10:15:00,92.9,94.4,92.6,93.7,9044529
2020-07-03 11:15:00,93.75,93.95,93.2,93.7,2628303
2020-07-03 12:15:00,93.7,95.9,93.6,95.7,11612712
2020-07-03 13:15:00,95.8,97.4,95.35,96.8,15140408
2020-07-03 14:15:00,96.75,97.4,96.6,96.85,12678490
2020-07-03 15:15:00,96.9,97.95,96.75,97.2,5010717
2020-07-06 09:15:00,98.2,99.65,97.0,98.8,10811491
2020-07-06 10:15:00,98.8,99.8,98.3,99.1,5883897
2020-07-06 11:15:00,99.1,99.15,98.55,98.85,1960374
2020-07-06 12:15:00,98.9,99.3,98.4,98.5,3351556
2020-07-06 13:15:00,98.55,99.65,98.2,99.45,3620386
2020-07-06 14:15:00,99.4,103.55,98.9,102.65,15670849
2020-07-06 15:15:00,102.7,102.7,101.35,102.2,2711583
2020-07-07 09:15:00,101.7,102.8,99.7,102.55,10237953
2020-07-07 10:15:00,102.6,103.25,101.6,102.05,4891482
2020-07-07 11:15:00,102.05,102.85,101.75,102.6,3302372
2020-07-07 12:15:00,102.6,103.4,102.4,102.55,3148995
2020-07-07 13:15:00,102.5,102.65,102.0,102.35,2508650
2020-07-07 14:15:00,102.35,102.4,101.5,102.1,5427378
2020-07-07 15:15:00,102.15,102.2,101.65,102.05,1501757
2020-07-08 09:15:00,101.0,103.15,100.55,102.5,5020935
2020-07-08 10:15:00,102.55,102.65,101.9,102.35,2014664
2020-07-08 11:15:00,102.35,104.9,101.95,104.3,5004768
2020-07-08 12:15:00,104.3,105.4,104.2,104.7,3460552
2020-07-08 13:15:00,104.7,105.2,104.0,104.0,1904946
2020-07-08 14:15:00,104.0,104.25,102.45,103.55,4313690
2020-07-08 15:15:00,103.65,103.7,103.05,103.55,990059
2020-07-09 09:15:00,102.6,102.95,99.65,100.2,6439611
2020-07-09 10:15:00,100.15,100.5,99.7,99.85,1953051
2020-07-09 11:15:00,99.95,100.05,99.5,99.85,1825202
2020-07-09 12:15:00,99.9,100.3,99.75,99.9,1562519
2020-07-09 13:15:00,99.9,100.2,99.65,100.05,1735411
2020-07-09 14:15:00,100.0,100.75,99.55,99.85,3358660
2020-07-09 15:15:00,99.9,100.1,99.65,99.85,1224198
2020-07-10 09:15:00,99.85,101.5,98.85,100.75,3391373
2020-07-10 10:15:00,100.65,100.75,98.7,98.9,2113660
2020-07-10 11:15:00,98.9,99.25,98.75,99.0,976931
2020-07-10 12:15:00,99.0,100.35,98.35,99.9,2189026
2020-07-10 13:15:00,99.9,100.2,99.25,99.45,1215952
2020-07-10 14:15:00,99.45,100.15,99.1,99.55,1525881
2020-07-10 15:15:00,99.6,99.8,99.35,99.7,713105
2020-07-13 09:15:00,100.7,101.35,99.7,99.9,2209453
2020-07-13 10:15:00,99.75,100.0,98.65,98.85,1564429
2020-07-13 11:15:00,98.95,100.3,98.8,99.0,1953272
2020-07-13 12:15:00,99.0,99.4,98.5,99.25,1457435
2020-07-13 13:15:00,99.35,99.35,98.9,99.1,835123
2020-07-13 14:15:00,99.05,99.2,98.1,98.55,1683713
2020-07-13 15:15:00,98.6,98.85,97.7,98.5,1078151
2020-07-14 09:15:00,99.3,100.15,97.5,99.1,6715298
2020-07-14 10:15:00,99.05,99.1,96.75,97.2,3984092
2020-07-14 11:15:00,97.15,97.45,95.95,96.25,2050625
2020-07-14 12:15:00,96.3,96.8,95.55,95.65,2015287
2020-07-14 13:15:00,95.65,97.3,95.6,97.0,1433506
2020-07-14 14:15:00,97.0,97.75,96.4,97.4,2055396
2020-07-14 15:15:00,97.4,97.55,96.7,97.1,916193
2020-07-15 09:15:00,99.5,99.6,98.1,98.2,3814726
2020-07-15 10:15:00,98.15,98.45,97.55,98.2,1322363
2020-07-15 11:15:00,98.2,98.45,97.5,97.65,902347
2020-07-15 12:15:00,97.7,97.7,96.4,96.4,2526570
2020-07-15 13:15:00,96.4,97.15,95.95,96.65,1595949
2020-07-15 14:15:00,96.6,96.7,95.4,96.15,1657737
2020-07-15 15:15:00,96.15,96.75,95.7,96.1,826732
2020-07-16 09:15:00,96.5,96.75,94.15,95.65,2967781
2020-07-16 10:15:00,95.65,96.3,94.95,95.15,1373540
2020-07-16 11:15:00,95.2,95.45,94.65,94.75,1525317
2020-07-16 12:15:00,94.75,94.8,94.35,94.55,1776158
2020-07-16 13:15:00,94.55,95.3,94.35,94.6,1667654
2020-07-16 14:15:00,94.65,94.65,94.2,94.5,2333500
2020-07-16 15:15:00,94.5,94.6,94.35,94.45,659321
2020-07-17 09:15:00,94.4,97.4,94.05,96.95,3024269
2020-07-17 10:15:00,96.85,97.6,96.45,96.75,1647233
2020-07-17 11:15:00,96.8,97.75,96.4,97.55,1085510
2020-07-17 12:15:00,97.55,97.9,97.0,97.3,1083168
2020-07-17 13:15:00,97.35,97.8,97.15,97.55,715896
2020-07-17 14:15:00,97.55,98.45,97.3,98.0,1902432
2020-07-17 15:15:00,98.0,98.15,97.85,98.0,653761
2020-07-20 09:15:00,98.0,99.9,98.0,98.35,3933349
2020-07-20 10:15:00,98.3,98.6,97.6,97.7,1506656
2020-07-20 11:15:00,97.75,97.9,96.95,97.1,1277251
2020-07-20 12:15:00,97.1,97.55,96.85,97.05,959904
2020-07-20 13:15:00,97.1,97.2,96.65,97.0,880241
2020-07-20 14:15:00,97.0,97.45,96.3,96.8,1844120
2020-07-20 15:15:00,96.85,97.0,96.4,96.75,940308
2020-07-21 09:15:00,97.6,98.45,96.6,97.7,2301872
2020-07-21 10:15:00,97.8,98.65,97.45,97.85,1514171
2020-07-21 11:15:00,97.85,98.95,97.75,98.8,1160371
2020-07-21 12:15:00,98.8,100.8,98.75,100.4,3431231
2020-07-21 13:15:00,100.35,100.5,98.6,99.05,1967657
2020-07-21 14:15:00,99.05,100.7,99.0,99.25,3042508
2020-07-21 15:15:00,99.25,99.5,99.0,99.25,753558
2020-07-22 09:15:00,99.9,99.95,97.5,98.35,2556769
2020-07-22 10:15:00,98.35,99.05,98.2,98.7,728636
2020-07-22 11:15:00,98.75,99.4,98.65,98.9,903251
2020-07-22 12:15:00,98.9,99.8,98.65,98.85,1016046
2020-07-22 13:15:00,98.85,98.9,97.15,97.5,1530270
2020-07-22 14:15:00,97.5,98.2,96.5,98.1,1432690
2020-07-22 15:15:00,98.1,98.3,97.55,97.9,730517
2020-07-23 09:15:00,98.0,100.5,97.55,100.05,2859961
2020-07-23 10:15:00,100.0,102.0,99.9,101.5,3617508
2020-07-23 11:15:00,101.6,102.1,100.85,101.7,3309239
2020-07-23 12:15:00,101.7,101.8,100.5,101.05,2158114
2020-07-23 13:15:00,101.05,102.35,100.7,101.6,2672388
2020-07-23 14:15:00,101.55,101.9,100.95,101.3,2788566
2020-07-23 15:15:00,101.35,103.5,101.2,102.5,3910152
2020-07-24 09:15:00,102.95,104.65,102.25,103.45,9268687
2020-07-24 10:15:00,103.45,103.5,101.2,101.85,4498065
2020-07-24 11:15:00,101.85,102.25,101.45,101.5,1618918
2020-07-24 12:15:00,101.45,101.7,101.25,101.4,877903
2020-07-24 13:15:00,101.45,102.05,101.35,101.85,1376250
2020-07-24 14:15:00,101.9,102.15,101.3,102.15,2825340
2020-07-24 15:15:00,102.1,102.9,101.65,102.15,2278047
2020-07-27 09:15:00,102.75,102.75,99.9,100.95,3067115
2020-07-27 10:15:00,101.0,101.75,100.8,101.2,1095458
2020-07-27 11:15:00,101.15,101.2,99.55,99.75,1336588
2020-07-27 12:15:00,99.75,100.1,99.2,99.7,1320407
2020-07-27 13:15:00,99.65,100.0,98.85,99.5,1899193
2020-07-27 14:15:00,99.5,99.6,98.25,98.9,1548180
2020-07-27 15:15:00,98.95,100.25,98.95,99.4,1363799
2020-07-28 09:15:00,97.2,99.2,95.35,95.65,7084208
2020-07-28 10:15:00,95.6,96.85,95.5,96.55,2035714
2020-07-28 11:15:00,96.7,98.0,96.65,97.55,4155959
2020-07-28 12:15:00,97.55,97.75,97.25,97.5,996779
2020-07-28 13:15:00,97.5,99.15,97.4,98.65,2452604
2020-07-28 14:15:00,98.65,98.7,96.75,96.85,2628024
2020-07-28 15:15:00,96.85,97.0,96.0,96.55,2222257
2020-07-29 09:15:00,96.55,100.2,96.55,99.2,5861791
2020-07-29 10:15:00,99.15,99.75,98.5,98.9,3412192
2020-07-29 11:15:00,98.8,99.15,98.0,98.1,1943815
2020-07-29 12:15:00,98.15,98.75,97.75,97.8,1519387
2020-07-29 13:15:00,97.85,98.05,97.0,97.2,1534060
2020-07-29 14:15:00,97.2,97.5,96.5,97.25,1932894
2020-07-29 15:15:00,97.25,97.55,97.1,97.3,1197354
2020-07-30 09:15:00,97.8,98.35,96.6,96.85,4162306
2020-07-30 10:15:00,96.9,97.55,96.65,97.4,1307094
2020-07-30 11:15:00,97.4,97.45,96.5,96.55,1103798
2020-07-30 12:15:00,96.55,96.65,95.55,95.65,1551618
2020-07-30 13:15:00,95.7,95.95,95.15,95.2,1074010
