Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,37.0,37.15,36.4,36.6,13841602
2020-07-02 10:15:00,36.6,36.85,36.55,36.65,6016697
2020-07-02 11:15:00,36.6,36.75,36.55,36.7,2057885
2020-07-02 12:15:00,36.7,36.75,36.55,36.7,2446928
2020-07-02 13:15:00,36.7,36.85,36.65,36.7,3421774
2020-07-02 14:15:00,36.75,37.0,36.6,36.65,6730189
2020-07-02 15:15:00,36.7,36.8,36.65,36.7,3655018
2020-07-03 09:15:00,37.0,37.4,36.65,37.1,12251967
2020-07-03 10:15:00,37.1,38.6,36.9,38.3,40316532
2020-07-03 11:15:00,38.25,38.35,37.6,37.75,13183435
2020-07-03 12:15:00,37.75,37.9,37.5,37.6,6555895
2020-07-03 13:15:00,37.55,38.0,37.25,37.95,10865030
2020-07-03 14:15:00,38.0,39.0,37.8,38.6,52026421
2020-07-03 15:15:00,38.55,38.7,38.5,38.65,9047516
2020-07-06 09:15:00,39.05,39.75,38.8,39.45,32152054
2020-07-06 10:15:00,39.45,41.0,39.4,41.0,54079419
2020-07-06 11:15:00,41.0,41.5,40.55,40.8,39126197
2020-07-06 12:15:00,40.75,40.9,40.55,40.65,10965891
2020-07-06 13:15:00,40.6,40.9,40.2,40.5,16039914
2020-07-06 14:15:00,40.5,44.4,40.35,44.25,75526051
2020-07-06 15:15:00,44.15,44.35,43.15,43.55,25544833
2020-07-07 09:15:00,43.75,44.1,42.25,43.4,47967696
2020-07-07 10:15:00,43.35,43.7,42.6,42.85,19078864
2020-07-07 11:15:00,42.9,43.0,42.5,42.9,9395553
2020-07-07 12:15:00,42.9,43.25,42.85,43.1,7810646
2020-07-07 13:15:00,43.1,43.45,42.85,43.05,8462299
2020-07-07 14:15:00,43.0,43.3,42.55,42.8,11181974
2020-07-07 15:15:00,42.75,42.85,42.2,42.55,7791459
2020-07-08 09:15:00,42.5,43.05,41.8,41.9,20190625
2020-07-08 10:15:00,41.85,42.15,41.6,41.85,7355527
2020-07-08 11:15:00,41.85,42.0,41.7,41.9,4716391
2020-07-08 12:15:00,41.9,42.8,41.8,42.35,10359736
2020-07-08 13:15:00,42.35,42.45,42.15,42.25,3444253
2020-07-08 14:15:00,42.3,42.35,41.25,41.3,11173100
2020-07-08 15:15:00,41.3,41.3,41.0,41.25,5050909
2020-07-09 09:15:00,41.8,41.95,41.25,41.65,8872153
2020-07-09 10:15:00,41.65,41.75,41.35,41.55,3774953
2020-07-09 11:15:00,41.5,41.55,41.25,41.4,2253092
2020-07-09 12:15:00,41.4,43.1,41.25,42.45,25692975
2020-07-09 13:15:00,42.45,42.6,42.2,42.4,5691637
2020-07-09 14:15:00,42.35,42.65,41.9,42.05,9268218
2020-07-09 15:15:00,42.05,42.2,41.9,42.05,3254605
2020-07-10 09:15:00,42.15,42.45,41.55,42.15,10550923
2020-07-10 10:15:00,42.2,42.2,41.65,41.75,5431468
2020-07-10 11:15:00,41.75,41.85,41.5,41.65,4001017
2020-07-10 12:15:00,41.65,41.75,41.3,41.65,3471893
2020-07-10 13:15:00,41.6,41.85,41.5,41.6,2934370
2020-07-10 14:15:00,41.55,41.8,41.15,41.35,5394781
2020-07-10 15:15:00,41.3,41.5,41.25,41.4,2868163
2020-07-13 09:15:00,42.45,42.75,42.0,42.05,8194604
2020-07-13 10:15:00,42.1,43.0,42.05,42.45,8273936
2020-07-13 11:15:00,42.45,42.6,42.25,42.4,4177560
2020-07-13 12:15:00,42.45,42.5,42.25,42.35,2508025
2020-07-13 13:15:00,42.35,42.4,41.8,42.15,5589691
2020-07-13 14:15:00,42.15,42.9,42.05,42.6,11361191
2020-07-13 15:15:00,42.6,42.65,42.45,42.6,4620336
2020-07-14 09:15:00,41.95,41.95,38.5,40.0,44176716
2020-07-14 10:15:00,40.0,40.05,38.75,38.9,17121444
2020-07-14 11:15:00,38.9,39.7,38.75,39.3,11559402
2020-07-14 12:15:00,39.35,40.15,38.85,39.2,18533193
2020-07-14 13:15:00,39.25,39.9,39.2,39.75,9383065
2020-07-14 14:15:00,39.75,39.85,38.5,38.8,18247374
2020-07-14 15:15:00,38.75,39.45,38.65,38.9,7649443
2020-07-15 09:15:00,39.5,39.9,39.15,39.4,14634881
2020-07-15 10:15:00,39.45,39.55,38.85,39.0,8713650
2020-07-15 11:15:00,39.0,39.05,38.25,38.4,10239163
2020-07-15 12:15:00,38.45,38.75,38.1,38.3,6885838
2020-07-15 13:15:00,38.3,38.45,38.1,38.2,3604153
2020-07-15 14:15:00,38.2,38.2,36.45,36.95,19056051
2020-07-15 15:15:00,36.95,37.1,36.35,36.8,5819620
2020-07-16 09:15:00,37.5,38.15,36.35,37.45,24689751
2020-07-16 10:15:00,37.45,37.45,36.35,36.6,10871062
2020-07-16 11:15:00,36.65,36.9,36.4,36.5,6366529
2020-07-16 12:15:00,36.55,36.6,36.15,36.25,7043508
2020-07-16 13:15:00,36.25,36.8,36.25,36.6,5581957
2020-07-16 14:15:00,36.6,37.15,36.55,36.85,10031378
2020-07-16 15:15:00,36.85,37.05,36.7,36.9,4010776
2020-07-17 09:15:00,36.9,39.15,36.8,38.75,32959519
2020-07-17 10:15:00,38.75,38.95,38.25,38.45,15430357
2020-07-17 11:15:00,38.45,38.5,38.05,38.25,6150335
2020-07-17 12:15:00,38.2,38.6,38.1,38.2,6200466
2020-07-17 13:15:00,38.2,38.6,38.1,38.45,5487059
2020-07-17 14:15:00,38.4,38.6,38.2,38.2,8469102
2020-07-17 15:15:00,38.2,38.5,38.2,38.35,4118710
2020-07-20 09:15:00,38.75,39.05,38.4,38.5,8902223
2020-07-20 10:15:00,38.55,38.55,38.05,38.3,5071233
2020-07-20 11:15:00,38.25,38.4,38.15,38.3,2081210
2020-07-20 12:15:00,38.3,38.4,38.2,38.35,1468514
2020-07-20 13:15:00,38.3,38.4,38.1,38.15,2793122
2020-07-20 14:15:00,38.2,38.2,37.8,38.1,4531757
2020-07-20 15:15:00,38.1,38.1,37.9,38.0,2314447
