Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,49.45,49.95,49.05,49.05,42049
2020-07-02 10:15:00,49.1,49.35,48.6,48.65,20081
2020-07-02 11:15:00,48.65,49.15,48.6,49.0,26406
2020-07-02 12:15:00,49.0,49.45,48.65,48.8,25501
2020-07-02 13:15:00,48.8,49.2,48.5,48.9,35127
2020-07-02 14:15:00,48.8,48.9,48.65,48.65,19115
2020-07-02 15:15:00,48.7,48.8,48.55,48.7,18649
2020-07-03 09:15:00,49.0,49.2,48.0,48.2,39104
2020-07-03 10:15:00,48.3,48.7,48.3,48.5,9738
2020-07-03 11:15:00,48.45,48.6,48.25,48.25,6473
2020-07-03 12:15:00,48.3,48.5,48.15,48.15,12221
2020-07-03 13:15:00,48.15,48.25,48.0,48.15,24313
2020-07-03 14:15:00,48.05,48.15,47.85,47.9,23672
2020-07-03 15:15:00,47.85,48.0,47.75,47.9,34269
2020-07-06 09:15:00,50.0,50.9,49.15,49.6,200172
2020-07-06 10:15:00,49.6,49.6,49.0,49.25,56322
2020-07-06 11:15:00,49.25,49.4,49.0,49.15,32532
2020-07-06 12:15:00,49.15,49.35,49.0,49.3,9890
2020-07-06 13:15:00,49.3,49.6,48.75,49.5,70325
2020-07-06 14:15:00,49.5,50.75,49.5,50.3,240444
2020-07-06 15:15:00,50.3,50.55,49.85,50.3,80447
2020-07-07 09:15:00,50.2,52.5,49.05,52.0,388911
2020-07-07 10:15:00,52.1,52.6,50.55,51.15,279767
2020-07-07 11:15:00,51.15,51.3,50.2,50.4,93425
2020-07-07 12:15:00,50.4,50.9,50.35,50.65,34137
2020-07-07 13:15:00,50.55,50.85,50.5,50.7,36961
2020-07-07 14:15:00,50.7,50.95,50.0,50.1,95070
2020-07-07 15:15:00,50.05,51.7,50.05,50.6,178136
2020-07-08 09:15:00,50.9,51.2,50.05,50.25,93863
2020-07-08 10:15:00,50.25,50.6,50.0,50.4,42381
2020-07-08 11:15:00,50.4,50.7,50.1,50.6,36123
2020-07-08 12:15:00,50.55,51.85,50.55,51.15,147016
2020-07-08 13:15:00,50.95,51.35,50.6,50.85,31665
2020-07-08 14:15:00,50.9,51.2,49.85,49.85,65438
2020-07-08 15:15:00,49.85,50.0,49.6,49.85,22901
2020-07-09 09:15:00,50.15,50.85,49.65,50.3,60903
2020-07-09 10:15:00,50.3,50.5,49.6,49.8,32431
2020-07-09 11:15:00,49.75,50.15,49.7,49.8,17699
2020-07-09 12:15:00,49.8,50.05,49.7,49.75,9974
2020-07-09 13:15:00,49.85,50.1,49.75,49.85,8759
2020-07-09 14:15:00,49.75,49.95,49.65,49.65,20985
2020-07-09 15:15:00,49.7,51.05,49.65,50.45,99262
2020-07-10 09:15:00,50.1,51.2,49.25,51.0,124194
2020-07-10 10:15:00,51.05,51.15,49.65,49.85,70871
2020-07-10 11:15:00,49.8,49.9,48.3,48.75,62373
2020-07-10 12:15:00,48.75,49.5,48.75,49.35,21067
2020-07-10 13:15:00,49.35,49.6,48.95,49.05,21055
2020-07-10 14:15:00,49.05,49.4,49.0,49.0,33025
2020-07-10 15:15:00,49.0,49.5,48.7,49.15,97445
2020-07-13 09:15:00,49.45,49.55,48.9,48.95,51155
2020-07-13 10:15:00,48.95,49.0,48.65,48.65,24811
2020-07-13 11:15:00,48.65,48.8,48.5,48.5,13559
2020-07-13 12:15:00,48.55,49.4,48.35,48.7,44598
2020-07-13 13:15:00,48.7,48.8,48.05,48.25,24409
2020-07-13 14:15:00,48.25,48.45,48.15,48.3,15860
2020-07-13 15:15:00,48.25,48.3,48.05,48.15,23160
2020-07-14 09:15:00,47.95,47.95,47.2,47.45,28856
2020-07-14 10:15:00,47.45,47.45,46.1,46.3,37774
2020-07-14 11:15:00,46.35,46.7,46.2,46.6,14371
2020-07-14 12:15:00,46.6,46.85,46.0,46.0,14382
2020-07-14 13:15:00,46.15,46.7,46.15,46.55,7679
2020-07-14 14:15:00,46.55,46.6,46.25,46.55,14704
2020-07-14 15:15:00,46.5,46.5,46.2,46.35,12582
2020-07-15 09:15:00,46.85,47.5,46.75,47.3,16175
2020-07-15 10:15:00,47.3,47.45,47.15,47.3,5959
2020-07-15 11:15:00,47.4,47.5,47.1,47.2,9194
2020-07-15 12:15:00,47.1,47.1,46.85,46.9,5834
2020-07-15 13:15:00,46.95,47.05,46.85,46.85,3588
2020-07-15 14:15:00,46.9,47.1,46.1,46.2,26484
2020-07-15 15:15:00,46.1,46.5,46.1,46.4,7427
2020-07-16 09:15:00,46.8,47.0,45.7,46.25,21876
2020-07-16 10:15:00,46.25,46.4,45.5,45.55,13741
2020-07-16 11:15:00,45.6,46.25,45.45,45.75,12086
2020-07-16 12:15:00,45.8,45.95,45.3,45.3,5735
2020-07-16 13:15:00,45.3,45.75,45.3,45.4,3592
2020-07-16 14:15:00,45.45,46.0,45.4,45.7,16002
2020-07-16 15:15:00,45.65,46.0,45.55,45.75,11138
2020-07-17 09:15:00,46.05,46.7,45.8,46.6,25400
2020-07-17 10:15:00,46.6,46.6,45.95,46.3,24870
2020-07-17 11:15:00,46.25,46.35,46.05,46.25,5578
2020-07-17 12:15:00,46.2,46.7,46.15,46.15,11068
2020-07-17 13:15:00,46.15,46.4,46.05,46.2,12820
2020-07-17 14:15:00,46.2,47.95,46.2,47.6,41603
2020-07-17 15:15:00,47.8,48.35,47.0,47.45,54127
2020-07-20 09:15:00,47.6,47.7,47.0,47.35,23211
2020-07-20 10:15:00,47.25,47.3,46.8,47.1,13580
2020-07-20 11:15:00,47.1,47.2,46.55,46.85,13682
2020-07-20 12:15:00,46.9,48.15,46.7,47.7,61611
2020-07-20 13:15:00,47.65,48.05,47.1,47.4,24511
2020-07-20 14:15:00,47.5,47.65,47.15,47.2,21072
2020-07-20 15:15:00,47.2,47.2,46.65,47.0,27745
2020-07-21 09:15:00,47.15,48.25,45.5,47.75,191986
2020-07-21 10:15:00,47.75,48.25,47.65,48.0,40910
2020-07-21 11:15:00,47.85,48.0,47.35,47.4,21302
2020-07-21 12:15:00,47.4,47.95,47.4,47.7,10734
2020-07-21 13:15:00,47.7,47.9,47.45,47.9,12091
2020-07-21 14:15:00,47.8,48.2,47.75,48.05,67070
2020-07-21 15:15:00,48.05,48.5,48.0,48.15,49076
2020-07-22 09:15:00,48.15,48.4,46.6,47.25,105478
2020-07-22 10:15:00,47.2,47.6,47.1,47.45,25731
2020-07-22 11:15:00,47.5,47.85,47.3,47.4,28662
2020-07-22 12:15:00,47.5,47.85,47.2,47.2,25211
2020-07-22 13:15:00,47.15,47.2,46.7,46.85,26098
2020-07-22 14:15:00,46.9,47.5,46.7,47.3,40996
2020-07-22 15:15:00,47.25,47.35,46.65,47.0,40210
2020-07-23 09:15:00,48.0,48.6,47.75,48.05,136147
2020-07-23 10:15:00,48.1,48.5,48.0,48.1,34248
2020-07-23 11:15:00,48.1,48.25,48.0,48.05,16382
2020-07-23 12:15:00,48.1,48.25,47.95,48.05,18942
2020-07-23 13:15:00,48.05,49.8,47.9,48.9,200493
2020-07-23 14:15:00,48.9,50.9,48.8,50.5,309062
2020-07-23 15:15:00,50.5,52.4,49.35,50.4,686584
2020-07-24 09:15:00,49.6,50.25,48.8,49.0,275740
2020-07-24 10:15:00,49.0,49.3,48.55,49.2,53102
2020-07-24 11:15:00,49.0,49.3,48.8,48.8,22047
2020-07-24 12:15:00,48.85,51.15,48.75,49.7,317200
2020-07-24 13:15:00,49.65,49.75,49.1,49.45,60232
2020-07-24 14:15:00,49.4,50.2,49.2,49.25,82622
2020-07-24 15:15:00,49.25,49.4,48.2,48.4,93907
2020-07-27 09:15:00,48.75,48.8,47.5,48.25,61644
