Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,10.2,10.45,10.1,10.2,79474234
2020-07-02 10:15:00,10.25,10.25,9.9,9.95,42412993
2020-07-02 11:15:00,9.95,10.05,9.75,10.05,82780301
2020-07-02 12:15:00,10.0,10.1,10.0,10.05,21734933
2020-07-02 13:15:00,10.05,10.35,9.95,10.25,74067899
2020-07-02 14:15:00,10.2,10.25,9.95,10.0,44035980
2020-07-02 15:15:00,10.05,10.1,10.0,10.05,24041537
2020-07-03 09:15:00,10.1,10.2,9.85,9.95,75317588
2020-07-03 10:15:00,9.9,10.25,9.9,10.1,64966108
2020-07-03 11:15:00,10.1,10.1,10.0,10.1,16742966
2020-07-03 12:15:00,10.1,10.15,10.05,10.05,17140096
2020-07-03 13:15:00,10.1,10.15,9.95,10.1,39957822
2020-07-03 14:15:00,10.05,10.1,10.0,10.05,28540238
2020-07-03 15:15:00,10.05,10.05,10.0,10.0,18444876
2020-07-06 09:15:00,10.1,10.1,9.75,9.8,82644353
2020-07-06 10:15:00,9.8,10.0,9.75,9.85,35216162
2020-07-06 11:15:00,9.9,9.95,9.85,9.95,20077104
2020-07-06 12:15:00,9.95,9.95,9.8,9.9,16343627
2020-07-06 13:15:00,9.85,9.9,9.8,9.85,15771953
2020-07-06 14:15:00,9.85,9.9,9.8,9.8,21738717
2020-07-06 15:15:00,9.85,9.85,9.8,9.8,38716142
2020-07-07 09:15:00,9.8,9.85,9.6,9.7,64266224
2020-07-07 10:15:00,9.65,9.7,9.55,9.65,33095901
2020-07-07 11:15:00,9.6,9.65,9.55,9.55,25347222
2020-07-07 12:15:00,9.6,9.65,9.45,9.55,40010215
2020-07-07 13:15:00,9.55,9.65,9.5,9.65,23130263
2020-07-07 14:15:00,9.65,9.65,9.5,9.55,30281404
2020-07-07 15:15:00,9.55,9.6,9.55,9.55,24051887
2020-07-08 09:15:00,9.6,9.9,9.5,9.65,146253912
2020-07-08 10:15:00,9.65,9.75,9.6,9.7,29380893
2020-07-08 11:15:00,9.75,9.75,9.65,9.7,20839538
2020-07-08 12:15:00,9.7,9.75,9.65,9.75,15374129
2020-07-08 13:15:00,9.75,9.75,9.6,9.7,25336153
2020-07-08 14:15:00,9.7,9.7,9.15,9.25,171104422
2020-07-08 15:15:00,9.25,9.3,9.1,9.3,43059112
2020-07-09 09:15:00,9.25,9.5,9.0,9.3,189646656
2020-07-09 10:15:00,9.35,9.5,9.3,9.35,37546480
2020-07-09 11:15:00,9.35,9.35,9.25,9.3,16458337
2020-07-09 12:15:00,9.35,9.35,9.25,9.3,8858247
2020-07-09 13:15:00,9.3,9.4,9.25,9.35,15219870
