Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,79.5,80.5,79.4,80.0,304150
2020-07-02 10:15:00,80.0,81.15,79.0,79.4,501414
2020-07-02 11:15:00,79.4,80.0,79.2,79.7,103606
2020-07-02 12:15:00,79.8,80.4,79.7,80.4,196531
2020-07-02 13:15:00,80.4,80.95,80.0,80.2,176155
2020-07-02 14:15:00,80.1,80.35,79.2,79.3,225443
2020-07-02 15:15:00,79.3,79.5,79.2,79.35,96179
2020-07-03 09:15:00,79.95,80.15,79.0,79.4,205970
2020-07-03 10:15:00,79.55,79.8,79.35,79.5,51789
2020-07-03 11:15:00,79.4,80.5,79.25,80.2,129470
2020-07-03 12:15:00,80.15,80.75,79.9,80.55,198689
2020-07-03 13:15:00,80.5,80.8,80.2,80.5,342713
2020-07-03 14:15:00,80.45,80.5,80.0,80.4,116619
2020-07-03 15:15:00,80.4,80.4,80.1,80.3,60822
2020-07-06 09:15:00,81.35,82.0,80.6,81.2,322302
2020-07-06 10:15:00,81.2,81.55,80.85,81.4,159692
2020-07-06 11:15:00,81.3,81.45,80.85,81.05,181005
2020-07-06 12:15:00,81.05,81.1,80.3,80.3,206546
2020-07-06 13:15:00,80.2,80.5,80.15,80.4,159843
2020-07-06 14:15:00,80.45,82.4,80.4,81.35,663924
2020-07-06 15:15:00,81.4,81.6,81.2,81.4,122798
2020-07-07 09:15:00,83.7,85.8,83.0,85.3,2150662
2020-07-07 10:15:00,85.3,87.8,84.25,86.5,3471249
2020-07-07 11:15:00,86.5,86.7,84.7,85.3,1127811
2020-07-07 12:15:00,85.3,85.4,84.75,85.0,630313
2020-07-07 13:15:00,84.95,85.4,84.7,84.75,567777
2020-07-07 14:15:00,84.75,85.85,84.7,85.1,1248191
2020-07-07 15:15:00,85.15,85.25,84.55,85.05,405544
2020-07-08 09:15:00,86.35,86.75,85.1,86.7,1372476
2020-07-08 10:15:00,86.65,86.8,85.25,86.15,738151
2020-07-08 11:15:00,86.1,86.45,85.35,85.55,352259
2020-07-08 12:15:00,85.65,86.0,85.5,85.7,181418
2020-07-08 13:15:00,85.7,86.15,85.5,85.8,348725
2020-07-08 14:15:00,85.8,85.8,83.25,83.55,593039
2020-07-08 15:15:00,83.6,83.9,83.4,83.65,140798
2020-07-09 09:15:00,84.55,84.55,82.5,82.8,394066
2020-07-09 10:15:00,82.85,83.0,82.65,82.8,125774
2020-07-09 11:15:00,82.95,82.95,82.3,82.65,172534
2020-07-09 12:15:00,82.6,83.4,82.35,82.6,139313
2020-07-09 13:15:00,82.6,82.95,82.1,82.15,106066
2020-07-09 14:15:00,82.15,82.25,81.7,81.75,294878
2020-07-09 15:15:00,81.75,81.95,81.5,81.8,166415
2020-07-10 09:15:00,81.7,81.7,81.0,81.5,269701
2020-07-10 10:15:00,81.5,81.5,80.5,80.9,170341
2020-07-10 11:15:00,80.9,80.95,80.4,80.75,107089
2020-07-10 12:15:00,80.75,81.7,80.45,81.2,175319
2020-07-10 13:15:00,81.25,82.2,81.0,81.1,203786
2020-07-10 14:15:00,81.15,81.65,80.65,81.5,177062
2020-07-10 15:15:00,81.4,81.5,80.75,81.25,139827
2020-07-13 09:15:00,81.5,81.95,79.7,80.25,392350
2020-07-13 10:15:00,80.15,80.45,80.05,80.15,106538
2020-07-13 11:15:00,80.1,80.45,80.0,80.3,122183
2020-07-13 12:15:00,80.3,80.35,79.7,80.3,140701
2020-07-13 13:15:00,80.3,80.3,79.6,80.3,121244
2020-07-13 14:15:00,80.2,80.3,79.9,79.9,83236
2020-07-13 15:15:00,80.05,80.15,79.85,80.05,80824
2020-07-14 09:15:00,79.95,80.0,78.5,79.0,500024
2020-07-14 10:15:00,79.0,79.15,78.55,79.05,222037
2020-07-14 11:15:00,79.1,79.4,78.7,79.25,86248
2020-07-14 12:15:00,79.25,79.3,78.05,78.15,175551
2020-07-14 13:15:00,78.1,78.6,78.0,78.6,119503
2020-07-14 14:15:00,78.65,78.95,78.5,78.6,148720
2020-07-14 15:15:00,78.6,81.9,78.6,79.7,178082
2020-07-15 09:15:00,80.35,80.4,78.9,79.0,394505
2020-07-15 10:15:00,79.0,79.45,78.7,79.2,233092
2020-07-15 11:15:00,79.2,79.8,79.15,79.6,144785
2020-07-15 12:15:00,79.7,79.95,79.5,79.5,232635
2020-07-15 13:15:00,79.5,79.9,79.45,79.55,124036
2020-07-15 14:15:00,79.55,79.9,79.1,79.15,161250
2020-07-15 15:15:00,79.2,79.35,79.0,79.3,93455
2020-07-16 09:15:00,79.8,79.8,77.1,77.75,340222
2020-07-16 10:15:00,77.75,78.2,77.5,77.7,167033
2020-07-16 11:15:00,77.7,78.15,77.55,77.75,121267
2020-07-16 12:15:00,77.75,78.0,77.55,77.9,44785
2020-07-16 13:15:00,77.9,78.35,77.9,78.1,71803
2020-07-16 14:15:00,78.15,78.95,78.1,78.6,124044
2020-07-16 15:15:00,78.6,78.85,78.3,78.65,52985
2020-07-17 09:15:00,78.45,79.4,78.15,78.55,153619
2020-07-17 10:15:00,78.55,78.7,77.7,78.4,1081880
2020-07-17 11:15:00,78.35,79.1,78.25,78.85,1256830
2020-07-17 12:15:00,78.9,79.45,78.7,79.05,673530
2020-07-17 13:15:00,79.15,79.35,78.7,79.2,148978
2020-07-17 14:15:00,79.2,79.9,78.6,79.25,154992
2020-07-17 15:15:00,79.25,79.85,79.0,79.4,77462
2020-07-20 09:15:00,79.75,81.6,79.25,81.0,854291
2020-07-20 10:15:00,80.9,81.15,78.65,79.05,543011
2020-07-20 11:15:00,79.1,79.3,78.8,78.85,119673
2020-07-20 12:15:00,78.85,79.0,78.55,78.7,128674
2020-07-20 13:15:00,78.8,79.8,78.7,79.25,252760
2020-07-20 14:15:00,79.25,79.45,78.6,78.95,210018
2020-07-20 15:15:00,79.0,83.5,78.95,81.7,1186375
2020-07-21 09:15:00,83.8,84.5,82.05,82.2,1516649
2020-07-21 10:15:00,82.2,82.35,80.3,81.45,820896
2020-07-21 11:15:00,81.35,81.45,80.3,80.5,468051
2020-07-21 12:15:00,80.45,80.85,80.4,80.5,258531
2020-07-21 13:15:00,80.5,81.9,80.3,80.6,601816
2020-07-21 14:15:00,80.65,81.05,80.1,80.4,474039
2020-07-21 15:15:00,80.4,80.6,80.0,80.35,255089
2020-07-22 09:15:00,81.15,81.7,80.45,81.3,655842
2020-07-22 10:15:00,81.25,81.55,80.8,81.2,210034
2020-07-22 11:15:00,81.1,81.35,80.35,80.6,308213
2020-07-22 12:15:00,80.6,80.9,80.4,80.5,177961
2020-07-22 13:15:00,80.45,80.5,79.7,80.0,484902
2020-07-22 14:15:00,79.9,80.0,79.75,79.9,335489
2020-07-22 15:15:00,79.85,80.3,79.8,79.9,179643
2020-07-23 09:15:00,80.45,81.25,79.95,80.85,331476
2020-07-23 10:15:00,80.85,81.6,80.4,81.55,2100871
2020-07-23 11:15:00,81.6,81.95,81.15,81.6,523693
2020-07-23 12:15:00,81.65,82.5,81.25,81.6,322577
2020-07-23 13:15:00,81.75,81.85,81.5,81.5,112351
2020-07-23 14:15:00,81.55,81.65,81.05,81.4,288962
2020-07-23 15:15:00,81.4,81.5,81.3,81.35,106333
2020-07-24 09:15:00,81.65,81.9,80.2,80.5,295485
2020-07-24 10:15:00,80.5,80.6,79.4,79.55,310853
2020-07-24 11:15:00,79.55,80.0,79.55,79.9,185769
2020-07-24 12:15:00,80.0,80.05,79.55,79.6,158827
2020-07-24 13:15:00,79.55,79.65,79.0,79.2,386247
