Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,63.62,65.06,63.48,63.94,4124262
2020-07-02 10:15:00,63.94,63.94,63.15,63.66,2114719
2020-07-02 11:15:00,63.62,64.18,63.43,64.18,1359240
2020-07-02 12:15:00,64.18,64.27,63.66,64.27,1131330
2020-07-02 13:15:00,64.22,65.2,64.08,65.15,2931160
2020-07-02 14:15:00,65.2,65.2,64.18,64.22,2730911
2020-07-02 15:15:00,64.18,64.41,64.13,64.31,932986
2020-07-03 09:15:00,64.78,65.01,63.48,64.22,3366940
2020-07-03 10:15:00,64.22,64.22,63.29,63.48,1373486
2020-07-03 11:15:00,63.48,64.08,63.39,63.85,940693
2020-07-03 12:15:00,63.9,64.13,63.34,63.34,1099861
2020-07-03 13:15:00,63.34,63.48,62.27,62.64,2986269
2020-07-03 14:15:00,62.64,62.92,62.18,62.87,3696295
2020-07-03 15:15:00,62.87,63.2,62.83,62.87,1148582
2020-07-06 09:15:00,63.62,66.17,63.48,65.48,9141082
2020-07-06 10:15:00,65.48,65.62,64.78,65.01,3311505
2020-07-06 11:15:00,65.06,65.15,64.45,64.64,2211880
2020-07-06 12:15:00,64.64,65.15,64.64,64.92,1611693
2020-07-06 13:15:00,64.92,65.06,64.45,64.83,1201276
2020-07-06 14:15:00,64.87,65.2,64.64,65.06,2222427
2020-07-06 15:15:00,65.06,65.1,64.83,65.01,1171072
2020-07-07 09:15:00,65.2,65.29,63.94,65.24,3257549
2020-07-07 10:15:00,65.2,65.76,64.73,64.83,5718544
2020-07-07 11:15:00,64.87,65.48,64.41,65.34,2184679
2020-07-07 12:15:00,65.34,65.48,64.83,65.15,2784858
2020-07-07 13:15:00,65.15,66.45,64.78,66.45,5917048
2020-07-07 14:15:00,66.45,67.57,65.85,66.03,25407667
2020-07-07 15:15:00,66.13,66.5,66.03,66.27,3367532
2020-07-08 09:15:00,67.38,67.75,66.08,66.82,13873991
2020-07-08 10:15:00,66.82,69.47,66.78,68.5,24690299
2020-07-08 11:15:00,68.5,68.73,67.43,68.17,7561222
2020-07-08 12:15:00,68.26,68.87,67.89,68.59,6438412
2020-07-08 13:15:00,68.64,68.64,68.13,68.36,2517569
2020-07-08 14:15:00,68.36,68.54,65.66,66.03,9276296
2020-07-08 15:15:00,66.03,66.13,65.62,65.89,2347025
2020-07-09 09:15:00,66.5,67.57,66.5,66.68,7467204
2020-07-09 10:15:00,66.73,66.78,65.8,66.41,3964585
2020-07-09 11:15:00,66.41,66.5,65.29,65.34,3763708
2020-07-09 12:15:00,65.34,65.34,64.45,64.97,5394456
2020-07-09 13:15:00,64.97,65.24,64.69,65.2,2108647
2020-07-09 14:15:00,65.24,65.71,64.97,65.38,3924170
2020-07-09 15:15:00,65.34,65.48,65.2,65.29,1445168
2020-07-10 09:15:00,64.97,66.31,64.04,66.27,6497642
2020-07-10 10:15:00,66.22,66.45,64.59,64.64,4418828
2020-07-10 11:15:00,64.64,64.78,63.85,64.18,3739195
2020-07-10 12:15:00,64.18,64.64,63.66,64.31,2787167
2020-07-10 13:15:00,64.27,65.06,63.76,64.18,2506371
2020-07-10 14:15:00,64.13,64.5,63.76,64.31,2356684
2020-07-10 15:15:00,64.27,64.41,64.18,64.31,1212587
2020-07-13 09:15:00,65.01,65.34,63.85,63.99,4790955
2020-07-13 10:15:00,63.99,64.27,63.25,63.29,2535512
2020-07-13 11:15:00,63.34,63.76,63.11,63.39,2019823
2020-07-13 12:15:00,63.34,63.99,63.25,63.66,1412122
2020-07-13 13:15:00,63.62,63.66,63.01,63.43,1574016
2020-07-13 14:15:00,63.43,63.76,63.2,63.48,2116770
2020-07-13 15:15:00,63.48,63.57,63.29,63.43,1266887
2020-07-14 09:15:00,63.2,63.2,61.29,61.57,6501380
2020-07-14 10:15:00,61.57,61.57,59.3,59.67,8355727
2020-07-14 11:15:00,59.67,60.18,59.48,59.62,3205972
2020-07-14 12:15:00,59.57,59.76,59.02,59.06,3825158
2020-07-14 13:15:00,59.06,59.9,59.06,59.81,2872303
2020-07-14 14:15:00,59.85,59.99,59.39,59.76,4443644
2020-07-14 15:15:00,59.85,59.99,59.48,59.71,2403854
2020-07-15 09:15:00,60.32,61.29,59.11,59.34,9790222
2020-07-15 10:15:00,59.3,59.48,58.69,58.74,5930044
2020-07-15 11:15:00,58.78,59.06,58.41,58.46,4938435
2020-07-15 12:15:00,58.46,58.46,57.02,57.3,7833179
2020-07-15 13:15:00,57.3,57.95,57.25,57.53,4227549
2020-07-15 14:15:00,57.58,57.62,56.37,56.55,7163798
2020-07-15 15:15:00,56.6,56.65,56.18,56.55,3682247
2020-07-16 09:15:00,56.69,56.88,54.18,55.02,9019383
2020-07-16 10:15:00,54.97,55.35,54.65,55.3,2757927
2020-07-16 11:15:00,55.3,55.95,55.21,55.35,3635837
2020-07-16 12:15:00,55.35,56.18,55.3,55.62,1980300
2020-07-16 13:15:00,55.67,56.23,55.62,55.95,2355226
2020-07-16 14:15:00,55.95,56.46,55.21,55.49,5260137
2020-07-16 15:15:00,55.53,55.76,55.3,55.53,1728224
2020-07-17 09:15:00,55.44,57.16,54.46,56.79,9057843
2020-07-17 10:15:00,56.79,56.79,56.41,56.55,1694392
2020-07-17 11:15:00,56.55,57.07,56.41,56.83,1738305
2020-07-17 12:15:00,56.88,57.16,56.69,56.88,1930703
2020-07-17 13:15:00,56.88,56.97,56.69,56.97,838033
2020-07-17 14:15:00,56.97,57.44,56.79,57.3,2768269
2020-07-17 15:15:00,57.2,57.48,57.2,57.3,1752625
2020-07-20 09:15:00,57.99,58.37,57.34,58.23,5641157
2020-07-20 10:15:00,58.23,58.51,57.76,57.9,2454732
2020-07-20 11:15:00,57.95,58.18,57.67,58.13,1304346
2020-07-20 12:15:00,58.18,58.23,57.95,58.04,938063
2020-07-20 13:15:00,58.09,58.23,57.9,58.09,1029964
2020-07-20 14:15:00,58.04,58.32,57.95,58.18,1631181
2020-07-20 15:15:00,58.23,58.32,57.86,58.09,1125309
2020-07-21 09:15:00,58.74,59.02,58.41,58.41,3083612
2020-07-21 10:15:00,58.41,58.51,58.27,58.46,865440
2020-07-21 11:15:00,58.46,58.55,58.27,58.41,753978
2020-07-21 12:15:00,58.37,58.65,58.37,58.46,698208
2020-07-21 13:15:00,58.41,58.46,58.09,58.18,938468
2020-07-21 14:15:00,58.18,58.37,58.09,58.23,1246224
2020-07-21 15:15:00,58.23,58.41,58.13,58.23,944979
2020-07-22 09:15:00,58.55,58.55,57.07,57.48,2621461
2020-07-22 10:15:00,57.48,58.32,57.34,58.23,1293691
2020-07-22 11:15:00,58.27,58.37,57.95,58.04,949860
2020-07-22 12:15:00,58.04,58.74,57.99,58.27,1615420
2020-07-22 13:15:00,58.27,58.27,57.81,57.9,1052766
2020-07-22 14:15:00,57.9,58.04,57.25,57.95,1567513
2020-07-22 15:15:00,57.99,58.27,57.81,57.99,639208
2020-07-23 09:15:00,57.62,58.32,57.44,57.86,1816833
2020-07-23 10:15:00,57.9,57.95,57.76,57.86,735608
2020-07-23 11:15:00,57.86,57.9,57.72,57.86,508792
2020-07-23 12:15:00,57.86,57.9,57.53,57.72,717596
2020-07-23 13:15:00,57.76,57.81,57.34,57.58,825269
2020-07-23 14:15:00,57.53,57.72,57.25,57.62,1370217
2020-07-23 15:15:00,57.67,57.76,57.44,57.58,817296
2020-07-24 09:15:00,56.93,57.25,56.51,56.97,2018575
2020-07-24 10:15:00,57.02,57.02,56.6,56.69,1448529
2020-07-24 11:15:00,56.74,56.88,56.41,56.55,698134
2020-07-24 12:15:00,56.51,56.65,56.23,56.51,1222345
2020-07-24 13:15:00,56.55,56.88,56.51,56.88,652504
2020-07-24 14:15:00,56.88,56.88,56.51,56.83,1281784
2020-07-24 15:15:00,56.88,57.02,56.74,57.02,924859
2020-07-27 09:15:00,57.16,57.25,54.56,55.11,5239703
2020-07-27 10:15:00,55.11,55.81,54.93,55.44,1768781
2020-07-27 11:15:00,55.39,55.58,54.88,55.07,1888958
2020-07-27 12:15:00,55.07,55.3,54.83,55.02,1694532
2020-07-27 13:15:00,55.02,55.35,54.65,55.21,1364808
2020-07-27 14:15:00,55.16,55.25,54.83,54.93,1357410
2020-07-27 15:15:00,54.93,55.16,54.83,54.97,1010286
2020-07-28 09:15:00,54.6,56.09,54.56,55.16,4062109
2020-07-28 10:15:00,55.21,55.53,55.02,55.35,1098428
2020-07-28 11:15:00,55.35,56.18,55.35,55.81,1966515
2020-07-28 12:15:00,55.86,56.14,55.67,55.72,1097226
2020-07-28 13:15:00,55.72,55.76,55.49,55.72,830700
2020-07-28 14:15:00,55.62,56.51,55.53,56.32,1898677
2020-07-28 15:15:00,56.37,56.46,56.18,56.37,575991
2020-07-29 09:15:00,56.37,57.76,56.14,57.72,3599208
2020-07-29 10:15:00,57.81,58.78,57.44,58.41,5007700
2020-07-29 11:15:00,58.46,59.2,58.41,58.6,3337640
2020-07-29 12:15:00,58.65,58.97,58.13,58.41,1593458
2020-07-29 13:15:00,58.41,58.55,57.9,57.95,1838213
2020-07-29 14:15:00,57.9,58.13,57.34,57.99,2180126
2020-07-29 15:15:00,57.95,57.95,57.62,57.86,858601
2020-07-30 09:15:00,57.95,58.37,57.02,57.25,2383418
2020-07-30 10:15:00,57.2,57.3,56.37,56.74,1621392
2020-07-30 11:15:00,56.69,56.79,56.23,56.32,1329510
2020-07-30 12:15:00,56.37,56.41,55.67,55.86,1854833
2020-07-30 13:15:00,55.86,56.23,55.49,55.62,2019880
2020-07-30 14:15:00,55.62,56.09,55.39,55.95,1855627
2020-07-30 15:15:00,55.9,56.0,55.53,55.86,1109602
2020-07-31 09:15:00,55.9,56.14,54.97,55.35,2593947
2020-07-31 10:15:00,55.3,55.62,55.02,55.25,1234026
2020-07-31 11:15:00,55.25,55.44,55.02,55.3,723224
2020-07-31 12:15:00,55.3,56.14,55.21,56.04,1256263
2020-07-31 13:15:00,56.09,56.09,55.39,55.9,831864
2020-07-31 14:15:00,55.9,56.04,55.49,55.72,1160562
2020-07-31 15:15:00,55.72,55.86,55.67,55.76,679814
2020-08-03 09:15:00,55.53,56.32,55.16,55.58,1912596
2020-08-03 10:15:00,55.58,56.09,55.44,55.49,992624
2020-08-03 11:15:00,55.49,55.95,55.21,55.86,1247859
2020-08-03 12:15:00,55.81,55.86,55.39,55.76,889184
2020-08-03 13:15:00,55.72,56.23,55.67,55.86,1354286
2020-08-03 14:15:00,55.86,56.04,55.21,55.44,1566540
2020-08-03 15:15:00,55.35,55.53,55.25,55.35,599201
2020-08-04 09:15:00,55.53,56.0,55.07,55.58,1978695
2020-08-04 10:15:00,55.58,56.14,55.53,55.81,1254453
2020-08-04 11:15:00,55.81,56.65,55.81,56.6,1534874
2020-08-04 12:15:00,56.6,56.69,56.04,56.37,1260645
2020-08-04 13:15:00,56.37,56.51,56.04,56.23,733963
2020-08-04 14:15:00,56.23,56.41,56.09,56.18,893750
2020-08-04 15:15:00,56.18,56.55,56.14,56.32,994463
2020-08-05 09:15:00,56.46,57.81,56.46,57.39,2827680
2020-08-05 10:15:00,57.39,57.48,57.07,57.25,867967
2020-08-05 11:15:00,57.3,57.3,56.14,56.55,1829026
2020-08-05 12:15:00,56.51,57.07,56.51,56.74,952459
2020-08-05 13:15:00,56.69,56.88,56.37,56.74,659446
2020-08-05 14:15:00,56.79,56.88,56.51,56.79,697692
2020-08-05 15:15:00,56.74,57.07,56.69,56.79,607185
2020-08-06 09:15:00,56.88,57.53,56.83,57.16,1514533
2020-08-06 10:15:00,57.16,57.53,56.88,57.39,6624160
2020-08-06 11:15:00,57.34,57.53,57.11,57.44,1174700
2020-08-06 12:15:00,57.39,58.74,57.34,58.27,6897147
2020-08-06 13:15:00,58.27,58.32,57.81,57.99,1962426
2020-08-06 14:15:00,57.99,58.04,57.58,57.72,1949081
2020-08-06 15:15:00,57.81,57.9,57.62,57.76,871610
2020-08-07 09:15:00,57.9,58.6,57.81,58.18,2382780
2020-08-07 10:15:00,58.23,58.23,57.2,57.48,1899959
2020-08-07 11:15:00,57.48,58.09,57.44,57.99,1250298
2020-08-07 12:15:00,57.99,58.18,57.48,57.53,1066537
2020-08-07 13:15:00,57.58,58.88,57.53,58.6,4594298
2020-08-07 14:15:00,58.6,59.2,58.37,58.92,4620414
2020-08-07 15:15:00,58.92,59.06,58.88,58.97,1171177
2020-08-10 09:15:00,59.3,59.71,58.65,58.92,2653621
2020-08-10 10:15:00,58.92,59.2,58.69,59.11,1041931
2020-08-10 11:15:00,59.11,59.25,58.97,59.11,785097
2020-08-10 12:15:00,59.16,59.16,58.74,59.02,811957
2020-08-10 13:15:00,59.06,59.44,58.83,58.92,1098900
2020-08-10 14:15:00,58.92,59.3,58.88,59.25,942941
2020-08-10 15:15:00,59.25,59.3,59.16,59.2,646224
2020-08-11 09:15:00,59.76,60.18,59.34,59.67,2981765
2020-08-11 10:15:00,59.67,59.76,59.25,59.3,1453196
2020-08-11 11:15:00,59.3,59.67,59.02,59.53,1186027
2020-08-11 12:15:00,59.57,59.71,59.39,59.48,764591
2020-08-11 13:15:00,59.48,59.62,59.34,59.48,503915
2020-08-11 14:15:00,59.48,59.85,59.39,59.53,1193558
2020-08-11 15:15:00,59.53,59.57,59.39,59.48,722668
2020-08-12 09:15:00,59.39,59.95,58.74,59.3,2539524
2020-08-12 10:15:00,59.25,59.57,59.25,59.53,657653
2020-08-12 11:15:00,59.48,59.9,59.39,59.44,856655
2020-08-12 12:15:00,59.44,59.62,59.34,59.53,430137
2020-08-12 13:15:00,59.53,59.62,59.11,59.44,698243
2020-08-12 14:15:00,59.48,60.83,59.39,60.64,5741685
2020-08-12 15:15:00,60.64,60.92,60.64,60.69,1458619
2020-08-13 09:15:00,61.25,61.53,60.6,61.25,4006091
2020-08-13 10:15:00,61.15,61.25,60.74,60.74,1416859
2020-08-13 11:15:00,60.78,61.06,60.41,60.69,1348518
2020-08-13 12:15:00,60.69,61.67,60.41,61.29,2890938
