Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,11.25,11.4,11.2,11.25,615714
2020-07-02 10:15:00,11.25,11.25,11.1,11.2,447462
2020-07-02 11:15:00,11.2,11.35,11.15,11.3,654146
2020-07-02 12:15:00,11.25,11.3,11.2,11.25,277729
2020-07-02 13:15:00,11.2,11.3,11.15,11.25,156609
2020-07-02 14:15:00,11.25,11.3,11.1,11.15,391528
2020-07-02 15:15:00,11.15,11.15,11.05,11.1,264959
2020-07-03 09:15:00,11.25,11.25,11.0,11.05,628264
2020-07-03 10:15:00,11.05,11.1,10.95,11.05,246026
2020-07-03 11:15:00,11.0,11.05,10.95,11.0,225611
2020-07-03 12:15:00,11.05,11.05,10.9,10.9,239843
2020-07-03 13:15:00,10.95,11.0,10.9,10.95,149857
2020-07-03 14:15:00,10.95,11.0,10.9,10.9,274098
2020-07-03 15:15:00,10.95,10.95,10.9,10.9,223012
2020-07-06 09:15:00,11.0,11.05,10.8,10.9,678115
2020-07-06 10:15:00,10.9,10.95,10.85,10.9,226755
2020-07-06 11:15:00,10.9,10.9,10.8,10.85,148476
2020-07-06 12:15:00,10.85,10.9,10.8,10.85,228290
2020-07-06 13:15:00,10.85,10.9,10.8,10.85,115057
2020-07-06 14:15:00,10.9,10.9,10.8,10.9,219152
2020-07-06 15:15:00,10.9,10.9,10.8,10.85,177379
2020-07-07 09:15:00,10.9,10.9,10.7,10.7,396949
2020-07-07 10:15:00,10.75,10.8,10.65,10.7,315987
2020-07-07 11:15:00,10.7,10.7,10.65,10.7,109276
2020-07-07 12:15:00,10.7,10.85,10.7,10.85,240229
2020-07-07 13:15:00,10.85,11.25,10.75,10.95,1981443
2020-07-07 14:15:00,10.95,11.0,10.85,10.9,533073
2020-07-07 15:15:00,10.9,10.95,10.85,10.9,181469
2020-07-08 09:15:00,11.05,12.25,11.0,12.05,10083792
2020-07-08 10:15:00,12.0,12.05,11.8,11.85,2998498
2020-07-08 11:15:00,11.85,12.0,11.8,11.95,1480130
2020-07-08 12:15:00,11.95,12.0,11.9,11.95,982677
2020-07-08 13:15:00,11.95,12.0,11.8,11.85,1266838
2020-07-08 14:15:00,11.9,11.9,11.4,11.55,2393431
2020-07-08 15:15:00,11.5,11.6,11.45,11.55,713023
2020-07-09 09:15:00,11.8,12.0,11.75,11.85,1696018
2020-07-09 10:15:00,11.8,11.9,11.75,11.85,497609
2020-07-09 11:15:00,11.85,11.85,11.75,11.75,251944
2020-07-09 12:15:00,11.8,11.8,11.6,11.6,239997
2020-07-09 13:15:00,11.65,11.7,11.6,11.65,251877
2020-07-09 14:15:00,11.6,11.7,11.6,11.65,306132
2020-07-09 15:15:00,11.7,11.8,11.65,11.7,449268
2020-07-10 09:15:00,11.6,11.6,11.4,11.55,583757
2020-07-10 10:15:00,11.5,11.5,11.3,11.3,456221
2020-07-10 11:15:00,11.35,11.35,11.3,11.35,169566
