Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,544.0,544.0,527.1,528.4,125429
2020-07-02 10:15:00,528.7,528.95,525.0,527.6,87292
2020-07-02 11:15:00,527.6,535.65,527.0,535.65,93965
2020-07-02 12:15:00,535.7,537.0,531.5,535.95,85741
2020-07-02 13:15:00,535.75,538.85,535.4,537.75,81680
2020-07-02 14:15:00,537.7,545.0,535.35,544.3,255455
2020-07-02 15:15:00,544.6,549.3,541.0,545.45,95679
2020-07-03 09:15:00,541.0,548.55,535.6,547.1,151392
2020-07-03 10:15:00,547.5,556.9,545.85,554.0,234819
2020-07-03 11:15:00,554.1,562.35,553.05,558.55,156848
2020-07-03 12:15:00,558.65,560.8,557.2,557.25,81081
2020-07-03 13:15:00,557.5,558.2,555.35,556.75,91179
2020-07-03 14:15:00,556.4,557.1,552.6,555.5,133995
2020-07-03 15:15:00,554.6,557.5,553.05,554.95,81238
2020-07-06 09:15:00,561.0,565.95,555.6,562.0,210254
2020-07-06 10:15:00,562.0,566.95,559.75,564.7,109462
2020-07-06 11:15:00,565.0,566.0,561.85,562.7,171296
2020-07-06 12:15:00,562.5,563.9,561.8,563.3,82766
2020-07-06 13:15:00,563.0,563.4,560.5,562.4,88127
2020-07-06 14:15:00,562.35,562.95,558.55,559.55,226358
2020-07-06 15:15:00,560.0,561.6,556.05,559.95,236687
2020-07-07 09:15:00,561.0,570.0,559.0,569.05,256610
2020-07-07 10:15:00,569.0,573.8,561.3,562.0,378058
2020-07-07 11:15:00,562.0,563.6,556.0,558.6,975068
2020-07-07 12:15:00,558.8,563.8,554.3,558.1,436065
2020-07-07 13:15:00,557.9,559.9,555.8,557.85,70962
2020-07-07 14:15:00,557.7,562.0,557.65,559.2,110912
2020-07-07 15:15:00,559.1,561.9,556.0,559.3,96369
2020-07-08 09:15:00,560.0,560.35,551.5,553.5,177034
2020-07-08 10:15:00,553.35,557.7,551.0,553.5,374155
2020-07-08 11:15:00,553.6,554.85,545.7,549.0,114457
2020-07-08 12:15:00,550.0,555.3,548.1,549.0,118978
2020-07-08 13:15:00,549.3,552.5,547.0,547.8,57679
2020-07-08 14:15:00,547.8,549.2,545.1,548.45,86572
2020-07-08 15:15:00,548.45,548.95,545.75,547.1,55067
2020-07-09 09:15:00,547.0,562.5,547.0,558.6,214981
2020-07-09 10:15:00,558.05,560.25,550.05,554.1,118507
2020-07-09 11:15:00,554.1,557.15,553.0,553.55,37654
2020-07-09 12:15:00,553.95,556.6,552.0,552.0,45292
2020-07-09 13:15:00,552.0,560.6,551.75,558.1,101842
2020-07-09 14:15:00,558.8,565.3,557.8,558.4,365973
2020-07-09 15:15:00,558.15,561.7,558.1,560.1,68185
2020-07-10 09:15:00,568.0,576.8,560.7,569.9,608962
2020-07-10 10:15:00,569.9,569.9,561.65,562.25,150567
2020-07-10 11:15:00,562.3,563.0,556.05,557.35,137687
2020-07-10 12:15:00,557.25,563.4,553.0,560.1,98391
2020-07-10 13:15:00,560.3,562.0,557.1,558.05,67274
2020-07-10 14:15:00,558.25,564.3,558.0,562.7,98614
2020-07-10 15:15:00,562.7,563.0,558.2,561.75,95971
2020-07-13 09:15:00,559.0,565.8,550.5,553.1,204388
2020-07-13 10:15:00,553.1,561.05,552.55,556.1,102426
2020-07-13 11:15:00,556.1,559.0,554.0,556.0,62856
2020-07-13 12:15:00,555.75,560.0,552.05,554.15,107329
2020-07-13 13:15:00,554.15,558.0,552.05,557.3,41050
2020-07-13 14:15:00,557.15,561.65,556.0,561.5,111681
2020-07-13 15:15:00,561.45,562.85,558.05,560.5,52744
2020-07-14 09:15:00,555.0,559.7,548.85,558.15,177225
2020-07-14 10:15:00,558.05,558.15,552.0,553.0,79573
2020-07-14 11:15:00,552.5,554.05,548.0,550.05,100490
2020-07-14 12:15:00,550.5,551.95,545.75,546.3,49006
2020-07-14 13:15:00,546.95,553.8,546.65,553.15,48523
2020-07-14 14:15:00,553.7,557.1,551.2,554.8,58730
2020-07-14 15:15:00,554.8,555.75,548.35,553.9,29383
2020-07-15 09:15:00,556.8,557.75,536.25,539.2,623631
2020-07-15 10:15:00,539.25,549.35,538.3,548.0,158205
2020-07-15 11:15:00,548.95,549.55,541.3,544.45,116673
2020-07-15 12:15:00,544.4,548.0,542.9,544.4,53421
2020-07-15 13:15:00,544.45,544.5,537.8,539.8,101493
2020-07-15 14:15:00,539.9,540.95,531.55,535.25,524699
2020-07-15 15:15:00,535.5,536.9,531.3,534.75,65072
2020-07-16 09:15:00,537.4,547.5,529.15,542.5,835820
2020-07-16 10:15:00,542.5,549.8,541.85,549.4,415074
2020-07-16 11:15:00,549.05,562.95,549.0,555.65,489470
2020-07-16 12:15:00,555.6,568.2,555.6,566.1,326472
2020-07-16 13:15:00,566.1,582.0,565.5,578.65,560508
2020-07-16 14:15:00,578.6,586.9,572.05,580.95,904618
2020-07-16 15:15:00,580.95,587.0,578.05,580.9,223674
2020-07-17 09:15:00,578.0,578.0,565.0,568.65,566995
2020-07-17 10:15:00,568.6,573.4,567.9,569.95,130395
2020-07-17 11:15:00,569.55,572.25,566.7,568.6,78956
2020-07-17 12:15:00,568.65,569.8,565.3,568.05,82134
2020-07-17 13:15:00,568.05,575.6,566.2,571.8,115686
2020-07-17 14:15:00,571.6,581.85,567.0,574.35,213214
2020-07-17 15:15:00,574.65,577.65,572.6,574.75,67779
2020-07-20 09:15:00,580.0,580.65,569.5,571.4,125369
2020-07-20 10:15:00,571.4,576.4,571.4,574.5,75120
2020-07-20 11:15:00,575.0,576.2,571.0,574.8,42194
2020-07-20 12:15:00,574.8,575.1,562.4,565.2,157364
2020-07-20 13:15:00,565.2,569.4,563.35,567.45,154609
2020-07-20 14:15:00,567.0,569.8,565.65,569.25,112673
2020-07-20 15:15:00,569.95,570.65,568.3,569.15,45625
2020-07-21 09:15:00,572.0,577.85,568.2,568.55,187001
2020-07-21 10:15:00,568.5,570.0,561.05,561.6,84579
2020-07-21 11:15:00,561.75,568.55,561.15,568.0,61957
2020-07-21 12:15:00,568.1,571.15,566.05,570.45,76822
2020-07-21 13:15:00,570.5,570.5,562.25,564.8,64187
2020-07-21 14:15:00,564.85,569.45,560.15,568.9,82605
2020-07-21 15:15:00,568.8,572.9,566.65,568.0,46685
2020-07-22 09:15:00,570.8,584.8,564.7,581.8,239610
2020-07-22 10:15:00,581.55,594.0,580.7,583.3,484946
2020-07-22 11:15:00,583.3,583.3,570.15,573.9,225279
2020-07-22 12:15:00,573.9,575.7,565.45,566.35,119242
2020-07-22 13:15:00,566.4,566.4,560.0,560.8,128116
2020-07-22 14:15:00,560.6,568.5,548.55,566.3,362693
2020-07-22 15:15:00,566.5,567.9,563.6,565.9,67403
2020-07-23 09:15:00,565.0,579.8,564.55,573.0,267543
2020-07-23 10:15:00,573.35,577.45,570.75,574.15,390088
2020-07-23 11:15:00,574.75,574.9,566.05,569.05,61079
2020-07-23 12:15:00,569.0,569.75,566.75,569.3,25229
2020-07-23 13:15:00,569.0,572.7,568.85,571.35,36128
2020-07-23 14:15:00,571.45,571.45,561.65,570.0,208428
2020-07-23 15:15:00,570.2,574.0,567.8,570.1,65300
2020-07-24 09:15:00,568.3,582.3,568.3,572.65,401785
2020-07-24 10:15:00,572.95,573.0,557.3,562.5,181071
2020-07-24 11:15:00,562.55,567.5,562.3,563.9,64703
2020-07-24 12:15:00,564.0,566.25,559.35,565.35,226283
2020-07-24 13:15:00,565.05,566.75,563.1,566.25,48053
2020-07-24 14:15:00,566.6,566.6,559.5,561.4,81908
2020-07-24 15:15:00,561.35,564.5,559.55,562.95,78443
2020-07-27 09:15:00,564.2,568.85,554.0,558.85,264172
2020-07-27 10:15:00,558.85,562.7,556.45,557.5,210549
2020-07-27 11:15:00,557.1,557.4,552.25,555.3,51483
2020-07-27 12:15:00,555.35,557.9,551.0,551.4,51045
2020-07-27 13:15:00,551.45,553.0,549.1,552.4,66268
2020-07-27 14:15:00,552.65,553.1,550.15,552.25,87486
2020-07-27 15:15:00,552.75,557.0,552.15,554.05,66918
2020-07-28 09:15:00,557.5,568.75,556.35,561.05,450849
2020-07-28 10:15:00,561.55,562.95,558.0,559.2,71494
2020-07-28 11:15:00,559.5,561.0,557.35,560.5,281310
2020-07-28 12:15:00,560.5,571.05,560.5,569.2,229835
2020-07-28 13:15:00,569.35,575.2,568.75,574.4,196566
2020-07-28 14:15:00,574.4,575.0,568.75,569.95,106387
2020-07-28 15:15:00,569.9,569.9,563.85,565.25,48604
2020-07-29 09:15:00,569.8,570.75,560.5,563.9,117213
2020-07-29 10:15:00,563.5,564.7,559.0,564.15,29909
2020-07-29 11:15:00,564.25,573.0,564.25,568.75,119319
2020-07-29 12:15:00,569.3,569.45,562.35,564.0,32920
2020-07-29 13:15:00,564.0,566.65,562.55,562.8,32256
2020-07-29 14:15:00,563.3,565.6,558.0,562.5,130856
2020-07-29 15:15:00,561.5,563.75,559.6,562.3,34363
2020-07-30 09:15:00,567.0,569.0,561.85,567.05,87244
2020-07-30 10:15:00,568.6,577.5,566.5,567.9,214210
2020-07-30 11:15:00,568.0,577.0,567.7,569.35,96642
2020-07-30 12:15:00,569.85,571.8,558.4,558.75,122070
2020-07-30 13:15:00,559.2,559.4,552.0,555.65,147893
2020-07-30 14:15:00,555.1,569.95,546.0,568.85,465954
2020-07-30 15:15:00,568.4,568.4,555.7,562.6,163790
2020-07-31 09:15:00,560.35,560.35,538.1,547.0,412811
2020-07-31 10:15:00,547.0,554.5,546.0,552.8,77251
2020-07-31 11:15:00,552.85,561.95,552.65,560.8,158278
2020-07-31 12:15:00,560.85,565.9,559.15,561.4,134657
2020-07-31 13:15:00,561.5,561.6,554.4,559.45,118317
2020-07-31 14:15:00,559.0,561.5,555.0,559.3,79984
2020-07-31 15:15:00,559.85,559.85,556.2,558.4,75261
2020-08-03 09:15:00,559.0,559.8,550.65,553.85,116598
2020-08-03 10:15:00,553.75,560.6,551.0,551.0,62278
2020-08-03 11:15:00,551.1,553.0,548.05,548.5,60760
2020-08-03 12:15:00,548.95,550.8,545.6,546.5,33249
2020-08-03 13:15:00,546.65,550.15,544.8,545.75,41508
2020-08-03 14:15:00,546.0,548.8,540.25,543.85,94017
