Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,54.22,55.16,54.05,54.99,5863221
2020-07-02 10:15:00,55.05,55.52,54.88,55.08,5719122
2020-07-02 11:15:00,55.08,55.24,54.91,54.99,1821094
2020-07-02 12:15:00,54.99,56.43,54.8,56.13,5899917
2020-07-02 13:15:00,56.13,56.93,55.85,56.65,9798957
2020-07-02 14:15:00,56.65,57.65,56.32,57.34,11173629
2020-07-02 15:15:00,57.32,57.73,57.15,57.37,3628249
2020-07-03 09:15:00,55.02,55.68,52.14,54.63,54903770
2020-07-03 10:15:00,54.63,54.85,53.94,54.47,10663374
2020-07-03 11:15:00,54.47,54.74,54.19,54.69,5095185
2020-07-03 12:15:00,54.69,54.69,54.0,54.02,3227019
2020-07-03 13:15:00,54.02,54.44,53.69,54.24,6516081
2020-07-03 14:15:00,54.27,54.74,54.24,54.44,6482937
2020-07-03 15:15:00,54.44,54.47,53.91,54.3,3046655
2020-07-06 09:15:00,54.8,56.38,54.24,55.13,10169927
2020-07-06 10:15:00,55.13,55.35,54.96,55.21,2838940
2020-07-06 11:15:00,55.21,55.3,54.85,55.16,2908357
2020-07-06 12:15:00,55.13,55.46,55.05,55.32,2507866
2020-07-06 13:15:00,55.3,55.38,54.77,54.96,2506637
2020-07-06 14:15:00,54.96,55.13,54.88,54.88,1841146
2020-07-06 15:15:00,54.88,54.94,54.69,54.85,1368832
2020-07-07 09:15:00,54.85,54.85,53.66,54.11,6020649
2020-07-07 10:15:00,54.13,54.44,53.72,53.89,1944295
2020-07-07 11:15:00,53.86,54.11,53.55,54.05,1657093
2020-07-07 12:15:00,54.05,54.24,53.91,54.22,1435292
2020-07-07 13:15:00,54.19,54.52,54.08,54.49,1455142
2020-07-07 14:15:00,54.47,54.8,54.33,54.58,2429310
2020-07-07 15:15:00,54.55,54.77,54.55,54.63,932068
2020-07-08 09:15:00,54.63,54.94,54.11,54.19,3142243
2020-07-08 10:15:00,54.19,54.38,54.13,54.22,902531
2020-07-08 11:15:00,54.24,54.33,54.13,54.24,709681
2020-07-08 12:15:00,54.24,54.27,54.11,54.13,678527
2020-07-08 13:15:00,54.16,54.24,54.11,54.19,594667
2020-07-08 14:15:00,54.16,54.24,53.41,53.53,2425655
2020-07-08 15:15:00,53.5,53.55,53.3,53.47,834747
2020-07-09 09:15:00,53.72,54.33,53.53,53.61,1848241
2020-07-09 10:15:00,53.61,53.83,53.36,53.58,970249
2020-07-09 11:15:00,53.58,53.97,53.5,53.97,1113527
2020-07-09 12:15:00,53.97,53.97,53.44,53.61,997224
2020-07-09 13:15:00,53.58,54.11,53.44,53.97,1304353
2020-07-09 14:15:00,53.97,54.41,53.8,54.05,2674324
2020-07-09 15:15:00,54.05,54.22,54.0,54.05,650816
2020-07-10 09:15:00,54.22,54.8,53.8,54.47,2637214
