Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,58.07,58.28,57.54,57.71,1300863
2020-07-02 10:15:00,57.71,57.85,57.33,57.61,545376
2020-07-02 11:15:00,57.57,58.03,57.5,57.93,459831
2020-07-02 12:15:00,57.93,58.21,57.85,57.93,411422
2020-07-02 13:15:00,57.93,58.1,57.85,57.93,491130
2020-07-02 14:15:00,57.96,57.96,57.54,57.64,850080
2020-07-02 15:15:00,57.64,58.03,57.5,57.68,661403
2020-07-03 09:15:00,57.96,58.38,57.4,57.75,830515
2020-07-03 10:15:00,57.71,58.42,57.68,58.31,933398
2020-07-03 11:15:00,58.35,58.56,58.14,58.21,694795
2020-07-03 12:15:00,58.21,58.38,58.03,58.21,465098
2020-07-03 13:15:00,58.14,58.42,58.14,58.24,412890
2020-07-03 14:15:00,58.24,58.31,58.14,58.24,618570
2020-07-03 15:15:00,58.21,58.35,58.17,58.24,549145
2020-07-06 09:15:00,58.67,59.55,58.6,59.48,1195335
2020-07-06 10:15:00,59.44,59.69,58.84,58.95,801982
2020-07-06 11:15:00,58.95,59.58,58.95,59.34,462943
2020-07-06 12:15:00,59.3,59.76,59.27,59.48,582695
2020-07-06 13:15:00,59.48,59.48,58.95,59.05,417590
2020-07-06 14:15:00,59.05,60.5,58.88,60.01,2020626
2020-07-06 15:15:00,59.97,60.36,59.79,59.97,653516
2020-07-07 09:15:00,60.5,60.54,59.44,59.9,1535319
2020-07-07 10:15:00,59.9,59.9,58.24,58.42,1292305
2020-07-07 11:15:00,58.38,58.77,58.17,58.56,954394
2020-07-07 12:15:00,58.56,58.74,58.42,58.56,578707
2020-07-07 13:15:00,58.49,58.6,58.21,58.45,650998
2020-07-07 14:15:00,58.42,58.56,58.35,58.35,827673
2020-07-07 15:15:00,58.35,58.45,58.21,58.35,499124
2020-07-08 09:15:00,58.91,58.91,57.93,58.14,2077727
2020-07-08 10:15:00,58.17,59.69,58.14,59.58,2303995
2020-07-08 11:15:00,59.58,59.94,58.81,59.9,2973201
2020-07-08 12:15:00,59.83,60.99,59.55,60.32,3246089
