Datetime,Open,High,Low,Close,Volume
2021-11-10 09:15:00,336.33,354.83,335.0,341.67,16071495
2021-11-10 10:15:00,341.87,343.43,333.33,337.6,5258353
2021-11-10 11:15:00,337.55,370.83,336.83,366.5,6097899
2021-11-10 12:15:00,366.35,372.5,359.13,366.83,2652523
2021-11-10 13:15:00,366.83,374.17,363.34,373.24,1391472
2021-11-10 14:15:00,373.41,374.67,363.77,367.89,1984425
2021-11-10 15:15:00,367.83,369.13,366.67,367.63,867795
2021-11-11 09:15:00,368.95,373.15,340.63,352.03,2711693
2021-11-11 10:15:00,352.23,357.32,350.83,353.05,655088
2021-11-11 11:15:00,353.04,358.46,352.53,356.98,493702
2021-11-11 12:15:00,357.0,365.83,355.63,364.03,843411
2021-11-11 13:15:00,364.03,367.45,360.25,364.83,677880
2021-11-11 14:15:00,364.87,373.45,364.03,365.18,1350506
2021-11-11 15:15:00,365.0,372.99,364.81,368.93,456770
2021-11-12 09:15:00,374.67,377.32,363.39,369.92,911691
2021-11-12 10:15:00,369.8,374.54,367.83,374.18,343930
2021-11-12 11:15:00,374.17,391.52,373.49,386.28,1653594
2021-11-12 12:15:00,386.28,392.33,383.43,389.97,741945
2021-11-12 13:15:00,390.23,395.73,388.5,394.0,656319
2021-11-12 14:15:00,393.92,401.66,391.85,396.0,1176628
2021-11-12 15:15:00,396.0,396.06,387.53,393.05,345596
2021-11-15 09:15:00,376.83,387.33,364.17,373.67,1468351
2021-11-15 10:15:00,374.0,376.83,371.38,373.02,247227
2021-11-15 11:15:00,373.16,374.96,369.74,371.68,206298
2021-11-15 12:15:00,371.83,375.5,371.13,373.98,221013
2021-11-15 13:15:00,373.68,388.73,373.5,385.18,819263
2021-11-15 14:15:00,385.17,385.17,378.68,380.93,344136
2021-11-15 15:15:00,380.98,381.09,377.5,380.38,149223
2021-11-16 09:15:00,378.0,385.0,371.83,381.84,661526
2021-11-16 10:15:00,381.88,382.83,380.29,381.29,129216
2021-11-16 11:15:00,381.28,383.33,378.45,378.68,134543
2021-11-16 12:15:00,378.69,380.38,376.85,378.16,126960
2021-11-16 13:15:00,378.13,380.0,375.27,375.67,104755
2021-11-16 14:15:00,375.51,378.17,371.33,372.58,242735
2021-11-16 15:15:00,372.88,374.33,371.33,372.79,107001
2021-11-17 09:15:00,373.33,376.5,363.67,366.33,598967
2021-11-17 10:15:00,366.33,366.67,363.78,364.98,180744
2021-11-17 11:15:00,364.83,365.0,351.33,353.15,456014
2021-11-17 12:15:00,352.88,359.5,352.88,354.91,352475
2021-11-17 13:15:00,354.91,355.83,350.17,351.13,457327
2021-11-17 14:15:00,350.88,356.85,350.85,354.0,484446
2021-11-17 15:15:00,354.0,355.0,353.14,353.84,165415
2021-11-18 09:15:00,351.67,363.0,348.33,355.2,895009
2021-11-18 10:15:00,355.18,358.33,350.46,357.03,333383
2021-11-18 11:15:00,357.29,358.78,355.48,357.49,162935
2021-11-18 12:15:00,357.42,357.83,356.0,356.73,128413
2021-11-18 13:15:00,356.55,360.0,356.5,359.17,176688
2021-11-18 14:15:00,359.01,359.33,353.5,353.67,196182
2021-11-18 15:15:00,353.67,355.8,350.17,354.21,100508
2021-11-22 09:15:00,355.88,361.99,350.51,357.53,450501
2021-11-22 10:15:00,357.51,358.33,352.63,353.33,182100
2021-11-22 11:15:00,353.33,356.67,349.22,352.49,246519
2021-11-22 12:15:00,352.19,353.84,348.33,350.17,242844
2021-11-22 13:15:00,350.18,352.77,349.0,350.27,198343
2021-11-22 14:15:00,350.33,351.67,347.0,350.0,268306
2021-11-22 15:15:00,350.17,350.61,347.9,349.62,101890
2021-11-23 09:15:00,345.0,353.82,342.95,350.41,325433
2021-11-23 10:15:00,350.73,352.68,348.69,350.0,74848
2021-11-23 11:15:00,350.0,353.11,349.17,351.98,92255
2021-11-23 12:15:00,351.98,351.98,349.73,350.83,65100
2021-11-23 13:15:00,350.83,355.83,350.23,353.39,128887
2021-11-23 14:15:00,353.64,357.88,353.17,355.28,112899
2021-11-23 15:15:00,355.32,357.5,354.92,355.82,40153
2021-11-24 09:15:00,358.33,370.29,354.34,364.18,347452
2021-11-24 10:15:00,364.34,374.99,364.13,374.92,293780
2021-11-24 11:15:00,374.48,386.47,374.48,383.55,912557
2021-11-24 12:15:00,383.67,384.13,375.48,380.34,388634
2021-11-24 13:15:00,380.5,383.41,376.5,377.03,278494
2021-11-24 14:15:00,377.26,380.67,373.54,373.63,196017
2021-11-24 15:15:00,373.5,374.73,370.87,374.58,91600
2021-11-25 09:15:00,374.58,391.58,374.5,388.53,670071
2021-11-25 10:15:00,388.67,390.0,384.51,388.06,163686
2021-11-25 11:15:00,388.0,390.33,385.67,388.65,152312
2021-11-25 12:15:00,388.65,389.83,383.96,389.34,158336
2021-11-25 13:15:00,389.33,397.67,389.33,392.83,625702
2021-11-25 14:15:00,392.68,398.67,392.0,395.92,455747
2021-11-25 15:15:00,396.05,405.19,395.75,399.59,408427
2021-11-26 09:15:00,397.5,398.33,384.67,392.3,456802
2021-11-26 10:15:00,392.28,407.47,390.35,406.78,338811
2021-11-26 11:15:00,406.68,428.95,404.91,420.44,1438888
2021-11-26 12:15:00,420.13,424.94,413.77,423.87,441259
2021-11-26 13:15:00,423.72,424.17,413.83,416.67,317977
2021-11-26 14:15:00,416.67,421.33,401.06,405.5,569157
2021-11-26 15:15:00,405.5,409.9,403.37,406.18,159012
2021-11-29 09:15:00,403.5,422.49,391.67,418.67,626244
2021-11-29 10:15:00,418.86,422.83,410.99,416.2,398147
2021-11-29 11:15:00,416.5,417.32,411.51,413.16,163552
2021-11-29 12:15:00,413.3,413.82,410.02,412.52,123711
2021-11-29 13:15:00,412.52,416.53,412.2,415.0,104243
2021-11-29 14:15:00,414.97,416.67,411.29,414.63,200296
2021-11-29 15:15:00,414.46,418.91,404.17,414.4,123914
2021-11-30 09:15:00,413.0,426.33,410.96,417.18,358624
2021-11-30 10:15:00,417.25,420.3,415.67,416.67,110301
2021-11-30 11:15:00,416.5,419.17,413.41,417.11,95725
