Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,81.35,84.15,81.1,82.95,12630600
2020-07-02 10:15:00,83.05,83.1,82.35,82.8,3991450
2020-07-02 11:15:00,82.8,83.4,82.5,83.25,3008631
2020-07-02 12:15:00,83.3,83.4,83.05,83.25,3095389
2020-07-02 13:15:00,83.25,84.0,83.2,83.35,3977279
2020-07-02 14:15:00,83.3,83.5,81.7,81.85,6071702
2020-07-02 15:15:00,81.9,82.25,81.6,81.85,2372477
2020-07-03 09:15:00,82.45,83.35,81.6,82.25,4433260
2020-07-03 10:15:00,82.25,83.05,81.9,82.75,2903258
2020-07-03 11:15:00,82.75,82.85,82.4,82.65,1571265
2020-07-03 12:15:00,82.7,83.0,82.35,82.4,1809464
2020-07-03 13:15:00,82.4,82.6,82.0,82.35,1998494
2020-07-03 14:15:00,82.35,82.85,82.15,82.6,2992007
2020-07-03 15:15:00,82.6,82.6,82.1,82.4,1070503
2020-07-06 09:15:00,83.05,84.15,82.8,83.75,4053709
2020-07-06 10:15:00,83.8,84.4,83.65,84.2,2745227
2020-07-06 11:15:00,84.2,84.9,84.05,84.65,3409077
2020-07-06 12:15:00,84.65,84.8,84.3,84.35,2342501
2020-07-06 13:15:00,84.35,84.6,83.8,83.85,1595846
2020-07-06 14:15:00,83.75,83.85,83.2,83.8,2437851
2020-07-06 15:15:00,83.8,83.9,83.5,83.75,922169
2020-07-07 09:15:00,83.75,83.8,81.8,82.3,7397158
2020-07-07 10:15:00,82.25,82.5,81.9,81.9,2119360
2020-07-07 11:15:00,82.0,82.35,81.9,82.3,1828884
2020-07-07 12:15:00,82.3,82.5,81.95,82.1,2323564
2020-07-07 13:15:00,82.1,82.6,82.0,82.25,2131876
2020-07-07 14:15:00,82.2,82.3,81.9,81.95,2757967
2020-07-07 15:15:00,82.0,82.05,81.8,81.95,1555781
2020-07-08 09:15:00,82.0,82.5,81.3,81.35,3902441
2020-07-08 10:15:00,81.35,81.7,81.25,81.7,1668241
2020-07-08 11:15:00,81.65,82.25,81.65,82.2,2130315
2020-07-08 12:15:00,82.25,82.9,82.0,82.35,2624002
2020-07-08 13:15:00,82.35,82.4,82.0,82.15,1530783
2020-07-08 14:15:00,82.15,82.2,81.1,81.1,5224952
2020-07-08 15:15:00,81.15,81.3,81.0,81.3,1533861
2020-07-09 09:15:00,81.6,82.25,81.1,81.6,3397584
2020-07-09 10:15:00,81.6,81.65,80.8,81.15,2453862
2020-07-09 11:15:00,81.15,81.15,80.85,80.95,1586791
2020-07-09 12:15:00,81.0,81.15,80.8,80.9,1700184
2020-07-09 13:15:00,80.9,81.0,80.4,80.5,2268145
2020-07-09 14:15:00,80.5,80.65,79.9,80.35,4267372
2020-07-09 15:15:00,80.3,80.5,80.2,80.2,1660549
2020-07-10 09:15:00,80.0,80.15,79.3,79.5,3914375
2020-07-10 10:15:00,79.55,79.55,78.8,78.9,3037825
2020-07-10 11:15:00,78.85,79.0,77.8,77.85,3741401
2020-07-10 12:15:00,77.8,78.6,77.7,78.45,2934213
2020-07-10 13:15:00,78.4,78.55,78.2,78.4,1078358
2020-07-10 14:15:00,78.35,78.75,78.3,78.55,1845202
2020-07-10 15:15:00,78.5,78.75,78.45,78.55,1209272
2020-07-13 09:15:00,79.2,79.55,78.55,78.9,3348651
2020-07-13 10:15:00,78.95,79.25,78.75,78.8,921136
2020-07-13 11:15:00,78.75,79.0,78.4,78.75,875391
2020-07-13 12:15:00,78.75,79.35,78.7,79.05,1161512
2020-07-13 13:15:00,79.1,79.1,78.5,78.8,760191
2020-07-13 14:15:00,78.75,78.9,78.6,78.8,1224617
2020-07-13 15:15:00,78.8,79.15,78.8,78.9,1066040
2020-07-14 09:15:00,78.5,78.95,78.1,78.2,2501869
2020-07-14 10:15:00,78.2,78.25,77.3,77.5,1737037
2020-07-14 11:15:00,77.55,77.9,77.45,77.65,1011878
2020-07-14 12:15:00,77.6,77.8,77.3,77.4,1040964
2020-07-14 13:15:00,77.45,77.6,77.15,77.55,891265
2020-07-14 14:15:00,77.6,77.7,77.2,77.25,1059952
2020-07-14 15:15:00,77.25,77.55,77.2,77.35,1050512
2020-07-15 09:15:00,78.0,78.05,77.15,77.3,6817046
2020-07-15 10:15:00,77.35,78.2,77.3,78.15,1576996
2020-07-15 11:15:00,78.15,78.15,77.5,77.6,914746
2020-07-15 12:15:00,77.65,77.75,77.3,77.7,786173
2020-07-15 13:15:00,77.65,77.8,77.5,77.6,461908
2020-07-15 14:15:00,77.55,77.6,76.1,76.15,2546271
2020-07-15 15:15:00,76.1,76.4,75.85,76.25,1255386
2020-07-16 09:15:00,76.4,76.7,75.05,75.6,3252958
2020-07-16 10:15:00,75.55,75.85,75.0,75.15,1520025
2020-07-16 11:15:00,75.15,75.9,75.1,75.85,1177933
2020-07-16 12:15:00,75.85,76.0,75.5,75.65,884115
2020-07-16 13:15:00,75.7,76.25,75.6,76.1,994146
2020-07-16 14:15:00,76.1,76.4,75.8,76.35,1669851
2020-07-16 15:15:00,76.4,76.45,75.9,76.15,1088377
2020-07-17 09:15:00,76.3,78.7,76.3,78.3,5523064
2020-07-17 10:15:00,78.25,78.7,78.1,78.4,1951956
2020-07-17 11:15:00,78.4,79.15,78.4,79.1,2282631
2020-07-17 12:15:00,79.15,79.35,78.7,79.3,2498715
2020-07-17 13:15:00,79.25,80.4,79.25,80.15,5276860
2020-07-17 14:15:00,80.15,80.65,80.0,80.25,5156480
2020-07-17 15:15:00,80.2,80.65,80.05,80.35,2239100
2020-07-20 09:15:00,81.0,81.05,79.6,79.7,4349630
2020-07-20 10:15:00,79.75,80.75,79.2,80.75,2650005
2020-07-20 11:15:00,80.8,81.25,80.55,80.65,3010757
2020-07-20 12:15:00,80.65,80.9,80.05,80.8,1504433
2020-07-20 13:15:00,80.75,80.8,80.25,80.7,1529859
2020-07-20 14:15:00,80.65,80.75,80.25,80.3,1558754
2020-07-20 15:15:00,80.3,80.4,80.25,80.3,959886
2020-07-21 09:15:00,80.6,81.45,80.35,81.25,3762836
2020-07-21 10:15:00,81.25,82.6,80.95,81.95,5918678
2020-07-21 11:15:00,81.95,82.4,81.65,82.4,2267000
2020-07-21 12:15:00,82.4,82.9,82.3,82.6,3126657
2020-07-21 13:15:00,82.6,82.8,82.2,82.6,1813228
2020-07-21 14:15:00,82.6,82.9,82.3,82.4,2849898
2020-07-21 15:15:00,82.3,82.6,82.25,82.45,1232657
2020-07-22 09:15:00,82.75,83.3,81.85,82.45,5853648
2020-07-22 10:15:00,82.5,83.45,82.4,83.3,3171213
2020-07-22 11:15:00,83.35,83.5,83.1,83.2,1796357
2020-07-22 12:15:00,83.2,83.4,82.6,82.6,1409456
2020-07-22 13:15:00,82.65,82.65,81.9,82.1,1725320
2020-07-22 14:15:00,82.05,83.0,81.7,82.8,2682798
2020-07-22 15:15:00,82.8,82.8,82.3,82.6,1242314
2020-07-23 09:15:00,82.5,83.35,82.05,83.2,3163377
2020-07-23 10:15:00,83.15,83.85,83.1,83.15,4121177
2020-07-23 11:15:00,83.15,83.25,82.8,82.85,1273357
2020-07-23 12:15:00,82.9,83.0,82.55,82.8,877976
2020-07-23 13:15:00,82.75,82.9,82.55,82.75,1159058
2020-07-23 14:15:00,82.75,83.15,82.5,82.65,2798896
2020-07-23 15:15:00,82.6,82.65,82.35,82.65,1259755
2020-07-24 09:15:00,82.1,82.4,81.15,81.2,2233164
2020-07-24 10:15:00,81.15,81.2,80.25,80.8,1733630
2020-07-24 11:15:00,80.8,81.3,80.6,80.65,1158183
2020-07-24 12:15:00,80.6,81.1,80.5,81.0,699655
2020-07-24 13:15:00,80.95,81.55,80.95,81.45,1091496
