Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,85.7,85.9,84.85,85.0,1130142
2020-07-02 10:15:00,85.0,85.05,84.35,84.9,612440
2020-07-02 11:15:00,84.9,85.3,84.7,85.2,386421
2020-07-02 12:15:00,85.2,85.5,85.05,85.15,377212
2020-07-02 13:15:00,85.1,85.75,85.0,85.55,400554
2020-07-02 14:15:00,85.5,85.55,84.75,84.9,596124
2020-07-02 15:15:00,84.9,85.4,84.7,85.0,541753
2020-07-03 09:15:00,85.7,85.85,84.5,85.15,1296796
2020-07-03 10:15:00,85.05,85.35,84.8,84.9,383313
2020-07-03 11:15:00,84.9,85.35,84.8,85.2,275965
2020-07-03 12:15:00,85.2,85.5,84.95,85.05,375983
2020-07-03 13:15:00,85.05,85.1,84.6,84.95,442947
2020-07-03 14:15:00,84.95,85.05,83.85,84.35,1372169
2020-07-03 15:15:00,84.3,84.35,84.1,84.2,415823
2020-07-06 09:15:00,84.55,88.5,84.3,87.85,6847222
2020-07-06 10:15:00,87.85,88.1,86.9,87.1,2990807
2020-07-06 11:15:00,87.1,87.4,86.6,86.95,708729
2020-07-06 12:15:00,86.95,87.2,85.8,86.95,4291781
2020-07-06 13:15:00,87.0,87.9,86.95,87.65,1528408
2020-07-06 14:15:00,87.7,88.4,87.0,87.75,2000737
2020-07-06 15:15:00,87.75,87.8,87.3,87.7,791536
2020-07-07 09:15:00,87.7,87.95,86.25,86.95,2057016
2020-07-07 10:15:00,86.95,87.45,85.7,85.95,1465270
2020-07-07 11:15:00,85.85,86.2,85.55,86.0,1014652
2020-07-07 12:15:00,86.05,86.25,85.8,86.15,650231
2020-07-07 13:15:00,86.15,86.35,85.6,86.2,657277
2020-07-07 14:15:00,86.25,86.5,85.55,85.7,1126560
2020-07-07 15:15:00,85.7,85.9,85.4,85.65,521207
2020-07-08 09:15:00,86.0,86.7,84.75,84.95,1951690
2020-07-08 10:15:00,85.0,85.3,84.6,85.0,1055773
2020-07-08 11:15:00,84.95,86.45,84.55,85.95,1701017
2020-07-08 12:15:00,85.9,86.3,85.55,85.9,1232906
2020-07-08 13:15:00,85.9,85.95,85.5,85.75,735938
2020-07-08 14:15:00,85.75,86.55,84.4,84.5,2209634
2020-07-08 15:15:00,84.5,84.65,84.3,84.5,619933
2020-07-09 09:15:00,85.3,85.9,84.65,85.45,1311142
2020-07-09 10:15:00,85.45,85.55,84.75,85.1,492291
2020-07-09 11:15:00,85.1,85.15,84.55,84.75,422923
2020-07-09 12:15:00,84.75,85.05,84.4,84.5,602182
2020-07-09 13:15:00,84.55,84.65,84.1,84.45,680905
2020-07-09 14:15:00,84.4,84.9,84.25,84.75,978417
2020-07-09 15:15:00,84.7,84.85,84.6,84.65,433586
2020-07-10 09:15:00,84.65,84.85,83.85,84.55,1175609
2020-07-10 10:15:00,84.5,84.6,83.4,83.45,1154259
2020-07-10 11:15:00,83.45,83.6,83.1,83.2,655083
2020-07-10 12:15:00,83.25,83.75,82.7,83.4,1126758
2020-07-10 13:15:00,83.45,83.65,83.05,83.1,515139
2020-07-10 14:15:00,83.1,83.85,82.9,83.5,841692
2020-07-10 15:15:00,83.6,83.75,83.4,83.6,483081
2020-07-13 09:15:00,84.15,84.55,83.25,83.5,1021471
2020-07-13 10:15:00,83.5,83.8,83.1,83.15,540156
2020-07-13 11:15:00,83.1,83.3,82.45,82.55,696137
2020-07-13 12:15:00,82.6,82.95,82.4,82.8,385337
2020-07-13 13:15:00,82.8,83.0,82.35,82.75,397298
2020-07-13 14:15:00,82.8,83.35,82.7,83.15,891459
2020-07-13 15:15:00,83.1,84.15,83.1,83.4,692904
2020-07-14 09:15:00,83.9,83.95,82.45,83.0,1881880
2020-07-14 10:15:00,82.95,83.0,81.35,81.75,1621435
2020-07-14 11:15:00,81.7,81.85,81.1,81.3,811146
2020-07-14 12:15:00,81.25,81.55,80.55,80.65,1468350
2020-07-14 13:15:00,80.7,81.3,80.5,81.1,994659
2020-07-14 14:15:00,81.1,81.25,80.25,80.8,2288804
2020-07-14 15:15:00,80.8,80.95,80.3,80.55,805189
2020-07-15 09:15:00,81.4,82.2,80.75,81.55,1825571
2020-07-15 10:15:00,81.6,81.85,81.1,81.15,892784
2020-07-15 11:15:00,81.15,82.05,81.1,81.35,1015989
2020-07-15 12:15:00,81.3,81.35,80.6,80.85,914167
2020-07-15 13:15:00,80.8,80.95,80.6,80.6,602486
2020-07-15 14:15:00,80.6,80.65,79.0,79.65,2204860
2020-07-15 15:15:00,79.6,79.85,79.45,79.55,551068
2020-07-16 09:15:00,79.95,81.05,78.85,80.5,1984496
2020-07-16 10:15:00,80.5,80.55,79.8,80.1,646975
2020-07-16 11:15:00,80.1,80.5,79.9,80.15,362170
2020-07-16 12:15:00,80.15,80.7,80.05,80.6,452594
2020-07-16 13:15:00,80.55,81.5,80.45,80.85,753734
2020-07-16 14:15:00,80.85,81.5,80.65,81.2,650328
2020-07-16 15:15:00,81.25,81.6,81.1,81.25,421731
2020-07-17 09:15:00,81.5,82.5,81.4,81.9,1184570
2020-07-17 10:15:00,81.85,82.3,81.85,81.85,544858
2020-07-17 11:15:00,81.85,81.9,81.4,81.6,468798
2020-07-17 12:15:00,81.55,81.8,81.3,81.7,419650
2020-07-17 13:15:00,81.7,82.45,81.65,82.05,861355
2020-07-17 14:15:00,82.0,82.3,81.55,82.15,954646
2020-07-17 15:15:00,82.15,82.25,81.75,82.0,709279
2020-07-20 09:15:00,82.8,83.65,82.4,83.45,1309776
2020-07-20 10:15:00,83.55,83.55,82.65,83.4,764539
2020-07-20 11:15:00,83.4,83.45,82.7,83.3,475547
2020-07-20 12:15:00,83.25,83.6,83.1,83.25,449013
2020-07-20 13:15:00,83.25,83.35,82.8,82.85,349491
2020-07-20 14:15:00,82.85,83.05,82.7,82.8,445460
2020-07-20 15:15:00,82.85,82.85,82.6,82.75,288926
2020-07-21 09:15:00,83.8,83.8,82.5,82.85,865158
2020-07-21 10:15:00,82.8,83.1,82.45,82.85,985491
2020-07-21 11:15:00,82.8,83.45,82.7,83.35,498669
2020-07-21 12:15:00,83.4,84.8,83.25,84.05,1582088
2020-07-21 13:15:00,84.1,85.5,83.6,85.35,2572635
2020-07-21 14:15:00,85.35,85.5,84.7,85.25,2194377
2020-07-21 15:15:00,85.25,85.4,85.0,85.2,903736
2020-07-22 09:15:00,85.75,85.75,84.35,84.8,1551644
2020-07-22 10:15:00,84.85,86.5,84.65,86.25,1729628
2020-07-22 11:15:00,86.25,86.45,85.65,85.9,878144
2020-07-22 12:15:00,85.8,86.45,85.55,85.7,1284417
2020-07-22 13:15:00,85.65,85.8,84.4,84.45,1263084
2020-07-22 14:15:00,84.45,85.15,84.0,85.0,1215186
2020-07-22 15:15:00,85.05,85.15,84.8,84.95,417640
2020-07-23 09:15:00,85.0,85.6,84.4,84.85,755174
2020-07-23 10:15:00,84.9,85.4,84.9,85.05,331989
2020-07-23 11:15:00,85.1,85.3,84.75,84.9,275086
2020-07-23 12:15:00,84.85,84.9,84.4,84.6,319847
2020-07-23 13:15:00,84.6,85.3,84.55,84.75,492297
2020-07-23 14:15:00,84.75,85.0,84.5,85.0,567617
2020-07-23 15:15:00,84.95,84.95,84.7,84.85,251142
2020-07-24 09:15:00,84.4,84.75,83.2,83.2,1259667
2020-07-24 10:15:00,83.15,83.3,82.1,82.45,1254641
2020-07-24 11:15:00,82.45,82.75,82.2,82.35,450760
2020-07-24 12:15:00,82.35,82.65,82.2,82.4,357284
2020-07-24 13:15:00,82.4,83.05,82.4,83.0,473866
2020-07-24 14:15:00,82.95,83.15,82.6,82.85,526942
2020-07-24 15:15:00,82.85,82.95,82.5,82.55,514333
2020-07-27 09:15:00,82.35,83.1,81.25,81.4,880930
