Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,36.6,37.05,36.4,36.5,8330535
2020-07-02 10:15:00,36.55,36.55,36.1,36.35,3947015
2020-07-02 11:15:00,36.35,36.8,36.2,36.7,3404976
2020-07-02 12:15:00,36.7,36.75,36.45,36.6,2174099
2020-07-02 13:15:00,36.6,36.75,36.45,36.65,2519764
2020-07-02 14:15:00,36.7,36.7,36.3,36.35,3577900
2020-07-02 15:15:00,36.3,36.35,36.1,36.25,2991835
2020-07-03 09:15:00,36.5,36.55,35.9,36.1,6036469
2020-07-03 10:15:00,36.05,36.2,35.9,36.0,2257846
2020-07-03 11:15:00,36.05,36.2,35.95,36.05,1836296
2020-07-03 12:15:00,36.1,36.35,36.0,36.1,3035959
2020-07-03 13:15:00,36.1,36.1,35.8,36.05,2556935
2020-07-03 14:15:00,36.1,36.15,35.95,35.95,2265905
2020-07-03 15:15:00,35.95,36.0,35.85,35.95,1458814
2020-07-06 09:15:00,36.25,36.8,36.0,36.5,7843839
2020-07-06 10:15:00,36.5,36.5,36.3,36.45,1583374
2020-07-06 11:15:00,36.5,36.5,36.3,36.4,1416540
2020-07-06 12:15:00,36.35,36.5,36.3,36.35,1855948
2020-07-06 13:15:00,36.35,37.2,36.05,37.0,10758544
2020-07-06 14:15:00,37.0,37.3,36.85,37.05,9930753
2020-07-06 15:15:00,37.05,37.2,37.0,37.1,2963760
2020-07-07 09:15:00,37.3,37.35,36.4,36.6,8914467
2020-07-07 10:15:00,36.6,36.7,36.2,36.3,5199423
2020-07-07 11:15:00,36.3,36.4,36.1,36.35,3566572
2020-07-07 12:15:00,36.3,36.7,36.2,36.6,4932552
2020-07-07 13:15:00,36.65,36.85,36.55,36.65,3562988
2020-07-07 14:15:00,36.7,36.9,36.6,36.85,4935981
2020-07-07 15:15:00,36.85,36.85,36.7,36.8,2638214
2020-07-08 09:15:00,36.65,38.0,36.6,37.7,18887074
2020-07-08 10:15:00,37.75,38.75,37.7,38.35,19542088
