Datetime,Open,High,Low,Close,Volume
2020-07-02 09:15:00,32.5,32.95,32.5,32.6,1026607
2020-07-02 10:15:00,32.65,32.65,32.25,32.3,577076
2020-07-02 11:15:00,32.3,32.55,32.1,32.45,543322
2020-07-02 12:15:00,32.5,32.7,32.45,32.5,387718
2020-07-02 13:15:00,32.55,32.65,32.45,32.55,210713
2020-07-02 14:15:00,32.6,32.6,32.4,32.45,465522
2020-07-02 15:15:00,32.4,32.45,32.35,32.4,311672
2020-07-03 09:15:00,32.7,32.75,32.05,32.2,897264
2020-07-03 10:15:00,32.2,32.3,32.1,32.15,326478
2020-07-03 11:15:00,32.15,32.3,32.1,32.25,216563
2020-07-03 12:15:00,32.25,32.3,32.1,32.1,185767
2020-07-03 13:15:00,32.15,32.2,32.05,32.05,200655
2020-07-03 14:15:00,32.05,32.25,32.0,32.1,655271
2020-07-03 15:15:00,32.05,32.1,32.0,32.05,271832
2020-07-06 09:15:00,32.35,32.5,32.1,32.25,914001
2020-07-06 10:15:00,32.2,32.25,32.1,32.2,343940
2020-07-06 11:15:00,32.2,32.25,32.15,32.2,236418
2020-07-06 12:15:00,32.25,32.3,32.2,32.25,177721
2020-07-06 13:15:00,32.25,32.35,32.15,32.3,336191
2020-07-06 14:15:00,32.35,32.35,32.15,32.15,536165
2020-07-06 15:15:00,32.2,32.25,32.15,32.2,336641
2020-07-07 09:15:00,32.4,32.4,32.0,32.05,570814
2020-07-07 10:15:00,32.05,32.1,32.0,32.1,260293
2020-07-07 11:15:00,32.1,32.1,32.0,32.05,176786
2020-07-07 12:15:00,32.05,32.25,32.0,32.15,318031
2020-07-07 13:15:00,32.15,32.25,32.1,32.15,265036
2020-07-07 14:15:00,32.1,32.2,32.05,32.15,406212
2020-07-07 15:15:00,32.2,32.2,32.05,32.15,297416
2020-07-08 09:15:00,32.3,33.75,32.15,33.25,4163529
2020-07-08 10:15:00,33.25,33.85,33.2,33.75,2983265
2020-07-08 11:15:00,33.8,34.0,33.5,33.7,1854763
2020-07-08 12:15:00,33.7,33.8,33.55,33.6,607774
2020-07-08 13:15:00,33.65,33.7,33.4,33.65,901397
2020-07-08 14:15:00,33.65,33.7,32.35,32.5,2394677
2020-07-08 15:15:00,32.55,32.65,32.5,32.5,603178
2020-07-09 09:15:00,32.8,33.15,32.7,32.8,1290019
2020-07-09 10:15:00,32.85,32.9,32.7,32.8,270978
2020-07-09 11:15:00,32.8,32.8,32.5,32.6,370036
2020-07-09 12:15:00,32.6,32.8,32.6,32.6,352306
2020-07-09 13:15:00,32.7,32.75,32.6,32.65,148302
2020-07-09 14:15:00,32.7,32.9,32.65,32.65,806467
2020-07-09 15:15:00,32.7,32.75,32.6,32.7,408047
2020-07-10 09:15:00,32.5,32.6,32.05,32.3,946879
2020-07-10 10:15:00,32.3,32.4,31.8,31.9,682938
2020-07-10 11:15:00,31.9,32.0,31.85,31.9,279442
2020-07-10 12:15:00,31.9,32.05,31.75,32.0,411312
2020-07-10 13:15:00,31.95,32.15,31.85,31.95,269370
2020-07-10 14:15:00,31.9,32.25,31.85,32.05,553262
2020-07-10 15:15:00,32.1,32.15,31.85,32.05,406415
2020-07-13 09:15:00,32.1,32.45,31.6,31.75,823185
2020-07-13 10:15:00,31.75,31.9,31.65,31.7,442603
2020-07-13 11:15:00,31.65,31.7,31.45,31.5,479903
2020-07-13 12:15:00,31.45,31.6,31.45,31.55,315793
2020-07-13 13:15:00,31.5,31.55,31.35,31.4,241835
2020-07-13 14:15:00,31.45,31.6,31.4,31.5,354115
2020-07-13 15:15:00,31.55,31.7,31.55,31.55,279815
2020-07-14 09:15:00,31.2,31.4,30.75,30.95,706305
2020-07-14 10:15:00,30.95,30.95,30.3,30.35,729830
2020-07-14 11:15:00,30.35,30.45,30.3,30.4,329011
