Datetime,Open,High,Low,Close,Volume
2021-06-10 09:15:00,276.67,306.13,260.33,264.52,3527622
2021-06-10 10:15:00,264.58,266.67,264.0,266.25,726216
2021-06-10 11:15:00,266.22,272.47,265.68,266.67,1021395
2021-06-10 12:15:00,266.67,266.67,266.4,266.43,445086
2021-06-10 13:15:00,266.62,266.67,266.02,266.18,518142
2021-06-10 14:15:00,266.08,266.67,262.83,263.13,949617
2021-06-10 15:15:00,262.9,263.97,261.83,263.08,469365
2021-06-11 09:15:00,270.0,270.0,258.5,260.08,930810
2021-06-11 10:15:00,260.08,262.67,259.32,261.33,429327
2021-06-11 11:15:00,261.42,261.67,260.87,261.37,276522
2021-06-11 12:15:00,261.37,262.67,261.08,261.88,188286
2021-06-11 13:15:00,261.88,262.33,260.83,262.0,220770
2021-06-11 14:15:00,261.97,265.15,261.67,263.23,342552
2021-06-11 15:15:00,263.28,263.42,262.45,263.42,120690
2021-06-14 09:15:00,263.33,263.42,255.48,258.17,512982
2021-06-14 10:15:00,258.02,258.8,256.73,257.3,249729
2021-06-14 11:15:00,257.4,258.75,256.4,256.67,279096
2021-06-14 12:15:00,256.67,257.6,255.83,256.68,229674
2021-06-14 13:15:00,256.68,258.63,256.33,258.33,203229
2021-06-14 14:15:00,258.4,259.1,257.58,258.75,266835
2021-06-14 15:15:00,258.67,259.6,258.33,258.57,88953
2021-06-15 09:15:00,259.0,263.0,255.0,262.63,265014
2021-06-15 10:15:00,262.65,265.22,261.23,264.43,177420
2021-06-15 11:15:00,264.4,265.0,262.33,263.27,315819
2021-06-15 12:15:00,263.33,263.47,261.67,261.67,209289
2021-06-15 13:15:00,261.67,262.33,260.67,261.77,93357
2021-06-15 14:15:00,261.78,266.0,261.67,264.43,470436
2021-06-15 15:15:00,264.65,264.97,263.67,264.57,181374
2021-06-16 09:15:00,265.0,266.3,263.87,264.62,442080
2021-06-16 10:15:00,264.87,265.17,261.83,263.17,150186
2021-06-16 11:15:00,263.17,263.33,263.0,263.17,42411
2021-06-16 12:15:00,263.17,263.33,262.37,262.83,72297
2021-06-16 13:15:00,262.83,263.83,262.67,263.15,90480
2021-06-16 14:15:00,263.15,263.33,261.83,262.65,147753
2021-06-16 15:15:00,262.9,262.9,262.52,262.73,70860
2021-06-17 09:15:00,259.0,264.93,259.0,264.23,232248
2021-06-17 10:15:00,264.22,264.57,263.08,263.75,73614
2021-06-17 11:15:00,263.62,263.98,262.5,263.2,157617
2021-06-17 12:15:00,263.22,263.55,262.92,263.35,49083
2021-06-17 13:15:00,263.2,263.33,262.83,263.03,179382
2021-06-17 14:15:00,263.03,264.58,262.67,264.38,180036
2021-06-17 15:15:00,264.38,264.97,263.33,263.72,82854
2021-06-18 09:15:00,263.97,265.33,261.18,262.25,195114
2021-06-18 10:15:00,262.28,263.27,261.02,262.55,500217
2021-06-18 11:15:00,262.63,262.83,261.73,262.62,55917
2021-06-18 12:15:00,262.52,262.92,262.0,262.35,91419
2021-06-18 13:15:00,262.35,263.32,262.17,263.02,136272
2021-06-18 14:15:00,262.9,266.67,262.35,266.22,663357
2021-06-18 15:15:00,266.27,266.47,263.33,265.48,292692
2021-06-21 09:15:00,265.0,265.97,261.68,263.15,192084
2021-06-21 10:15:00,263.15,264.25,261.77,262.27,153969
2021-06-21 11:15:00,262.3,263.6,261.7,262.45,88053
2021-06-21 12:15:00,262.5,262.98,262.17,262.7,30195
2021-06-21 13:15:00,262.7,262.95,261.72,261.9,65919
2021-06-21 14:15:00,261.9,262.82,261.7,262.5,110673
2021-06-21 15:15:00,262.5,262.67,261.67,262.2,123381
2021-06-22 09:15:00,262.47,264.67,262.47,263.98,281529
2021-06-22 10:15:00,263.98,263.98,263.33,263.33,138993
2021-06-22 11:15:00,263.33,263.65,261.95,263.0,195471
2021-06-22 12:15:00,263.0,263.18,260.57,261.43,154569
2021-06-22 13:15:00,261.32,261.32,260.03,260.15,79971
2021-06-22 14:15:00,260.08,261.5,258.73,259.4,187089
2021-06-22 15:15:00,259.33,260.0,258.33,259.27,64602
2021-06-23 09:15:00,257.27,259.08,254.68,255.32,347361
