Datetime,Open,High,Low,Close,Volume
2021-07-23 09:15:00,116.0,138.9,115.0,130.1,440673783
2021-07-23 10:15:00,130.05,133.7,120.5,123.7,127518083
2021-07-23 11:15:00,123.75,128.0,123.05,126.75,28153051
2021-07-23 12:15:00,126.8,129.0,124.0,124.1,25914537
2021-07-23 13:15:00,124.05,126.85,123.25,125.0,21381951
2021-07-23 14:15:00,124.85,127.8,123.5,126.85,37958574
2021-07-23 15:15:00,126.85,127.15,125.0,126.0,13203924
2021-07-26 09:15:00,126.35,133.9,125.3,129.1,48276158
2021-07-26 10:15:00,129.0,130.55,128.55,129.85,16348335
2021-07-26 11:15:00,129.85,131.85,129.05,130.75,20788059
2021-07-26 12:15:00,130.8,131.35,130.15,130.55,7691900
2021-07-26 13:15:00,130.55,136.8,130.4,135.65,38326456
2021-07-26 14:15:00,135.7,143.75,135.3,141.75,96550494
2021-07-26 15:15:00,141.8,142.5,137.8,140.65,21535071
2021-07-27 09:15:00,141.7,147.8,141.05,145.3,81488792
2021-07-27 10:15:00,145.3,146.75,145.1,145.8,15257992
2021-07-27 11:15:00,145.75,146.2,144.3,144.8,12914746
2021-07-27 12:15:00,144.75,144.8,135.5,136.85,50164721
2021-07-27 13:15:00,136.85,141.25,136.6,138.5,27105032
2021-07-27 14:15:00,138.5,140.7,134.8,135.3,30247956
2021-07-27 15:15:00,135.3,135.3,127.75,132.9,23128766
2021-07-28 09:15:00,131.0,132.45,123.55,126.0,50163062
2021-07-28 10:15:00,126.0,127.65,124.45,125.5,19135417
2021-07-28 11:15:00,125.5,127.25,125.45,126.75,11157324
2021-07-28 12:15:00,126.7,128.4,126.3,128.0,11478393
2021-07-28 13:15:00,127.95,131.3,127.6,131.05,23378300
2021-07-28 14:15:00,131.1,132.4,127.5,129.45,31335900
2021-07-28 15:15:00,129.55,135.0,129.45,131.2,13130894
2021-07-29 09:15:00,134.95,137.7,132.2,133.5,25213709
2021-07-29 10:15:00,133.45,134.5,133.2,134.1,5393536
2021-07-29 11:15:00,134.0,135.8,133.55,134.8,7428117
2021-07-29 12:15:00,134.8,136.45,134.7,135.4,9193816
2021-07-29 13:15:00,135.4,139.35,135.15,138.85,21580399
2021-07-29 14:15:00,138.9,142.25,137.75,141.25,36666878
2021-07-29 15:15:00,141.3,144.0,140.85,141.55,12471880
2021-07-30 09:15:00,142.6,142.7,136.55,137.65,28106525
2021-07-30 10:15:00,137.55,138.5,136.9,137.7,7425977
2021-07-30 11:15:00,137.7,137.85,136.8,137.3,5562072
2021-07-30 12:15:00,137.35,137.4,135.35,135.9,11366006
2021-07-30 13:15:00,135.95,137.0,135.65,136.5,6291078
2021-07-30 14:15:00,136.5,136.75,131.0,132.95,20598068
2021-07-30 15:15:00,132.95,134.95,132.3,133.5,8926268
2021-08-02 09:15:00,135.75,137.85,135.15,137.0,16292286
2021-08-02 10:15:00,137.0,138.75,136.55,138.0,10207698
2021-08-02 11:15:00,137.95,138.25,137.6,137.95,3998185
2021-08-02 12:15:00,137.9,139.25,137.1,138.35,8698869
2021-08-02 13:15:00,138.3,138.8,138.1,138.3,3423303
2021-08-02 14:15:00,138.25,140.75,137.95,140.05,15995952
2021-08-02 15:15:00,140.05,140.75,138.35,139.7,8282878
2021-08-03 09:15:00,137.0,140.8,137.0,138.45,15340745
2021-08-03 10:15:00,138.45,139.75,138.35,138.7,5674184
2021-08-03 11:15:00,138.65,139.3,138.5,138.8,2252063
2021-08-03 12:15:00,138.75,139.0,137.75,138.15,2615684
2021-08-03 13:15:00,138.1,140.1,138.0,139.25,5085996
2021-08-03 14:15:00,139.1,140.15,138.6,139.15,9286978
2021-08-03 15:15:00,139.15,140.2,138.3,139.4,6334229
2021-08-04 09:15:00,139.8,141.0,138.55,139.0,10492122
2021-08-04 10:15:00,139.0,139.0,136.7,137.35,5050500
2021-08-04 11:15:00,137.35,137.4,135.25,136.35,6721021
2021-08-04 12:15:00,136.35,137.3,136.1,136.75,3193974
2021-08-04 13:15:00,136.7,138.0,136.45,138.0,3776295
2021-08-04 14:15:00,138.0,139.0,137.55,138.75,7985957
2021-08-04 15:15:00,138.75,138.9,137.1,138.4,3911170
2021-08-05 09:15:00,138.75,138.9,132.0,132.8,14851720
2021-08-05 10:15:00,132.9,133.35,132.5,133.35,3980687
2021-08-05 11:15:00,133.35,134.65,133.0,134.3,4061008
2021-08-05 12:15:00,134.35,135.6,134.3,135.45,3846376
2021-08-05 13:15:00,135.45,135.8,134.1,135.0,3429922
2021-08-05 14:15:00,135.0,135.3,133.65,135.05,4847606
2021-08-05 15:15:00,135.05,135.6,134.6,134.95,3399519
2021-08-06 09:15:00,135.5,136.2,132.7,133.4,9160051
2021-08-06 10:15:00,133.4,133.75,133.0,133.1,2733605
2021-08-06 11:15:00,133.05,133.2,132.05,132.55,2894258
2021-08-06 12:15:00,132.5,132.55,132.0,132.25,2318078
2021-08-06 13:15:00,132.25,132.8,132.0,132.25,2668168
2021-08-06 14:15:00,132.25,132.3,130.5,131.75,7909844
2021-08-06 15:15:00,131.8,131.9,130.1,131.35,4259343
2021-08-09 09:15:00,132.4,133.55,130.2,130.85,8946238
2021-08-09 10:15:00,130.8,131.1,128.4,128.65,7096684
2021-08-09 11:15:00,128.65,129.65,128.5,128.7,3506646
2021-08-09 12:15:00,128.75,129.7,127.25,129.2,5859712
2021-08-09 13:15:00,129.15,129.4,127.85,128.55,3727586
2021-08-09 14:15:00,128.5,130.35,128.0,129.8,6747562
2021-08-09 15:15:00,129.9,132.0,129.85,130.6,5453056
2021-08-10 09:15:00,131.0,131.45,125.5,126.65,13345952
2021-08-10 10:15:00,126.6,127.25,126.35,126.45,3427752
2021-08-10 11:15:00,126.35,128.5,126.35,128.0,7267942
2021-08-10 12:15:00,128.0,128.6,126.25,126.75,3863786
2021-08-10 13:15:00,126.8,127.1,125.1,125.35,3906596
2021-08-10 14:15:00,125.35,126.75,125.05,126.7,5489258
2021-08-10 15:15:00,126.65,126.7,122.1,125.2,5848839
2021-08-11 09:15:00,123.0,131.8,123.0,130.7,37969248
2021-08-11 10:15:00,130.75,132.5,129.5,131.2,13471204
2021-08-11 11:15:00,131.2,132.45,130.7,131.3,10946380
2021-08-11 12:15:00,131.3,131.75,129.8,130.7,8319876
2021-08-11 13:15:00,130.7,132.4,130.7,131.95,6182197
2021-08-11 14:15:00,131.85,135.2,131.0,134.55,19597709
2021-08-11 15:15:00,134.45,138.75,134.45,135.65,15195195
2021-08-12 09:15:00,135.65,136.0,132.05,133.45,13967543
2021-08-12 10:15:00,133.5,133.65,132.3,133.3,3243865
2021-08-12 11:15:00,133.2,137.4,132.7,136.15,11724831
2021-08-12 12:15:00,136.15,137.0,136.0,136.25,4157319
2021-08-12 13:15:00,136.35,136.75,134.3,135.0,5445207
2021-08-12 14:15:00,134.95,136.2,133.5,136.05,7818263
2021-08-12 15:15:00,136.05,136.9,133.65,135.45,4892954
2021-08-13 09:15:00,133.85,135.0,132.1,134.2,6160155
