date,open,high,low,close,volume
2024-02-01 13:30:00+05:30,268.25,268.3,267.75,267.85,18716
2024-02-01 13:35:00+05:30,268.15,268.4,267.5,267.75,45824
2024-02-01 13:40:00+05:30,267.8,268.05,267.45,267.75,25380
2024-02-01 13:45:00+05:30,267.85,268.45,267.8,268.15,10535
2024-02-01 13:50:00+05:30,268.3,268.5,267.85,268.45,15157
2024-02-01 13:55:00+05:30,268.4,268.6,268.2,268.5,15070
2024-02-01 14:00:00+05:30,268.5,268.6,268.3,268.6,4192
2024-02-01 14:05:00+05:30,268.55,268.95,268.4,268.9,10302
2024-02-01 14:10:00+05:30,268.75,268.95,268.7,268.9,7470
2024-02-01 14:15:00+05:30,268.95,268.95,268.45,268.95,12044
2024-02-01 14:20:00+05:30,269.0,269.0,268.75,268.8,6225
2024-02-01 14:25:00+05:30,268.9,268.95,268.7,268.9,8926
2024-02-01 14:30:00+05:30,268.8,269.8,268.65,269.35,23047
2024-02-01 14:35:00+05:30,269.2,269.4,269.05,269.15,17551
2024-02-01 14:40:00+05:30,269.3,269.75,269.1,269.15,11829
2024-02-01 14:45:00+05:30,269.25,269.6,269.05,269.45,23108
2024-02-01 14:50:00+05:30,269.45,269.9,269.45,269.9,22337
2024-02-01 14:55:00+05:30,269.9,270.15,269.6,270.05,33905
2024-02-01 15:00:00+05:30,270.1,270.2,269.2,269.45,30740
2024-02-01 15:05:00+05:30,269.4,269.5,269.1,269.25,48129
2024-02-01 15:10:00+05:30,269.3,269.4,269.0,269.0,30932
2024-02-01 15:15:00+05:30,269.15,269.2,268.9,269.2,46302
2024-02-01 15:20:00+05:30,269.2,270.45,269.1,270.15,197814
2024-02-01 15:25:00+05:30,270.3,270.55,269.35,269.9,358259
2024-02-02 09:15:00+05:30,272.0,272.55,271.0,271.55,100215
2024-02-02 09:20:00+05:30,271.6,272.0,271.15,271.2,65098
2024-02-02 09:25:00+05:30,271.2,271.5,270.6,270.8,40527
2024-02-02 09:30:00+05:30,271.05,271.9,270.85,271.85,30961
2024-02-02 09:35:00+05:30,271.85,272.6,271.7,272.35,108829
2024-02-02 09:40:00+05:30,272.2,272.7,271.85,272.25,55526
2024-02-02 09:45:00+05:30,272.3,272.35,271.55,272.15,61432
2024-02-02 09:50:00+05:30,272.3,273.25,272.15,272.55,83286
2024-02-02 09:55:00+05:30,272.75,272.85,272.1,272.1,27374
2024-02-02 10:00:00+05:30,272.3,272.4,271.45,272.1,62381
2024-02-02 10:05:00+05:30,272.0,272.4,271.75,272.0,44515
2024-02-02 10:10:00+05:30,272.0,273.2,271.7,273.2,102782
2024-02-02 10:15:00+05:30,273.2,273.3,272.8,273.3,29597
2024-02-02 10:20:00+05:30,273.3,273.7,273.2,273.4,47601
2024-02-02 10:25:00+05:30,273.45,275.0,273.45,274.8,172749
2024-02-02 10:30:00+05:30,274.8,274.85,273.95,273.95,73139
2024-02-02 10:35:00+05:30,274.0,274.55,273.7,274.5,31526
2024-02-02 10:40:00+05:30,274.6,275.0,274.35,274.9,68228
2024-02-02 10:45:00+05:30,274.8,274.9,274.0,274.55,63467
2024-02-02 10:50:00+05:30,274.85,275.1,274.5,274.55,38591
2024-02-02 10:55:00+05:30,274.55,274.7,273.5,273.9,99069
2024-02-02 11:00:00+05:30,273.9,274.5,273.9,274.2,28450
2024-02-02 11:05:00+05:30,274.25,274.3,274.0,274.15,16724
2024-02-02 11:10:00+05:30,274.2,274.3,274.0,274.25,25547
2024-02-02 11:15:00+05:30,274.25,274.3,274.0,274.1,7557
2024-02-02 11:20:00+05:30,274.15,274.25,273.85,274.1,21744
2024-02-02 11:25:00+05:30,274.1,274.3,273.85,274.15,18380
2024-02-02 11:30:00+05:30,274.2,274.3,273.75,273.95,18391
2024-02-02 11:35:00+05:30,273.8,274.0,273.5,274.0,68278
2024-02-02 11:40:00+05:30,273.95,274.1,273.7,274.0,24973
2024-02-02 11:45:00+05:30,273.95,274.1,273.5,273.7,21175
2024-02-02 11:50:00+05:30,273.65,273.9,273.05,273.25,40999
2024-02-02 11:55:00+05:30,273.05,273.45,273.05,273.4,16551
2024-02-02 12:00:00+05:30,273.5,273.5,272.5,272.85,79279
2024-02-02 12:05:00+05:30,272.9,273.0,272.7,272.95,16104
2024-02-02 12:10:00+05:30,273.0,273.0,272.1,272.4,9185
2024-02-02 12:15:00+05:30,272.3,272.7,272.15,272.5,37492
2024-02-02 12:20:00+05:30,272.5,275.3,272.5,275.15,153365
2024-02-02 12:25:00+05:30,275.15,275.15,273.75,274.9,137761
2024-02-02 12:30:00+05:30,274.65,275.0,273.55,274.75,89433
2024-02-02 12:35:00+05:30,274.8,275.1,273.7,275.1,179995
2024-02-02 12:40:00+05:30,275.1,276.25,274.75,276.25,166303
2024-02-02 12:45:00+05:30,276.2,280.6,275.95,276.95,561855
2024-02-02 12:50:00+05:30,276.9,280.35,276.45,278.35,243169
2024-02-02 12:55:00+05:30,278.85,279.0,277.2,277.7,146004
2024-02-02 13:00:00+05:30,277.6,278.4,276.5,277.8,181382
2024-02-02 13:05:00+05:30,277.8,277.95,277.15,277.7,66661
2024-02-02 13:10:00+05:30,277.85,278.8,277.4,277.4,57051
2024-02-02 13:15:00+05:30,277.6,278.0,277.05,277.55,43088
2024-02-02 13:20:00+05:30,277.45,277.45,276.05,276.2,45528
2024-02-02 13:25:00+05:30,276.05,276.3,275.5,276.3,43889
2024-02-02 13:30:00+05:30,276.3,276.3,275.05,275.7,70102
2024-02-02 13:35:00+05:30,275.9,277.0,275.35,276.65,58056
2024-02-02 13:40:00+05:30,276.7,276.75,275.55,275.65,16405
2024-02-02 13:45:00+05:30,275.7,276.1,275.2,275.2,17626
2024-02-02 13:50:00+05:30,275.4,275.9,275.25,275.75,18964
2024-02-02 13:55:00+05:30,275.7,276.25,275.15,276.25,82791
2024-02-02 14:00:00+05:30,276.25,276.7,275.85,276.25,21505
2024-02-02 14:05:00+05:30,276.05,276.4,275.7,276.25,43557
2024-02-02 14:10:00+05:30,276.05,276.5,276.0,276.35,22083
2024-02-02 14:15:00+05:30,276.1,276.25,275.5,275.8,59266
2024-02-02 14:20:00+05:30,275.8,276.3,275.6,276.0,38517
2024-02-02 14:25:00+05:30,275.9,276.0,275.0,275.15,71255
2024-02-02 14:30:00+05:30,275.15,275.45,273.95,274.3,78622
2024-02-02 14:35:00+05:30,274.1,274.45,273.8,273.95,58192
2024-02-02 14:40:00+05:30,274.0,275.25,273.6,275.2,52048
2024-02-02 14:45:00+05:30,275.35,275.35,274.7,274.9,63342
2024-02-02 14:50:00+05:30,275.05,275.35,274.7,275.15,65800
2024-02-02 14:55:00+05:30,275.0,275.25,273.95,274.5,69761
2024-02-02 15:00:00+05:30,274.6,274.9,273.65,273.9,95738
2024-02-02 15:05:00+05:30,274.0,275.95,274.0,275.25,97636
2024-02-02 15:10:00+05:30,275.25,275.6,275.0,275.15,102489
2024-02-02 15:15:00+05:30,275.15,275.15,274.35,274.65,170131
2024-02-02 15:20:00+05:30,274.65,274.75,274.25,274.35,150881
2024-02-02 15:25:00+05:30,274.6,275.5,274.25,275.0,144575
2024-02-05 09:15:00+05:30,275.95,278.4,275.35,278.25,149080
2024-02-05 09:20:00+05:30,278.2,279.25,278.0,278.5,179811
2024-02-05 09:25:00+05:30,278.55,279.05,278.4,278.6,103913
2024-02-05 09:30:00+05:30,278.25,278.25,277.35,277.8,134284
2024-02-05 09:35:00+05:30,277.75,279.5,277.6,279.4,114281
2024-02-05 09:40:00+05:30,279.5,279.6,278.25,278.4,123350
2024-02-05 09:45:00+05:30,278.3,279.05,277.65,277.95,105198
2024-02-05 09:50:00+05:30,277.95,278.0,277.4,277.95,54880
2024-02-05 09:55:00+05:30,278.0,279.15,277.75,279.1,64039
2024-02-05 10:00:00+05:30,279.15,279.25,278.35,278.35,37640
2024-02-05 10:05:00+05:30,278.6,279.4,278.35,279.4,62439
2024-02-05 10:10:00+05:30,279.2,279.4,278.25,278.9,76076
2024-02-05 10:15:00+05:30,278.9,279.4,277.5,278.3,100668
2024-02-05 10:20:00+05:30,278.05,278.3,277.0,277.4,63373
2024-02-05 10:25:00+05:30,277.4,278.0,276.7,278.0,159828
2024-02-05 10:30:00+05:30,278.0,278.0,276.85,277.1,338991
2024-02-05 10:35:00+05:30,277.35,277.65,276.65,277.0,58196
2024-02-05 10:40:00+05:30,277.15,277.6,277.0,277.2,34493
2024-02-05 10:45:00+05:30,277.15,277.4,277.1,277.2,36142
2024-02-05 10:50:00+05:30,277.15,277.4,276.7,276.9,51611
2024-02-05 10:55:00+05:30,277.0,277.35,276.85,277.0,92480
2024-02-05 11:00:00+05:30,277.25,277.35,276.8,276.8,72504
2024-02-05 11:05:00+05:30,276.95,277.25,276.75,277.25,31323
2024-02-05 11:10:00+05:30,277.3,279.0,277.3,279.0,62109
2024-02-05 11:15:00+05:30,278.8,284.2,278.75,282.45,587742
2024-02-05 11:20:00+05:30,282.2,282.95,281.75,282.2,202783
2024-02-05 11:25:00+05:30,282.15,283.2,281.45,282.75,182424
2024-02-05 11:30:00+05:30,282.45,284.55,282.05,283.25,294862
2024-02-05 11:35:00+05:30,283.25,284.7,283.25,284.45,178002
2024-02-05 11:40:00+05:30,284.45,284.65,282.6,282.6,114743
2024-02-05 11:45:00+05:30,282.5,284.15,282.5,284.05,71210
2024-02-05 11:50:00+05:30,284.0,285.7,283.4,285.7,294103
2024-02-05 11:55:00+05:30,285.7,285.8,284.6,285.25,178294
2024-02-05 12:00:00+05:30,285.3,285.6,285.0,285.3,117613
2024-02-05 12:05:00+05:30,285.3,286.7,285.25,286.1,139011
2024-02-05 12:10:00+05:30,286.1,286.2,285.2,286.1,121944
2024-02-05 12:15:00+05:30,286.1,288.0,285.9,287.5,656026
2024-02-05 12:20:00+05:30,287.35,287.65,286.0,286.0,109407
2024-02-05 12:25:00+05:30,286.25,286.4,285.4,285.7,118242
2024-02-05 12:30:00+05:30,285.9,286.0,284.55,285.25,167484
2024-02-05 12:35:00+05:30,285.05,285.55,285.0,285.15,44171
2024-02-05 12:40:00+05:30,285.4,285.95,284.7,285.95,84651
2024-02-05 12:45:00+05:30,285.8,286.15,285.55,286.1,90807
2024-02-05 12:50:00+05:30,286.05,286.9,285.95,286.45,141942
2024-02-05 12:55:00+05:30,286.3,286.6,285.8,285.9,71782
2024-02-05 13:00:00+05:30,285.95,286.8,285.7,286.4,108340
2024-02-05 13:05:00+05:30,286.6,286.65,285.85,285.85,88985
2024-02-05 13:10:00+05:30,285.85,285.95,285.4,285.9,55454
2024-02-05 13:15:00+05:30,285.85,287.0,285.85,286.9,93254
2024-02-05 13:20:00+05:30,286.9,287.3,286.6,286.8,122661
2024-02-05 13:25:00+05:30,286.85,288.15,286.5,287.25,220907
2024-02-05 13:30:00+05:30,287.3,288.65,287.2,288.45,212263
2024-02-05 13:35:00+05:30,288.6,288.6,287.5,288.1,94384
2024-02-05 13:40:00+05:30,288.2,288.35,287.8,288.0,66102
2024-02-05 13:45:00+05:30,288.0,288.35,287.75,288.25,85800
2024-02-05 13:50:00+05:30,288.0,288.45,287.5,287.8,53980
2024-02-05 13:55:00+05:30,287.8,287.8,286.85,287.3,84854
2024-02-05 14:00:00+05:30,287.35,289.0,287.1,288.1,195509
2024-02-05 14:05:00+05:30,288.1,288.8,288.0,288.4,88367
2024-02-05 14:10:00+05:30,288.3,288.35,286.9,288.25,120145
2024-02-05 14:15:00+05:30,288.4,289.45,288.0,289.1,170075
2024-02-05 14:20:00+05:30,288.95,289.2,287.85,288.0,129329
2024-02-05 14:25:00+05:30,288.1,288.2,286.75,286.95,152588
2024-02-05 14:30:00+05:30,287.0,287.0,285.85,286.4,183768
2024-02-05 14:35:00+05:30,286.35,286.45,284.25,284.25,322587
2024-02-05 14:40:00+05:30,284.25,285.0,283.45,283.9,198076
2024-02-05 14:45:00+05:30,283.65,284.5,282.6,284.45,172533
2024-02-05 14:50:00+05:30,284.5,284.8,283.6,283.9,69603
2024-02-05 14:55:00+05:30,283.95,284.0,282.6,282.95,76298
2024-02-05 15:00:00+05:30,282.95,285.0,282.9,285.0,243301
2024-02-05 15:05:00+05:30,284.95,285.1,284.7,284.8,130216
2024-02-05 15:10:00+05:30,284.95,285.15,284.85,285.0,105237
2024-02-05 15:15:00+05:30,284.9,285.0,284.25,284.5,141121
2024-02-05 15:20:00+05:30,284.5,285.0,284.35,285.0,143795
2024-02-05 15:25:00+05:30,285.0,285.2,284.8,285.0,151705
2024-02-06 09:15:00+05:30,286.4,290.9,286.0,287.9,368823
2024-02-06 09:20:00+05:30,287.7,288.9,286.6,288.85,271982
2024-02-06 09:25:00+05:30,288.9,289.25,287.6,288.65,212731
2024-02-06 09:30:00+05:30,288.65,288.65,287.05,287.6,111476
2024-02-06 09:35:00+05:30,287.6,287.7,286.9,287.35,52497
2024-02-06 09:40:00+05:30,287.35,288.4,286.7,287.4,122845
2024-02-06 09:45:00+05:30,287.4,288.0,287.2,287.8,92149
