date,open,high,low,close,volume
2024-02-01 13:40:00+05:30,172.7,173.0,172.35,173.0,293404
2024-02-01 13:45:00+05:30,172.9,173.0,172.6,172.9,154654
2024-02-01 13:50:00+05:30,172.9,173.0,172.7,172.8,76755
2024-02-01 13:55:00+05:30,172.9,173.2,172.75,173.15,315360
2024-02-01 14:00:00+05:30,173.15,173.2,173.0,173.2,202968
2024-02-01 14:05:00+05:30,173.2,173.5,173.1,173.5,279611
2024-02-01 14:10:00+05:30,173.45,173.45,173.3,173.3,94743
2024-02-01 14:15:00+05:30,173.3,173.4,173.1,173.4,105074
2024-02-01 14:20:00+05:30,173.4,173.6,173.3,173.6,175055
2024-02-01 14:25:00+05:30,173.6,173.8,173.5,173.8,238794
2024-02-01 14:30:00+05:30,173.7,173.8,173.5,173.5,88057
2024-02-01 14:35:00+05:30,173.5,173.55,173.2,173.2,168147
2024-02-01 14:40:00+05:30,173.3,173.5,173.2,173.3,92216
2024-02-01 14:45:00+05:30,173.35,173.8,173.3,173.8,173442
2024-02-01 14:50:00+05:30,173.7,173.8,173.45,173.7,187353
2024-02-01 14:55:00+05:30,173.65,173.7,173.45,173.65,135714
2024-02-01 15:00:00+05:30,173.65,173.8,173.45,173.7,410019
2024-02-01 15:05:00+05:30,173.7,173.8,173.65,173.7,363902
2024-02-01 15:10:00+05:30,173.75,173.75,173.5,173.65,437217
2024-02-01 15:15:00+05:30,173.6,173.85,173.55,173.7,997105
2024-02-01 15:20:00+05:30,173.8,173.9,173.6,173.7,539949
2024-02-01 15:25:00+05:30,173.7,173.8,173.5,173.7,486516
2024-02-02 09:15:00+05:30,175.9,175.9,175.1,175.65,1605045
2024-02-02 09:20:00+05:30,175.7,176.1,175.45,175.65,943405
2024-02-02 09:25:00+05:30,175.65,175.75,175.35,175.6,616532
2024-02-02 09:30:00+05:30,175.75,176.65,175.4,176.65,890517
2024-02-02 09:35:00+05:30,176.6,176.65,175.95,176.1,621414
2024-02-02 09:40:00+05:30,176.15,176.9,175.8,176.9,1443035
2024-02-02 09:45:00+05:30,176.9,177.0,176.1,176.35,487844
2024-02-02 09:50:00+05:30,176.15,176.4,176.15,176.25,270150
