date,open,high,low,close,volume
2024-02-01 13:40:00+05:30,77.6,77.8,77.4,77.7,195254
2024-02-01 13:45:00+05:30,77.7,77.85,77.65,77.8,75690
2024-02-01 13:50:00+05:30,77.75,77.85,77.7,77.8,72798
2024-02-01 13:55:00+05:30,77.85,77.9,77.75,77.85,119138
2024-02-01 14:00:00+05:30,77.85,78.15,77.85,78.15,193222
2024-02-01 14:05:00+05:30,78.15,78.4,78.1,78.35,332183
2024-02-01 14:10:00+05:30,78.4,78.5,78.4,78.4,328487
2024-02-01 14:15:00+05:30,78.4,78.4,78.1,78.2,192217
2024-02-01 14:20:00+05:30,78.2,78.45,78.15,78.35,240267
2024-02-01 14:25:00+05:30,78.35,78.95,78.35,78.85,942750
2024-02-01 14:30:00+05:30,78.8,78.95,78.5,78.5,294896
2024-02-01 14:35:00+05:30,78.55,78.6,78.35,78.45,189943
2024-02-01 14:40:00+05:30,78.5,78.5,78.3,78.4,143543
2024-02-01 14:45:00+05:30,78.4,78.6,78.35,78.6,243085
2024-02-01 14:50:00+05:30,78.5,78.65,78.5,78.6,339971
2024-02-01 14:55:00+05:30,78.55,78.7,78.55,78.65,235765
2024-02-01 15:00:00+05:30,78.6,78.8,78.55,78.65,403637
2024-02-01 15:05:00+05:30,78.65,78.75,78.6,78.7,475544
2024-02-01 15:10:00+05:30,78.65,78.95,78.45,78.8,569316
2024-02-01 15:15:00+05:30,78.85,78.9,78.55,78.7,1050064
2024-02-01 15:20:00+05:30,78.7,79.5,78.65,79.45,1661311
2024-02-01 15:25:00+05:30,79.5,79.95,79.35,79.8,1974561
2024-02-02 09:15:00+05:30,79.75,81.3,79.65,81.05,3567201
2024-02-02 09:20:00+05:30,80.95,81.4,80.75,81.4,1806694
2024-02-02 09:25:00+05:30,81.3,81.3,80.45,80.75,1328750
2024-02-02 09:30:00+05:30,80.75,81.45,80.65,81.45,1109844
2024-02-02 09:35:00+05:30,81.4,81.9,81.3,81.9,2204442
2024-02-02 09:40:00+05:30,82.0,82.9,81.95,82.85,5023086
2024-02-02 09:45:00+05:30,82.9,83.4,82.45,83.4,3772356
2024-02-02 09:50:00+05:30,83.4,84.0,82.9,83.85,4529160
2024-02-02 09:55:00+05:30,83.85,84.3,83.65,84.3,4138552
2024-02-02 10:00:00+05:30,84.25,84.8,84.0,84.5,6268504
2024-02-02 10:05:00+05:30,84.4,84.4,83.55,83.65,4055995
2024-02-02 10:10:00+05:30,83.65,83.85,83.35,83.6,1902657
2024-02-02 10:15:00+05:30,83.6,83.85,83.4,83.8,1767497
2024-02-02 10:20:00+05:30,83.75,84.7,83.65,84.65,3120140
2024-02-02 10:25:00+05:30,84.65,85.1,84.45,85.05,2844647
2024-02-02 10:30:00+05:30,85.05,85.85,85.0,85.8,6370648
2024-02-02 10:35:00+05:30,85.85,86.35,85.7,86.3,4631779
2024-02-02 10:40:00+05:30,86.35,86.35,85.2,85.85,3954671
2024-02-02 10:45:00+05:30,85.85,86.0,85.0,85.25,5796038
2024-02-02 10:50:00+05:30,85.25,85.4,85.2,85.35,1347468
2024-02-02 10:55:00+05:30,85.3,85.7,84.85,85.65,1712855
2024-02-02 11:00:00+05:30,85.7,86.15,85.6,85.9,2296691
2024-02-02 11:05:00+05:30,85.9,86.6,85.7,86.55,4417065
2024-02-02 11:10:00+05:30,86.55,86.75,86.45,86.6,2965623
2024-02-02 11:15:00+05:30,86.6,87.0,86.5,86.8,5341625
2024-02-02 11:20:00+05:30,86.75,86.8,86.05,86.15,2998690
2024-02-02 11:25:00+05:30,86.2,86.75,86.05,86.15,1917708
2024-02-02 11:30:00+05:30,86.25,86.25,85.9,86.05,1017958
2024-02-02 11:35:00+05:30,86.05,86.05,85.5,85.65,1172107
2024-02-02 11:40:00+05:30,85.55,85.9,85.25,85.4,857227
2024-02-02 11:45:00+05:30,85.45,85.75,85.3,85.5,731317
2024-02-02 11:50:00+05:30,85.5,85.6,85.1,85.15,648051
2024-02-02 11:55:00+05:30,85.05,85.25,85.0,85.1,886627
2024-02-02 12:00:00+05:30,85.1,85.2,84.65,84.7,1112727
2024-02-02 12:05:00+05:30,84.75,85.0,84.65,84.9,710530
2024-02-02 12:10:00+05:30,85.0,85.0,84.55,84.75,553627
2024-02-02 12:15:00+05:30,84.7,84.95,84.7,84.8,351908
2024-02-02 12:20:00+05:30,84.8,84.8,84.55,84.55,471225
2024-02-02 12:25:00+05:30,84.55,84.75,84.15,84.3,1119012
2024-02-02 12:30:00+05:30,84.3,84.3,83.85,84.2,1147202
2024-02-02 12:35:00+05:30,84.25,84.35,83.9,84.3,592056
2024-02-02 12:40:00+05:30,84.4,84.65,84.05,84.15,468881
2024-02-02 12:45:00+05:30,84.15,84.25,83.65,83.7,721856
2024-02-02 12:50:00+05:30,83.7,84.45,83.6,84.4,665901
2024-02-02 12:55:00+05:30,84.15,84.35,84.05,84.1,270166
2024-02-02 13:00:00+05:30,84.05,84.65,83.95,84.55,712640
