date,open,high,low,close,volume
2024-02-01 13:50:00+05:30,573.25,573.7,572.3,572.6,28354
2024-02-01 13:55:00+05:30,572.6,573.35,572.2,573.1,28246
2024-02-01 14:00:00+05:30,573.05,573.35,572.25,572.55,22433
2024-02-01 14:05:00+05:30,572.6,572.95,572.15,572.55,40335
2024-02-01 14:10:00+05:30,572.5,572.6,572.25,572.35,18436
2024-02-01 14:15:00+05:30,572.55,572.8,572.0,572.8,20004
2024-02-01 14:20:00+05:30,572.9,573.3,572.65,572.85,19840
2024-02-01 14:25:00+05:30,572.85,572.85,572.3,572.8,22058
2024-02-01 14:30:00+05:30,572.9,573.1,572.55,572.65,20395
2024-02-01 14:35:00+05:30,572.75,572.75,571.85,572.0,26717
2024-02-01 14:40:00+05:30,572.0,572.45,571.95,571.95,21069
2024-02-01 14:45:00+05:30,571.9,572.6,571.85,572.6,34832
2024-02-01 14:50:00+05:30,572.55,572.55,571.5,571.8,63555
2024-02-01 14:55:00+05:30,571.65,572.65,571.55,572.1,95452
2024-02-01 15:00:00+05:30,572.3,572.3,571.15,571.6,152554
2024-02-01 15:05:00+05:30,571.4,571.95,570.95,570.95,95547
2024-02-01 15:10:00+05:30,571.05,571.85,570.35,570.4,141819
2024-02-01 15:15:00+05:30,570.45,571.6,570.35,571.0,131742
2024-02-01 15:20:00+05:30,571.15,571.15,570.5,570.95,113151
2024-02-01 15:25:00+05:30,570.95,571.95,570.85,571.7,120996
2024-02-02 09:15:00+05:30,577.0,577.7,573.3,574.9,136641
2024-02-02 09:20:00+05:30,574.9,575.75,574.0,575.35,78997
2024-02-02 09:25:00+05:30,575.35,576.45,575.35,575.7,81643
2024-02-02 09:30:00+05:30,575.9,576.15,574.55,575.75,72511
2024-02-02 09:35:00+05:30,576.0,577.1,575.55,576.25,124557
2024-02-02 09:40:00+05:30,576.5,576.95,575.45,576.0,67853
2024-02-02 09:45:00+05:30,575.95,575.95,574.7,575.65,55620
2024-02-02 09:50:00+05:30,575.65,577.5,574.6,577.1,81295
2024-02-02 09:55:00+05:30,577.15,577.25,575.5,575.8,43672
2024-02-02 10:00:00+05:30,575.75,576.65,575.3,576.65,39988
2024-02-02 10:05:00+05:30,576.35,576.7,575.65,576.4,38337
2024-02-02 10:10:00+05:30,576.6,576.8,575.55,575.75,42429
2024-02-02 10:15:00+05:30,575.7,576.4,575.5,575.65,34310
2024-02-02 10:20:00+05:30,575.95,576.05,575.2,575.65,40567
2024-02-02 10:25:00+05:30,575.7,576.0,575.25,575.65,38304
2024-02-02 10:30:00+05:30,575.65,578.0,575.65,577.7,56145
2024-02-02 10:35:00+05:30,577.7,579.5,577.6,579.25,108408
2024-02-02 10:40:00+05:30,579.0,579.4,578.0,579.2,115413
2024-02-02 10:45:00+05:30,579.2,580.75,578.95,580.25,146511
2024-02-02 10:50:00+05:30,580.25,580.7,579.0,579.15,82870
