date,open,high,low,close,volume
2024-02-01 13:55:00+05:30,83.15,83.15,83.05,83.15,127061
2024-02-01 14:00:00+05:30,83.15,83.2,83.05,83.2,236345
2024-02-01 14:05:00+05:30,83.1,83.2,83.1,83.2,199183
2024-02-01 14:10:00+05:30,83.15,83.25,83.1,83.15,223850
2024-02-01 14:15:00+05:30,83.25,83.25,83.0,83.1,217298
2024-02-01 14:20:00+05:30,83.15,83.25,83.1,83.15,249201
2024-02-01 14:25:00+05:30,83.2,83.25,83.15,83.25,224756
2024-02-01 14:30:00+05:30,83.3,83.3,83.1,83.2,241758
2024-02-01 14:35:00+05:30,83.2,83.3,83.1,83.25,285602
2024-02-01 14:40:00+05:30,83.25,83.25,83.15,83.2,204740
2024-02-01 14:45:00+05:30,83.2,83.3,83.15,83.25,311789
2024-02-01 14:50:00+05:30,83.2,83.45,83.2,83.45,372644
2024-02-01 14:55:00+05:30,83.4,83.45,83.3,83.4,346563
2024-02-01 15:00:00+05:30,83.35,83.45,83.3,83.45,603947
2024-02-01 15:05:00+05:30,83.45,83.5,83.35,83.4,670665
2024-02-01 15:10:00+05:30,83.4,83.45,83.3,83.35,421845
2024-02-01 15:15:00+05:30,83.35,83.35,83.25,83.35,577470
2024-02-01 15:20:00+05:30,83.3,83.45,83.3,83.4,876383
2024-02-01 15:25:00+05:30,83.45,83.45,83.3,83.45,699246
2024-02-02 09:15:00+05:30,84.0,84.2,83.85,84.0,754451
2024-02-02 09:20:00+05:30,84.0,84.0,83.75,83.9,712790
2024-02-02 09:25:00+05:30,83.95,84.0,83.85,83.9,373130
2024-02-02 09:30:00+05:30,83.9,84.05,83.75,84.0,682177
2024-02-02 09:35:00+05:30,84.0,84.2,83.9,84.1,663092
2024-02-02 09:40:00+05:30,84.1,84.25,84.05,84.2,466330
2024-02-02 09:45:00+05:30,84.2,84.3,84.05,84.3,503352
2024-02-02 09:50:00+05:30,84.3,84.35,84.25,84.3,546429
2024-02-02 09:55:00+05:30,84.3,84.4,84.25,84.35,236616
2024-02-02 10:00:00+05:30,84.35,84.45,84.35,84.4,488049
2024-02-02 10:05:00+05:30,84.45,84.5,84.25,84.25,390804
2024-02-02 10:10:00+05:30,84.3,84.4,84.2,84.4,375322
2024-02-02 10:15:00+05:30,84.35,84.4,84.15,84.15,567546
2024-02-02 10:20:00+05:30,84.2,84.35,84.15,84.25,477058
2024-02-02 10:25:00+05:30,84.35,84.4,84.25,84.4,338309
2024-02-02 10:30:00+05:30,84.4,84.4,84.25,84.3,322259
2024-02-02 10:35:00+05:30,84.3,84.4,84.25,84.3,404736
2024-02-02 10:40:00+05:30,84.35,84.35,84.1,84.3,353946
2024-02-02 10:45:00+05:30,84.3,84.35,84.2,84.25,215922
2024-02-02 10:50:00+05:30,84.35,84.35,84.25,84.35,267720
2024-02-02 10:55:00+05:30,84.35,84.35,84.2,84.25,187401
2024-02-02 11:00:00+05:30,84.25,84.3,84.1,84.1,485122
2024-02-02 11:05:00+05:30,84.1,84.15,84.0,84.05,672473
2024-02-02 11:10:00+05:30,84.1,84.15,84.0,84.15,474347
2024-02-02 11:15:00+05:30,84.1,84.1,83.65,83.7,1034593
2024-02-02 11:20:00+05:30,83.75,83.8,83.65,83.75,590847
2024-02-02 11:25:00+05:30,83.75,83.75,83.6,83.65,471929
2024-02-02 11:30:00+05:30,83.65,83.7,83.6,83.65,598240
2024-02-02 11:35:00+05:30,83.65,83.75,83.55,83.75,404050
2024-02-02 11:40:00+05:30,83.75,83.85,83.65,83.7,864107
2024-02-02 11:45:00+05:30,83.7,83.7,83.6,83.7,318066
2024-02-02 11:50:00+05:30,83.65,83.75,83.6,83.65,339893
2024-02-02 11:55:00+05:30,83.75,83.85,83.7,83.8,330545
2024-02-02 12:00:00+05:30,83.85,83.9,83.8,83.85,277598
2024-02-02 12:05:00+05:30,83.9,83.9,83.7,83.75,299061
2024-02-02 12:10:00+05:30,83.8,83.8,83.6,83.6,250400
2024-02-02 12:15:00+05:30,83.6,83.65,83.55,83.6,265986
2024-02-02 12:20:00+05:30,83.55,83.6,83.5,83.55,246567
2024-02-02 12:25:00+05:30,83.55,83.6,83.35,83.35,596621
2024-02-02 12:30:00+05:30,83.35,83.4,83.05,83.35,643108
2024-02-02 12:35:00+05:30,83.3,83.3,83.05,83.2,289787
2024-02-02 12:40:00+05:30,83.2,83.35,83.15,83.3,394934
2024-02-02 12:45:00+05:30,83.3,83.3,83.0,83.1,898926
2024-02-02 12:50:00+05:30,83.0,83.2,82.95,83.2,517419
2024-02-02 12:55:00+05:30,83.2,83.2,82.95,83.0,221426
2024-02-02 13:00:00+05:30,83.0,83.15,82.95,83.0,318445
2024-02-02 13:05:00+05:30,82.95,83.05,82.75,82.85,526546
2024-02-02 13:10:00+05:30,82.8,82.95,82.8,82.85,281608
2024-02-02 13:15:00+05:30,82.8,83.05,82.75,83.0,686837
2024-02-02 13:20:00+05:30,83.0,83.0,82.8,82.85,238174
2024-02-02 13:25:00+05:30,82.85,83.0,82.8,82.95,216654
2024-02-02 13:30:00+05:30,82.95,83.0,82.8,82.95,212651
2024-02-02 13:35:00+05:30,82.9,83.0,82.85,83.0,287700
2024-02-02 13:40:00+05:30,83.05,83.05,82.85,82.95,348118
2024-02-02 13:45:00+05:30,83.0,83.05,82.9,83.0,210342
2024-02-02 13:50:00+05:30,83.0,83.0,82.9,83.0,177024
2024-02-02 13:55:00+05:30,82.9,83.15,82.9,83.15,247174
2024-02-02 14:00:00+05:30,83.15,83.15,83.0,83.05,177676
2024-02-02 14:05:00+05:30,83.05,83.1,82.95,83.1,214309
2024-02-02 14:10:00+05:30,83.0,83.05,82.95,83.05,260824
2024-02-02 14:15:00+05:30,83.05,83.1,82.95,83.0,210231
2024-02-02 14:20:00+05:30,83.0,83.05,82.95,83.0,225958
2024-02-02 14:25:00+05:30,83.05,83.1,82.95,82.95,309423
2024-02-02 14:30:00+05:30,83.0,83.05,82.9,82.95,214594
2024-02-02 14:35:00+05:30,83.0,83.05,82.9,82.95,324110
2024-02-02 14:40:00+05:30,82.9,83.15,82.9,83.1,651669
2024-02-02 14:45:00+05:30,83.1,83.2,83.0,83.05,314912
2024-02-02 14:50:00+05:30,83.05,83.15,82.7,82.8,667527
2024-02-02 14:55:00+05:30,82.8,82.8,82.6,82.7,464120
2024-02-02 15:00:00+05:30,82.7,82.8,82.5,82.55,655433
2024-02-02 15:05:00+05:30,82.55,82.75,82.5,82.65,537629
2024-02-02 15:10:00+05:30,82.65,82.7,82.55,82.6,521908
2024-02-02 15:15:00+05:30,82.6,82.6,82.5,82.5,807139
2024-02-02 15:20:00+05:30,82.5,82.55,82.4,82.5,660939
2024-02-02 15:25:00+05:30,82.5,82.6,82.45,82.6,601303
2024-02-05 09:15:00+05:30,83.2,83.2,82.3,82.4,2054676
2024-02-05 09:20:00+05:30,82.3,82.7,82.0,82.7,2036604
2024-02-05 09:25:00+05:30,82.7,83.4,82.7,83.4,2161814
2024-02-05 09:30:00+05:30,83.35,83.6,83.2,83.55,1271367
2024-02-05 09:35:00+05:30,83.6,83.75,83.5,83.65,1090986
2024-02-05 09:40:00+05:30,83.6,83.65,83.4,83.4,1063245
2024-02-05 09:45:00+05:30,83.4,83.6,83.4,83.55,429497
2024-02-05 09:50:00+05:30,83.65,83.65,83.35,83.4,458386
2024-02-05 09:55:00+05:30,83.35,83.4,83.2,83.2,203869
2024-02-05 10:00:00+05:30,83.3,83.4,83.1,83.1,279246
2024-02-05 10:05:00+05:30,83.1,83.3,83.0,83.25,391681
2024-02-05 10:10:00+05:30,83.2,83.3,83.0,83.15,241106
2024-02-05 10:15:00+05:30,83.15,83.2,83.0,83.15,547846
2024-02-05 10:20:00+05:30,83.15,83.15,82.95,83.05,267110
2024-02-05 10:25:00+05:30,83.15,83.15,83.0,83.05,173839
2024-02-05 10:30:00+05:30,83.0,83.05,82.9,83.0,268497
2024-02-05 10:35:00+05:30,83.0,83.05,82.9,82.95,234522
2024-02-05 10:40:00+05:30,82.95,83.0,82.9,82.9,156931
2024-02-05 10:45:00+05:30,82.9,83.0,82.75,82.75,274393
2024-02-05 10:50:00+05:30,82.8,82.95,82.75,82.95,233910
2024-02-05 10:55:00+05:30,82.95,83.1,82.95,83.1,242584
2024-02-05 11:00:00+05:30,83.1,83.15,83.0,83.1,237925
2024-02-05 11:05:00+05:30,83.1,83.15,83.05,83.15,133267
2024-02-05 11:10:00+05:30,83.2,83.3,83.1,83.25,383983
2024-02-05 11:15:00+05:30,83.3,83.35,83.1,83.15,695596
2024-02-05 11:20:00+05:30,83.15,83.2,82.95,83.1,308087
2024-02-05 11:25:00+05:30,83.1,83.1,82.95,83.0,163131
2024-02-05 11:30:00+05:30,83.1,83.15,82.9,83.0,270245
2024-02-05 11:35:00+05:30,83.0,83.05,82.95,83.0,141962
2024-02-05 11:40:00+05:30,83.0,83.0,82.85,82.85,218683
2024-02-05 11:45:00+05:30,82.9,83.0,82.85,82.9,239056
2024-02-05 11:50:00+05:30,82.9,83.1,82.85,83.1,381518
