date,open,high,low,close,volume
2024-02-01 14:05:00+05:30,495.4,495.95,495.1,495.95,9586
2024-02-01 14:10:00+05:30,495.95,496.0,494.5,494.5,8402
2024-02-01 14:15:00+05:30,494.5,495.15,494.0,494.95,4320
2024-02-01 14:20:00+05:30,494.95,495.6,494.5,495.5,3941
2024-02-01 14:25:00+05:30,495.15,495.8,494.7,495.4,14752
2024-02-01 14:30:00+05:30,495.1,495.85,494.9,495.3,4606
2024-02-01 14:35:00+05:30,495.3,495.6,494.15,494.15,6421
2024-02-01 14:40:00+05:30,494.35,494.95,494.0,494.3,13473
2024-02-01 14:45:00+05:30,494.7,495.65,494.35,495.6,12066
2024-02-01 14:50:00+05:30,495.5,496.2,495.2,495.5,18639
2024-02-01 14:55:00+05:30,495.8,495.85,493.05,493.05,57978
2024-02-01 15:00:00+05:30,493.25,493.4,491.55,492.25,91887
2024-02-01 15:05:00+05:30,492.45,492.45,490.35,491.35,54014
2024-02-01 15:10:00+05:30,491.65,494.0,491.65,491.85,202545
2024-02-01 15:15:00+05:30,492.0,492.0,490.25,490.8,68251
2024-02-01 15:20:00+05:30,490.55,491.65,490.05,490.8,32586
2024-02-01 15:25:00+05:30,491.0,491.05,490.1,490.5,76649
2024-02-02 09:15:00+05:30,494.8,498.55,494.35,498.05,83908
2024-02-02 09:20:00+05:30,498.05,501.0,497.5,500.55,58863
2024-02-02 09:25:00+05:30,500.25,501.4,499.3,500.65,61403
2024-02-02 09:30:00+05:30,500.85,501.4,499.3,500.6,34562
2024-02-02 09:35:00+05:30,500.45,500.45,498.6,498.75,22371
2024-02-02 09:40:00+05:30,498.85,499.05,496.4,498.0,27106
2024-02-02 09:45:00+05:30,499.45,499.5,493.55,493.75,102143
2024-02-02 09:50:00+05:30,493.9,494.4,493.05,493.85,39041
2024-02-02 09:55:00+05:30,493.9,494.45,493.7,494.25,30876
2024-02-02 10:00:00+05:30,494.35,494.45,491.5,491.5,116008
2024-02-02 10:05:00+05:30,491.9,492.0,490.85,490.85,40122
2024-02-02 10:10:00+05:30,491.2,492.0,489.25,489.9,73018
2024-02-02 10:15:00+05:30,489.9,491.35,489.5,490.5,78653
2024-02-02 10:20:00+05:30,490.75,490.9,490.1,490.35,25120
2024-02-02 10:25:00+05:30,490.8,491.0,489.55,490.0,32074
2024-02-02 10:30:00+05:30,489.95,490.0,489.55,490.0,11865
2024-02-02 10:35:00+05:30,490.0,490.75,489.7,490.0,32626
2024-02-02 10:40:00+05:30,489.5,490.0,489.1,489.95,20761
2024-02-02 10:45:00+05:30,489.9,490.0,489.3,489.65,24985
2024-02-02 10:50:00+05:30,489.95,490.0,489.5,489.9,9723
2024-02-02 10:55:00+05:30,489.55,489.9,487.35,487.9,46457
2024-02-02 11:00:00+05:30,487.65,488.5,487.2,488.15,16911
2024-02-02 11:05:00+05:30,488.35,488.35,487.55,487.75,28765
2024-02-02 11:10:00+05:30,487.8,488.0,486.8,486.8,47297
2024-02-02 11:15:00+05:30,486.55,488.2,486.55,487.3,19310
2024-02-02 11:20:00+05:30,487.05,488.0,487.0,487.65,41426
2024-02-02 11:25:00+05:30,487.95,487.95,487.1,487.35,13369
2024-02-02 11:30:00+05:30,487.6,487.6,486.45,486.95,33369
2024-02-02 11:35:00+05:30,487.05,487.5,486.55,486.95,21362
