date,open,high,low,close,volume
2024-02-01 13:40:00+05:30,160.15,160.15,160.0,160.0,54166
2024-02-01 13:45:00+05:30,160.0,160.05,160.0,160.0,19722
2024-02-01 13:50:00+05:30,160.05,160.05,160.0,160.0,34181
2024-02-01 13:55:00+05:30,160.0,160.4,159.9,160.0,134173
2024-02-01 14:00:00+05:30,160.0,160.35,159.9,160.3,44382
2024-02-01 14:05:00+05:30,160.2,160.75,160.2,160.55,61691
2024-02-01 14:10:00+05:30,160.6,160.75,160.55,160.6,34047
2024-02-01 14:15:00+05:30,160.65,160.65,160.45,160.55,36528
2024-02-01 14:20:00+05:30,160.55,161.4,160.55,161.3,107781
2024-02-01 14:25:00+05:30,161.3,162.9,161.1,162.05,352464
2024-02-01 14:30:00+05:30,162.1,162.2,162.0,162.0,73368
2024-02-01 14:35:00+05:30,162.05,162.2,162.0,162.0,65347
2024-02-01 14:40:00+05:30,162.05,162.1,162.0,162.0,48048
2024-02-01 14:45:00+05:30,162.0,162.2,161.95,162.05,74866
2024-02-01 14:50:00+05:30,162.15,162.15,161.95,162.0,99950
2024-02-01 14:55:00+05:30,162.1,162.1,161.95,162.0,64647
2024-02-01 15:00:00+05:30,162.0,162.15,162.0,162.0,81450
2024-02-01 15:05:00+05:30,162.0,162.25,162.0,162.2,108149
2024-02-01 15:10:00+05:30,162.5,162.65,162.2,162.3,187279
2024-02-01 15:15:00+05:30,162.25,164.55,162.2,164.2,384972
2024-02-01 15:20:00+05:30,164.4,164.4,163.4,164.0,169606
2024-02-01 15:25:00+05:30,164.0,164.05,164.0,164.0,160012
2024-02-02 09:15:00+05:30,164.9,165.3,163.3,163.45,129824
2024-02-02 09:20:00+05:30,163.5,164.0,163.1,163.15,65167
2024-02-02 09:25:00+05:30,163.15,164.75,163.1,163.8,173596
2024-02-02 09:30:00+05:30,163.95,163.95,163.5,163.5,41560
2024-02-02 09:35:00+05:30,163.65,163.8,163.5,163.5,63224
2024-02-02 09:40:00+05:30,163.5,164.0,163.5,164.0,50176
2024-02-02 09:45:00+05:30,163.75,164.8,163.65,164.75,85782
2024-02-02 09:50:00+05:30,164.65,165.0,164.35,164.9,76180
2024-02-02 09:55:00+05:30,164.95,165.2,164.75,165.1,75291
2024-02-02 10:00:00+05:30,165.0,165.1,164.75,164.75,41538
2024-02-02 10:05:00+05:30,164.7,166.0,164.7,165.95,178868
2024-02-02 10:10:00+05:30,165.8,165.95,165.5,165.65,47225
2024-02-02 10:15:00+05:30,165.55,165.55,165.05,165.2,30527
2024-02-02 10:20:00+05:30,165.1,165.1,164.7,164.75,25415
2024-02-02 10:25:00+05:30,164.8,165.1,164.45,165.1,61363
2024-02-02 10:30:00+05:30,165.1,165.1,164.35,164.4,46053
2024-02-02 10:35:00+05:30,164.3,164.35,164.05,164.1,26282
2024-02-02 10:40:00+05:30,164.05,164.15,163.7,163.75,43353
2024-02-02 10:45:00+05:30,163.8,164.0,163.75,163.8,24412
2024-02-02 10:50:00+05:30,163.75,164.05,163.5,163.65,64179
2024-02-02 10:55:00+05:30,163.75,163.8,163.25,163.3,40909
2024-02-02 11:00:00+05:30,163.35,163.65,163.3,163.5,35989
2024-02-02 11:05:00+05:30,163.45,163.7,163.3,163.7,30335
2024-02-02 11:10:00+05:30,163.95,164.15,163.5,163.5,41054
2024-02-02 11:15:00+05:30,163.55,164.15,163.5,163.95,65275
2024-02-02 11:20:00+05:30,163.8,163.8,163.5,163.55,17460
2024-02-02 11:25:00+05:30,163.5,163.7,163.5,163.5,24110
2024-02-02 11:30:00+05:30,163.55,163.6,163.5,163.55,19901
2024-02-02 11:35:00+05:30,163.6,163.65,163.5,163.55,21182
2024-02-02 11:40:00+05:30,163.55,163.6,163.4,163.4,29069
2024-02-02 11:45:00+05:30,163.45,164.25,163.35,164.2,53816
2024-02-02 11:50:00+05:30,164.15,164.6,164.0,164.5,49039
2024-02-02 11:55:00+05:30,164.55,164.7,164.1,164.4,56568
2024-02-02 12:00:00+05:30,164.4,164.6,164.25,164.25,41802
2024-02-02 12:05:00+05:30,164.2,164.45,164.05,164.15,45375
2024-02-02 12:10:00+05:30,164.3,164.75,164.3,164.35,46244
2024-02-02 12:15:00+05:30,164.4,164.45,164.25,164.3,19929
2024-02-02 12:20:00+05:30,164.25,164.65,164.25,164.35,43446
2024-02-02 12:25:00+05:30,164.4,164.5,163.25,163.35,97715
2024-02-02 12:30:00+05:30,163.3,163.65,163.1,163.4,31895
2024-02-02 12:35:00+05:30,163.5,163.85,163.1,163.8,54476
2024-02-02 12:40:00+05:30,163.8,164.2,163.75,164.2,28600
2024-02-02 12:45:00+05:30,164.1,164.2,163.85,164.1,29072
2024-02-02 12:50:00+05:30,163.9,164.45,163.8,164.25,35069
2024-02-02 12:55:00+05:30,164.25,164.4,164.15,164.25,31201
2024-02-02 13:00:00+05:30,164.25,165.25,164.2,164.5,141022
2024-02-02 13:05:00+05:30,164.6,164.6,164.35,164.55,25506
2024-02-02 13:10:00+05:30,164.5,164.75,164.25,164.25,45602
2024-02-02 13:15:00+05:30,164.4,164.6,164.25,164.55,20843
2024-02-02 13:20:00+05:30,164.45,164.55,164.3,164.5,23291
2024-02-02 13:25:00+05:30,164.35,164.75,164.25,164.65,32858
2024-02-02 13:30:00+05:30,164.65,164.8,164.25,164.3,39034
2024-02-02 13:35:00+05:30,164.4,164.4,163.95,164.2,26575
2024-02-02 13:40:00+05:30,164.2,164.35,164.05,164.25,24821
2024-02-02 13:45:00+05:30,164.25,165.15,164.25,164.85,69217
2024-02-02 13:50:00+05:30,164.85,165.1,164.8,165.05,39594
2024-02-02 13:55:00+05:30,164.95,164.95,164.55,164.7,36362
2024-02-02 14:00:00+05:30,164.7,164.8,164.45,164.45,33069
2024-02-02 14:05:00+05:30,164.45,164.65,164.35,164.6,26086
2024-02-02 14:10:00+05:30,164.65,165.05,164.65,164.7,46422
2024-02-02 14:15:00+05:30,164.8,165.15,164.55,164.55,34991
2024-02-02 14:20:00+05:30,164.55,164.6,164.15,164.15,33007
2024-02-02 14:25:00+05:30,164.15,164.3,163.85,164.15,47691
2024-02-02 14:30:00+05:30,164.15,164.3,163.95,164.05,28078
2024-02-02 14:35:00+05:30,164.05,164.2,163.9,164.0,34881
2024-02-02 14:40:00+05:30,164.1,164.2,163.95,163.95,25582
2024-02-02 14:45:00+05:30,164.15,164.2,163.95,164.0,33589
2024-02-02 14:50:00+05:30,163.95,164.1,163.9,163.9,29809
2024-02-02 14:55:00+05:30,163.95,164.0,163.6,163.85,40279
2024-02-02 15:00:00+05:30,163.8,163.9,163.55,163.75,39267
2024-02-02 15:05:00+05:30,163.8,163.85,163.55,163.85,46834
2024-02-02 15:10:00+05:30,163.85,163.85,163.5,163.6,48757
2024-02-02 15:15:00+05:30,163.65,163.65,163.0,163.05,89276
2024-02-02 15:20:00+05:30,163.05,163.35,162.6,162.75,174507
2024-02-02 15:25:00+05:30,162.8,162.95,162.65,162.75,56291
2024-02-05 09:15:00+05:30,162.95,163.2,161.35,162.05,99598
2024-02-05 09:20:00+05:30,162.35,162.35,161.5,161.9,54989
2024-02-05 09:25:00+05:30,162.0,162.15,161.5,162.15,64077
2024-02-05 09:30:00+05:30,162.15,162.15,161.75,161.9,90288
2024-02-05 09:35:00+05:30,161.9,162.4,161.85,161.95,66330
2024-02-05 09:40:00+05:30,161.9,161.9,161.3,161.35,86778
2024-02-05 09:45:00+05:30,161.4,162.0,161.35,161.75,36674
2024-02-05 09:50:00+05:30,161.7,161.9,161.5,161.55,17189
2024-02-05 09:55:00+05:30,161.5,161.65,161.5,161.6,25179
2024-02-05 10:00:00+05:30,161.4,161.9,161.4,161.55,53436
2024-02-05 10:05:00+05:30,161.55,161.55,161.3,161.3,41245
2024-02-05 10:10:00+05:30,161.35,161.35,161.1,161.15,59083
2024-02-05 10:15:00+05:30,161.15,161.25,160.7,160.7,97592
2024-02-05 10:20:00+05:30,160.8,160.8,160.6,160.7,40345
2024-02-05 10:25:00+05:30,160.75,161.2,160.7,161.0,38036
2024-02-05 10:30:00+05:30,161.0,161.15,160.5,160.55,50051
2024-02-05 10:35:00+05:30,160.65,160.95,160.5,160.8,43826
2024-02-05 10:40:00+05:30,160.8,161.1,160.75,161.0,49403
2024-02-05 10:45:00+05:30,161.0,161.1,161.0,161.05,31787
2024-02-05 10:50:00+05:30,161.05,161.1,160.8,160.85,36625
2024-02-05 10:55:00+05:30,160.85,161.0,160.85,160.95,40981
2024-02-05 11:00:00+05:30,160.95,160.95,160.6,160.6,53629
2024-02-05 11:05:00+05:30,160.55,160.6,160.25,160.3,62495
2024-02-05 11:10:00+05:30,160.25,160.4,160.25,160.25,28490
2024-02-05 11:15:00+05:30,160.3,160.35,159.85,160.1,232339
2024-02-05 11:20:00+05:30,160.15,160.2,160.0,160.2,21107
2024-02-05 11:25:00+05:30,160.2,160.25,159.95,160.15,65960
2024-02-05 11:30:00+05:30,160.15,161.0,160.1,160.95,73452
2024-02-05 11:35:00+05:30,160.95,161.2,160.8,161.0,59063
2024-02-05 11:40:00+05:30,161.05,161.05,160.3,160.4,28630
2024-02-05 11:45:00+05:30,160.3,160.3,160.0,160.0,114796
2024-02-05 11:50:00+05:30,160.0,160.05,159.75,159.95,158358
2024-02-05 11:55:00+05:30,159.95,159.95,159.8,159.95,27668
2024-02-05 12:00:00+05:30,159.95,160.15,159.8,160.15,75343
2024-02-05 12:05:00+05:30,160.2,160.55,159.85,160.0,49947
2024-02-05 12:10:00+05:30,159.95,160.3,159.8,160.3,295728
2024-02-05 12:15:00+05:30,160.3,160.5,159.8,159.9,264061
2024-02-05 12:20:00+05:30,159.9,160.0,159.8,159.95,23072
2024-02-05 12:25:00+05:30,159.95,159.95,159.5,159.6,90834
2024-02-05 12:30:00+05:30,159.6,160.0,159.55,159.9,28813
2024-02-05 12:35:00+05:30,159.9,160.0,159.75,159.85,34878
2024-02-05 12:40:00+05:30,159.9,160.0,159.85,160.0,21046
2024-02-05 12:45:00+05:30,160.0,160.15,159.85,160.05,65227
2024-02-05 12:50:00+05:30,160.0,160.3,160.0,160.2,18539
2024-02-05 12:55:00+05:30,160.15,160.15,160.05,160.1,13216
2024-02-05 13:00:00+05:30,160.1,160.1,160.0,160.05,23358
2024-02-05 13:05:00+05:30,160.05,160.15,160.0,160.05,41759
2024-02-05 13:10:00+05:30,160.1,160.1,160.0,160.0,10057
2024-02-05 13:15:00+05:30,160.0,160.05,160.0,160.05,16583
2024-02-05 13:20:00+05:30,160.05,160.05,159.85,159.85,30372
2024-02-05 13:25:00+05:30,159.8,160.05,159.8,160.0,28054
2024-02-05 13:30:00+05:30,160.0,160.05,159.85,160.0,26149
2024-02-05 13:35:00+05:30,160.05,160.1,159.8,160.05,22449
2024-02-05 13:40:00+05:30,160.05,160.15,159.85,159.9,32438
2024-02-05 13:45:00+05:30,159.9,159.9,159.6,159.75,44690
2024-02-05 13:50:00+05:30,159.75,160.05,159.75,160.0,48750
2024-02-05 13:55:00+05:30,160.0,160.05,159.9,159.9,55884
2024-02-05 14:00:00+05:30,159.95,159.95,159.8,159.9,51699
2024-02-05 14:05:00+05:30,159.9,160.05,159.85,160.05,37874
2024-02-05 14:10:00+05:30,160.05,160.25,159.85,160.15,53806
2024-02-05 14:15:00+05:30,160.25,160.25,160.05,160.15,20939
2024-02-05 14:20:00+05:30,160.15,160.15,160.05,160.1,25882
2024-02-05 14:25:00+05:30,160.15,160.15,160.0,160.0,64397
2024-02-05 14:30:00+05:30,160.1,160.15,160.0,160.0,128469
2024-02-05 14:35:00+05:30,160.05,160.05,159.65,159.65,72506
2024-02-05 14:40:00+05:30,159.65,160.1,159.6,160.1,69267
2024-02-05 14:45:00+05:30,160.05,160.05,159.85,160.0,74710
2024-02-05 14:50:00+05:30,160.0,160.15,159.7,160.15,148717
2024-02-05 14:55:00+05:30,160.15,161.3,160.15,160.95,281395
2024-02-05 15:00:00+05:30,161.0,161.15,160.75,161.0,168409
2024-02-05 15:05:00+05:30,161.05,161.35,161.0,161.35,170806
2024-02-05 15:10:00+05:30,161.15,161.25,161.0,161.0,182156
2024-02-05 15:15:00+05:30,161.05,161.3,161.0,161.25,176701
2024-02-05 15:20:00+05:30,161.3,161.85,161.3,161.8,243828
2024-02-05 15:25:00+05:30,161.75,162.2,161.4,161.6,175152
2024-02-06 09:15:00+05:30,163.0,163.25,161.4,161.7,85430
2024-02-06 09:20:00+05:30,161.8,162.35,161.6,162.3,60206
2024-02-06 09:25:00+05:30,162.45,163.65,162.0,162.9,129588
2024-02-06 09:30:00+05:30,163.0,163.7,162.55,162.8,119707
2024-02-06 09:35:00+05:30,162.9,162.9,162.4,162.5,35107
2024-02-06 09:40:00+05:30,162.55,162.8,162.4,162.4,23174
2024-02-06 09:45:00+05:30,162.4,162.5,162.0,162.05,36068
2024-02-06 09:50:00+05:30,162.1,162.15,161.3,161.3,61308
2024-02-06 09:55:00+05:30,161.3,161.5,161.05,161.05,39513
2024-02-06 10:00:00+05:30,161.1,161.3,160.65,160.95,84842
2024-02-06 10:05:00+05:30,160.8,161.2,160.75,161.1,100527
2024-02-06 10:10:00+05:30,161.05,161.05,160.85,161.0,23549
2024-02-06 10:15:00+05:30,160.95,161.05,160.6,160.65,33653
2024-02-06 10:20:00+05:30,160.6,160.8,160.6,160.65,43710
2024-02-06 10:25:00+05:30,160.6,160.6,160.15,160.4,55361
2024-02-06 10:30:00+05:30,160.15,161.0,159.9,161.0,185666
2024-02-06 10:35:00+05:30,161.15,162.3,161.1,161.35,133568
2024-02-06 10:40:00+05:30,161.3,164.05,161.3,162.85,319257
2024-02-06 10:45:00+05:30,162.95,163.55,162.5,162.7,83947
2024-02-06 10:50:00+05:30,162.55,162.65,162.2,162.35,53746
2024-02-06 10:55:00+05:30,162.35,162.35,161.5,161.65,62985
2024-02-06 11:00:00+05:30,161.6,161.75,161.4,161.7,347252
2024-02-06 11:05:00+05:30,161.65,162.55,161.5,162.35,65828
2024-02-06 11:10:00+05:30,162.3,162.4,161.8,161.9,38308
2024-02-06 11:15:00+05:30,161.9,161.95,161.5,161.6,34937
2024-02-06 11:20:00+05:30,161.5,161.55,161.15,161.35,40947
2024-02-06 11:25:00+05:30,161.3,161.6,161.05,161.3,50957
2024-02-06 11:30:00+05:30,161.4,161.55,161.3,161.4,26215
2024-02-06 11:35:00+05:30,161.3,161.4,161.0,161.0,37317
2024-02-06 11:40:00+05:30,161.0,161.0,160.65,160.7,28862
2024-02-06 11:45:00+05:30,160.7,160.8,160.65,160.65,19768
2024-02-06 11:50:00+05:30,160.65,160.75,160.55,160.55,19001
2024-02-06 11:55:00+05:30,160.6,160.6,160.5,160.6,26932
2024-02-06 12:00:00+05:30,160.6,160.6,160.3,160.6,29729
2024-02-06 12:05:00+05:30,160.55,161.45,160.5,161.45,49837
2024-02-06 12:10:00+05:30,161.5,161.5,161.1,161.1,30368
2024-02-06 12:15:00+05:30,161.15,161.15,160.8,160.95,18194
2024-02-06 12:20:00+05:30,160.9,161.3,160.9,161.0,149099
2024-02-06 12:25:00+05:30,161.05,161.15,160.9,161.0,19835
2024-02-06 12:30:00+05:30,161.1,161.1,160.85,160.9,16339
