date,open,high,low,close,volume
2024-02-01 14:25:00+05:30,248.8,249.1,248.5,248.7,124012
2024-02-01 14:30:00+05:30,248.6,248.7,248.2,248.3,141335
2024-02-01 14:35:00+05:30,248.35,248.6,248.25,248.4,89542
2024-02-01 14:40:00+05:30,248.4,249.75,248.4,248.75,354513
2024-02-01 14:45:00+05:30,248.7,249.3,248.1,248.85,241991
2024-02-01 14:50:00+05:30,248.9,249.0,248.3,248.95,189664
2024-02-01 14:55:00+05:30,248.9,248.9,248.5,248.75,197243
2024-02-01 15:00:00+05:30,248.65,248.65,247.5,247.5,517084
2024-02-01 15:05:00+05:30,247.7,247.85,247.55,247.6,344000
2024-02-01 15:10:00+05:30,247.6,247.8,247.15,247.15,362336
2024-02-01 15:15:00+05:30,247.1,247.8,247.1,247.55,583493
2024-02-01 15:20:00+05:30,247.55,247.7,247.35,247.45,538844
2024-02-01 15:25:00+05:30,247.45,248.25,247.4,247.9,514844
2024-02-02 09:15:00+05:30,250.0,251.55,249.0,251.3,1026408
2024-02-02 09:20:00+05:30,251.25,252.85,251.0,252.6,921729
2024-02-02 09:25:00+05:30,252.5,252.6,251.35,251.75,588805
2024-02-02 09:30:00+05:30,251.85,252.25,251.1,252.15,342403
2024-02-02 09:35:00+05:30,252.2,252.25,251.55,251.75,199744
2024-02-02 09:40:00+05:30,251.7,252.7,251.7,252.5,362081
2024-02-02 09:45:00+05:30,252.5,252.5,251.8,252.35,241546
2024-02-02 09:50:00+05:30,252.25,253.95,252.25,252.95,1098808
2024-02-02 09:55:00+05:30,252.95,253.2,252.25,252.4,277716
2024-02-02 10:00:00+05:30,252.95,252.95,252.4,252.7,314649
2024-02-02 10:05:00+05:30,252.55,253.4,252.55,253.3,251936
2024-02-02 10:10:00+05:30,253.4,253.6,252.55,252.8,358330
2024-02-02 10:15:00+05:30,252.9,254.15,252.7,253.85,895949
2024-02-02 10:20:00+05:30,253.9,253.95,252.6,252.8,291493
2024-02-02 10:25:00+05:30,252.8,254.05,252.75,254.05,235507
2024-02-02 10:30:00+05:30,254.05,254.85,253.85,254.4,583131
2024-02-02 10:35:00+05:30,254.4,254.8,253.45,253.7,453011
2024-02-02 10:40:00+05:30,253.75,254.3,253.5,253.8,193101
2024-02-02 10:45:00+05:30,253.7,253.75,252.8,253.5,261421
2024-02-02 10:50:00+05:30,253.55,254.2,253.35,254.15,246552
2024-02-02 10:55:00+05:30,254.15,254.15,253.6,254.1,147110
2024-02-02 11:00:00+05:30,254.05,255.1,254.0,254.85,803239
