date,open,high,low,close,volume
2024-02-01 14:35:00+05:30,443.25,443.7,443.05,443.55,53527
2024-02-01 14:40:00+05:30,443.7,444.05,443.4,443.95,40796
2024-02-01 14:45:00+05:30,443.85,445.4,443.85,445.4,93669
2024-02-01 14:50:00+05:30,445.4,446.65,445.3,446.1,106556
2024-02-01 14:55:00+05:30,446.1,446.85,445.95,446.45,86665
2024-02-01 15:00:00+05:30,446.95,447.0,445.75,445.95,170462
2024-02-01 15:05:00+05:30,445.65,446.1,445.2,445.4,198923
2024-02-01 15:10:00+05:30,445.65,445.8,445.05,445.1,167762
2024-02-01 15:15:00+05:30,445.1,445.4,444.8,445.4,173287
2024-02-01 15:20:00+05:30,445.4,446.1,445.35,446.0,207506
2024-02-01 15:25:00+05:30,446.1,446.8,445.8,446.0,152151
2024-02-02 09:15:00+05:30,448.1,454.85,448.1,454.6,766110
2024-02-02 09:20:00+05:30,454.55,455.6,451.6,452.05,662681
2024-02-02 09:25:00+05:30,452.1,452.45,450.8,451.6,180489
2024-02-02 09:30:00+05:30,451.45,452.7,451.05,452.15,132354
2024-02-02 09:35:00+05:30,452.25,453.55,452.25,453.35,181019
2024-02-02 09:40:00+05:30,453.65,455.2,453.65,455.05,359600
2024-02-02 09:45:00+05:30,454.9,455.15,452.55,453.6,168247
2024-02-02 09:50:00+05:30,453.7,455.45,453.5,455.1,274106
2024-02-02 09:55:00+05:30,455.0,456.25,454.3,455.45,369571
2024-02-02 10:00:00+05:30,455.25,457.4,454.8,457.3,666099
2024-02-02 10:05:00+05:30,457.2,459.2,456.25,459.1,471226
2024-02-02 10:10:00+05:30,458.95,461.3,458.35,460.2,861837
2024-02-02 10:15:00+05:30,459.7,460.2,458.05,458.2,395206
2024-02-02 10:20:00+05:30,458.25,458.75,456.05,456.05,235434
2024-02-02 10:25:00+05:30,456.05,456.95,455.1,455.3,217566
2024-02-02 10:30:00+05:30,455.15,455.9,454.5,455.3,197359
2024-02-02 10:35:00+05:30,455.6,456.45,455.5,456.1,104451
2024-02-02 10:40:00+05:30,456.1,456.1,454.2,454.8,122455
2024-02-02 10:45:00+05:30,454.9,455.15,454.5,455.15,92690
2024-02-02 10:50:00+05:30,455.15,455.15,454.5,455.0,62770
2024-02-02 10:55:00+05:30,454.75,455.2,453.25,453.35,106545
2024-02-02 11:00:00+05:30,453.35,454.05,453.3,454.0,87956
2024-02-02 11:05:00+05:30,453.75,455.4,453.6,455.3,82622
2024-02-02 11:10:00+05:30,455.45,456.95,455.45,456.85,229757
2024-02-02 11:15:00+05:30,456.95,457.45,456.0,456.7,331949
2024-02-02 11:20:00+05:30,456.85,459.3,456.65,459.1,188859
2024-02-02 11:25:00+05:30,459.25,459.25,456.55,457.25,209812
2024-02-02 11:30:00+05:30,457.45,457.6,456.8,457.1,42791
2024-02-02 11:35:00+05:30,457.0,457.6,456.65,457.25,60602
2024-02-02 11:40:00+05:30,457.35,457.35,455.6,455.6,103509
2024-02-02 11:45:00+05:30,455.6,456.7,455.55,456.05,44893
2024-02-02 11:50:00+05:30,456.1,457.2,455.65,457.0,72119
2024-02-02 11:55:00+05:30,456.95,457.15,456.1,456.35,40992
2024-02-02 12:00:00+05:30,456.35,456.7,455.75,456.1,66227
2024-02-02 12:05:00+05:30,456.1,456.1,455.3,455.85,64630
2024-02-02 12:10:00+05:30,455.95,455.95,455.15,455.65,49354
2024-02-02 12:15:00+05:30,455.55,456.5,455.45,456.35,78071
2024-02-02 12:20:00+05:30,456.1,456.35,455.4,455.95,189856
2024-02-02 12:25:00+05:30,456.3,456.75,453.55,454.0,242098
2024-02-02 12:30:00+05:30,453.6,455.0,451.85,453.9,371506
2024-02-02 12:35:00+05:30,453.95,453.95,451.7,453.1,133355
2024-02-02 12:40:00+05:30,453.25,454.55,452.85,454.45,148455
2024-02-02 12:45:00+05:30,454.45,454.6,452.5,452.95,105561
2024-02-02 12:50:00+05:30,452.9,454.85,452.05,454.8,106577
2024-02-02 12:55:00+05:30,454.6,455.8,454.05,454.4,228654
2024-02-02 13:00:00+05:30,454.2,455.0,453.4,454.2,37659
2024-02-02 13:05:00+05:30,454.5,455.0,453.95,453.95,90969
2024-02-02 13:10:00+05:30,453.95,454.45,452.1,452.35,64085
2024-02-02 13:15:00+05:30,451.85,453.45,451.15,452.8,71638
2024-02-02 13:20:00+05:30,452.7,452.95,450.65,450.65,81209
2024-02-02 13:25:00+05:30,450.9,452.15,450.7,451.45,103780
2024-02-02 13:30:00+05:30,451.45,452.05,449.15,451.5,172096
2024-02-02 13:35:00+05:30,451.5,452.1,451.1,451.6,75728
2024-02-02 13:40:00+05:30,451.55,453.35,451.35,452.45,187703
2024-02-02 13:45:00+05:30,452.75,453.65,452.45,452.75,100679
2024-02-02 13:50:00+05:30,452.9,453.4,451.95,453.15,50037
2024-02-02 13:55:00+05:30,453.1,453.6,453.05,453.45,26201
2024-02-02 14:00:00+05:30,453.25,454.25,453.1,453.55,60794
2024-02-02 14:05:00+05:30,453.5,454.1,453.4,453.9,33106
2024-02-02 14:10:00+05:30,453.95,456.5,453.95,455.0,316423
2024-02-02 14:15:00+05:30,454.95,455.3,454.6,455.0,60759
2024-02-02 14:20:00+05:30,455.05,455.35,453.65,454.0,106185
2024-02-02 14:25:00+05:30,453.95,454.7,453.05,453.5,116133
2024-02-02 14:30:00+05:30,453.4,453.8,452.15,452.15,108168
2024-02-02 14:35:00+05:30,452.1,453.7,452.1,453.5,78068
2024-02-02 14:40:00+05:30,453.45,454.75,453.15,454.45,129956
2024-02-02 14:45:00+05:30,454.45,455.35,454.45,455.35,91174
2024-02-02 14:50:00+05:30,455.3,455.35,452.25,452.35,105430
2024-02-02 14:55:00+05:30,452.45,452.45,450.75,451.4,99557
2024-02-02 15:00:00+05:30,451.9,453.1,449.3,450.25,232818
2024-02-02 15:05:00+05:30,450.45,452.35,450.4,452.3,140929
2024-02-02 15:10:00+05:30,452.25,452.35,450.65,450.95,123489
2024-02-02 15:15:00+05:30,450.95,450.95,449.55,450.35,189592
2024-02-02 15:20:00+05:30,450.35,451.0,450.25,450.95,137019
2024-02-02 15:25:00+05:30,451.0,451.2,450.15,450.3,175321
2024-02-05 09:15:00+05:30,454.8,454.8,447.8,448.7,496084
2024-02-05 09:20:00+05:30,448.8,452.65,448.8,452.05,565067
2024-02-05 09:25:00+05:30,452.1,455.8,452.1,455.15,463878
2024-02-05 09:30:00+05:30,455.1,456.75,453.9,455.55,250027
2024-02-05 09:35:00+05:30,455.45,457.4,455.0,456.9,221536
2024-02-05 09:40:00+05:30,457.1,459.3,457.05,458.25,466714
2024-02-05 09:45:00+05:30,458.25,459.0,457.75,458.8,154306
2024-02-05 09:50:00+05:30,458.75,458.8,456.35,457.4,156466
2024-02-05 09:55:00+05:30,457.2,458.4,456.15,456.4,218911
2024-02-05 10:00:00+05:30,456.55,456.7,454.45,454.55,135999
2024-02-05 10:05:00+05:30,454.5,456.9,454.3,456.55,92252
2024-02-05 10:10:00+05:30,456.25,456.5,454.9,455.0,102512
2024-02-05 10:15:00+05:30,455.3,455.65,454.15,454.2,112325
2024-02-05 10:20:00+05:30,454.45,456.3,453.0,456.25,163307
2024-02-05 10:25:00+05:30,456.25,459.1,455.75,458.95,246505
2024-02-05 10:30:00+05:30,458.95,459.55,457.0,457.2,140625
2024-02-05 10:35:00+05:30,457.2,461.55,457.15,461.55,407210
2024-02-05 10:40:00+05:30,461.95,464.5,461.5,461.6,587938
2024-02-05 10:45:00+05:30,461.55,462.1,460.2,460.3,147396
2024-02-05 10:50:00+05:30,460.45,460.7,458.8,459.35,226815
2024-02-05 10:55:00+05:30,459.2,460.2,458.8,459.45,132366
