date,open,high,low,close,volume
2024-02-01 14:40:00+05:30,118.45,118.55,118.3,118.3,721878
2024-02-01 14:45:00+05:30,118.3,118.65,118.3,118.55,625784
2024-02-01 14:50:00+05:30,118.55,119.25,118.55,119.0,2012251
2024-02-01 14:55:00+05:30,119.0,119.4,118.9,119.1,1873063
2024-02-01 15:00:00+05:30,119.1,119.1,118.7,118.85,1000360
2024-02-01 15:05:00+05:30,118.65,118.85,118.6,118.8,1236644
2024-02-01 15:10:00+05:30,118.8,118.8,118.55,118.55,1341532
2024-02-01 15:15:00+05:30,118.55,119.0,118.5,118.9,2156126
2024-02-01 15:20:00+05:30,119.0,119.0,118.7,118.95,2092698
2024-02-01 15:25:00+05:30,119.0,119.4,118.9,119.4,2061979
2024-02-02 09:15:00+05:30,121.7,121.75,120.2,120.65,7176622
2024-02-02 09:20:00+05:30,120.6,120.8,120.15,120.55,4151634
2024-02-02 09:25:00+05:30,120.55,121.85,120.3,121.75,4430752
2024-02-02 09:30:00+05:30,121.65,122.8,121.1,122.4,8279629
2024-02-02 09:35:00+05:30,122.4,123.85,122.4,123.8,7596315
2024-02-02 09:40:00+05:30,123.75,124.6,123.1,124.5,6979857
2024-02-02 09:45:00+05:30,124.55,125.7,124.1,125.7,9015265
2024-02-02 09:50:00+05:30,125.6,125.7,124.8,125.05,5010629
2024-02-02 09:55:00+05:30,125.0,125.6,124.55,125.25,4000035
2024-02-02 10:00:00+05:30,125.2,125.25,124.6,125.0,3742942
2024-02-02 10:05:00+05:30,125.0,125.15,124.7,124.95,1924464
2024-02-02 10:10:00+05:30,124.9,125.0,124.7,124.9,1276896
2024-02-02 10:15:00+05:30,124.95,125.0,124.0,124.1,2340592
2024-02-02 10:20:00+05:30,124.1,124.8,124.05,124.3,2032132
2024-02-02 10:25:00+05:30,124.25,124.5,124.1,124.15,1015740
2024-02-02 10:30:00+05:30,124.2,124.4,123.8,124.3,2393284
2024-02-02 10:35:00+05:30,124.35,124.85,124.25,124.65,1644362
2024-02-02 10:40:00+05:30,124.6,124.8,124.1,124.8,1057590
2024-02-02 10:45:00+05:30,124.8,125.15,124.7,124.8,1735855
2024-02-02 10:50:00+05:30,124.8,124.8,124.45,124.7,774627
2024-02-02 10:55:00+05:30,124.6,124.75,124.2,124.25,942589
2024-02-02 11:00:00+05:30,124.25,124.35,124.05,124.15,1125034
2024-02-02 11:05:00+05:30,124.25,124.4,124.15,124.35,657583
2024-02-02 11:10:00+05:30,124.3,124.6,124.2,124.4,748720
2024-02-02 11:15:00+05:30,124.4,124.5,124.2,124.5,716338
2024-02-02 11:20:00+05:30,124.45,124.5,124.25,124.4,566461
2024-02-02 11:25:00+05:30,124.45,124.6,124.3,124.55,487988
2024-02-02 11:30:00+05:30,124.55,125.1,124.55,125.0,1577099
2024-02-02 11:35:00+05:30,125.05,125.05,124.7,124.75,760853
2024-02-02 11:40:00+05:30,124.8,124.8,124.6,124.8,1121982
2024-02-02 11:45:00+05:30,124.75,125.1,124.7,125.0,1865052
2024-02-02 11:50:00+05:30,125.05,125.45,124.95,125.35,1640229
2024-02-02 11:55:00+05:30,125.35,126.0,125.25,125.65,2560745
2024-02-02 12:00:00+05:30,125.7,125.75,125.5,125.5,1181849
2024-02-02 12:05:00+05:30,125.6,125.6,125.15,125.55,2020360
2024-02-02 12:10:00+05:30,125.55,125.9,125.45,125.5,1155789
2024-02-02 12:15:00+05:30,125.5,126.0,125.35,125.8,1121529
2024-02-02 12:20:00+05:30,125.8,125.9,125.5,125.5,937871
2024-02-02 12:25:00+05:30,125.45,126.2,125.45,125.55,3200074
2024-02-02 12:30:00+05:30,125.55,125.55,124.3,125.1,3425489
2024-02-02 12:35:00+05:30,125.0,125.0,124.3,124.75,1493604
2024-02-02 12:40:00+05:30,124.9,125.4,124.8,125.4,1410374
2024-02-02 12:45:00+05:30,125.25,125.6,124.95,125.05,1400002
2024-02-02 12:50:00+05:30,125.1,125.8,124.85,125.75,1535897
2024-02-02 12:55:00+05:30,125.7,125.8,125.35,125.4,1344791
2024-02-02 13:00:00+05:30,125.35,125.7,125.15,125.55,905646
2024-02-02 13:05:00+05:30,125.5,125.75,125.35,125.4,983937
2024-02-02 13:10:00+05:30,125.45,125.7,125.0,125.0,1355642
