date,open,high,low,close,volume
2022-12-15 09:15:00,625.55,628.7,625.55,627.25,917821
2022-12-15 09:20:00,627.25,629.55,627.2,629.2,538860
2022-12-15 09:25:00,629.0,629.2,627.3,627.4,271554
2022-12-15 09:30:00,627.4,627.9,626.5,627.25,235525
2022-12-15 09:35:00,627.25,627.9,626.75,627.6,169842
2022-12-15 09:40:00,627.6,628.7,627.25,628.4,135702
2022-12-15 09:45:00,628.5,628.7,627.45,628.0,84739
2022-12-15 09:50:00,628.2,628.25,627.5,627.5,59963
2022-12-15 09:55:00,627.5,628.1,627.25,627.4,64051
2022-12-15 10:00:00,627.4,627.8,627.05,627.15,133305
2022-12-15 10:05:00,627.15,627.5,626.8,626.95,111421
2022-12-15 10:10:00,627.05,627.05,625.05,625.85,267883
2022-12-15 10:15:00,625.7,626.0,625.1,625.95,104483
2022-12-15 10:20:00,625.95,626.7,625.65,626.7,82656
2022-12-15 10:25:00,626.7,626.7,626.05,626.05,62142
2022-12-15 10:30:00,626.25,626.4,625.7,626.2,57598
2022-12-15 10:35:00,626.0,626.25,625.5,625.6,51560
2022-12-15 10:40:00,625.6,626.0,625.5,625.75,38044
2022-12-15 10:45:00,625.75,626.5,625.65,626.45,76385
2022-12-15 10:50:00,626.35,626.55,626.0,626.15,56878
2022-12-15 10:55:00,626.2,626.4,625.5,625.7,98082
2022-12-15 11:00:00,625.7,626.2,625.4,625.75,110349
2022-12-15 11:05:00,625.75,626.0,625.6,626.0,31249
2022-12-15 11:10:00,625.75,626.0,625.7,625.95,34655
2022-12-15 11:15:00,625.9,626.0,624.5,624.6,164395
2022-12-15 11:20:00,624.6,624.8,624.0,624.05,126183
2022-12-15 11:25:00,624.05,624.5,624.0,624.1,49144
2022-12-15 11:30:00,624.2,624.2,622.0,622.6,221790
2022-12-15 11:35:00,622.65,622.75,619.85,621.0,357089
2022-12-15 11:40:00,620.8,622.0,620.25,621.9,159008
2022-12-15 11:45:00,621.9,621.9,620.6,620.95,107133
2022-12-15 11:50:00,620.85,621.0,618.95,619.55,166687
2022-12-15 11:55:00,619.7,620.35,619.5,620.1,139014
2022-12-15 12:00:00,620.1,620.4,619.6,620.0,71152
2022-12-15 12:05:00,620.05,620.9,619.9,620.0,76762
2022-12-15 12:10:00,620.1,620.85,619.85,620.3,57311
2022-12-15 12:15:00,620.6,620.95,620.3,620.5,47440
2022-12-15 12:20:00,620.65,620.9,620.4,620.75,33603
2022-12-15 12:25:00,620.8,621.0,619.8,620.95,100479
2022-12-15 12:30:00,620.9,620.95,619.0,619.4,118357
2022-12-15 12:35:00,619.15,619.45,618.0,618.65,207051
2022-12-15 12:40:00,618.8,619.0,618.1,618.85,71828
2022-12-15 12:45:00,618.9,619.2,618.45,618.65,50226
2022-12-15 12:50:00,618.8,619.45,618.5,618.55,52082
2022-12-15 12:55:00,618.55,619.1,618.5,619.05,29902
2022-12-15 13:00:00,619.05,619.6,618.8,619.2,58725
2022-12-15 13:05:00,619.25,620.15,619.05,620.05,80603
2022-12-15 13:10:00,620.05,620.55,619.8,619.8,98053
2022-12-15 13:15:00,619.85,620.7,619.5,620.65,90527
2022-12-15 13:20:00,620.65,620.9,620.3,620.9,49434
2022-12-15 13:25:00,620.85,621.0,620.65,620.8,48559
2022-12-15 13:30:00,620.85,621.0,620.05,620.6,118367
2022-12-15 13:35:00,620.65,621.15,620.4,621.05,305955
2022-12-15 13:40:00,621.05,621.15,619.6,620.2,87542
